N	2gram	Kanaev_Sov	VLabPisa
1	таким образом	11	32
2	в этом	7	29
3	не только	4	26
4	и в	7	26
5	может быть	12	23
6	и не	6	20
7	не может	17	17
8	в том	4	15
9	в его	2	15
10	прежде всего	5	13
11	все это	3	13
12	что в	2	11
13	из них	4	11
14	то же	3	10
15	не могут	2	10
16	могут быть	2	8
17	все эти	5	8
18	было бы	3	8
19	вместе с	4	8
20	это не	4	7
21	из этих	2	7
22	как и	6	7
23	их в	4	7
24	в нем	3	7
25	а не	3	7
26	не в	3	6
27	в себе	3	6
28	все же	3	6
29	у него	2	6
30	приводит к	2	6
31	в зависимости	4	6
32	в одном	3	5
33	в результате	6	5
34	зависимости от	4	5
35	как бы	4	5
36	в целом	4	5
37	и есть	2	5
38	одна из	3	4
39	роль в	2	4
40	что все	2	4
41	следующим образом	3	4
42	для его	2	4
43	отнюдь не	3	4
44	в самом	2	4
45	в этой	3	4
46	и к	3	3
47	с этим	2	3
48	в конце	3	3
49	как он	3	3
50	наблюдения и	2	3
51	у нас	3	3
52	мы знаем	2	3
53	мы видели	4	3
54	нет и	4	3
55	видели что	3	3
56	а в	4	3
57	точки зрения	12	3
58	жизни и	4	3
59	и по	2	3
60	или иной	2	2
61	и потому	3	2
62	не подлежит	3	2
63	так сказать	2	2
64	задача эта	2	2
65	в каждом	8	2
66	что она	3	2
67	у каждого	3	2
68	отличается от	3	2
69	каждом отдельном	5	2
70	и даже	2	2
71	в области	3	2
72	и наконец	5	2
73	в науке	2	2
74	еще не	3	2
75	в которой	2	2
76	с одной	2	2
77	же самое	2	2
78	как известно	2	2
79	не менее	2	2
80	но в	3	2
81	он может	3	2
82	он в	3	2
83	что такое	2	2
84	знаем что	2	2
85	ни одна	2	2
86	на этом	2	2
87	из которых	2	2
88	всяком случае	2	2
89	может не	3	2
90	говорить о	2	2
91	что при	2	2
92	само собою	3	2
93	во всяком	2	2
94	в системе	3	2
