N	2gram	Voloshinov	EvropaiE
1	и в	12	37
2	в отношении	2	32
3	в пределах	3	25
4	точки зрения	14	23
5	что в	2	21
6	не только	4	18
7	с точки	2	17
8	в то	2	16
9	отношении к	3	15
10	хотя бы	5	15
11	то же	5	15
12	в своем	2	14
13	но в	5	14
14	но и	3	14
15	и не	10	14
16	в этом	4	12
17	в том	6	11
18	так и	4	10
19	так же	3	9
20	не может	16	9
21	отнюдь не	5	9
22	в себе	3	9
23	прежде всего	8	9
24	только в	6	9
25	одной стороны	2	8
26	между тем	3	8
27	в своей	3	8
28	с одной	2	8
29	с другой	4	7
30	как и	5	7
31	так как	9	7
32	того что	3	7
33	том что	5	6
34	может быть	14	6
35	и на	4	6
36	стороны и	2	6
37	с этой	2	6
38	то что	5	6
39	как бы	13	6
40	но не	2	5
41	и по	3	5
42	и потому	2	5
43	этой точки	3	5
44	не в	4	5
45	сказать что	7	4
46	в каком	3	4
47	и притом	2	4
48	можно сказать	5	4
49	независимо от	2	4
50	в процессе	6	4
51	в самом	4	4
52	мы не	3	4
53	в ней	6	4
54	для нас	7	4
55	по себе	3	4
56	ни было	4	4
57	как это	2	4
58	то ни	3	4
59	бы то	3	4
60	никогда не	5	3
61	и для	3	3
62	ни на	2	3
63	о том	3	3
64	к ним	2	3
65	в данном	2	3
66	когда он	3	3
67	и к	4	3
68	мы можем	2	3
69	в них	3	3
70	место в	2	3
71	что и	2	3
72	там где	2	3
73	как в	5	3
74	как на	2	3
75	дело в	4	3
76	известной степени	2	3
77	данном случае	2	2
78	в его	2	2
79	не есть	2	2
80	и то	2	2
81	к нему	4	2
82	как же	2	2
83	она не	2	2
84	с другими	2	2
85	в котором	3	2
86	и с	3	2
87	могут быть	2	2
88	другой стороны	2	2
89	между ними	2	2
90	тогда когда	2	2
91	и та	2	2
92	если бы	9	2
93	в этих	2	2
94	жизни и	4	2
95	как не	2	2
96	а не	5	2
97	и что	2	2
98	и наконец	3	2
99	можем сказать	2	2
100	имеет в	3	2
101	точка зрения	3	2
102	и все	2	2
103	влияние на	2	2
104	таким образом	12	2
105	он не	2	2
106	такой же	2	2
107	ведь и	3	2
108	поскольку они	2	2
109	не к	3	2
110	в некоторых	3	2
111	между собой	2	2
112	в какой	2	2
113	должна быть	5	2
114	вместе с	2	2
115	и более	3	2
116	имеет место	2	2
