N	2gram	Losev_Dial	Morfolog
1	и т	31	62
2	может быть	30	61
3	т д	28	60
4	и пр	7	45
5	таким образом	5	26
6	т е	49	25
7	могут быть	6	21
8	так как	24	20
9	мы имеем	4	19
10	не может	16	19
11	в этом	18	18
12	в этих	6	17
13	и в	35	17
14	и не	51	16
15	мы видим	6	15
16	перед нами	3	14
17	с этим	5	14
18	прежде всего	14	14
19	по существу	2	13
20	и др	2	12
21	связи с	3	12
22	чаще всего	2	11
23	а не	24	11
24	заметить что	2	11
25	вопрос о	3	10
26	но если	6	10
27	мы увидим	2	10
28	то же	21	10
29	в том	20	10
30	не всегда	2	10
31	то что	25	10
32	так и	18	10
33	что в	19	10
34	что и	7	10
35	в связи	3	10
36	все же	9	9
37	но и	17	9
38	с другой	10	9
39	не только	26	8
40	в тех	2	8
41	в результате	2	8
42	но не	9	8
43	а в	8	8
44	в качестве	2	8
45	как мы	5	8
46	не могут	4	7
47	том что	18	7
48	если в	5	7
49	тем не	3	7
50	не менее	5	7
51	как это	8	7
52	точки зрения	25	7
53	один из	3	7
54	потому что	23	7
55	это не	18	6
56	но это	12	6
57	во всех	3	6
58	и как	14	6
59	или в	2	6
60	во время	2	6
61	также и	7	6
62	о том	8	6
63	если мы	3	6
64	с точки	18	6
65	как бы	19	6
66	вовсе не	19	6
67	ничего не	19	5
68	вслед за	2	5
69	хотя бы	6	5
70	мы можем	5	5
71	было бы	14	5
72	об этом	7	5
73	то мы	2	5
74	со стороны	2	5
75	что он	16	5
76	как в	3	5
77	то это	6	5
78	далеко не	2	5
79	тому что	4	5
80	к тому	6	5
81	между тем	3	5
82	видно что	2	5
83	главным образом	2	5
84	другой стороны	7	5
85	все эти	4	5
86	что они	8	5
87	он не	5	5
88	если же	2	5
89	хотя и	4	5
90	учение о	11	5
91	ясно что	11	5
92	сказать что	19	4
93	на самом	5	4
94	его в	3	4
95	независимо от	2	4
96	так же	6	4
97	в то	10	4
98	значит что	25	4
99	можно было	5	4
100	к этому	2	4
101	на него	2	4
102	есть и	11	4
103	тем что	2	4
104	д но	2	4
105	не является	3	4
106	еще не	4	4
107	могла бы	2	4
108	самом деле	6	4
109	из них	5	4
110	но в	8	4
111	но все	5	4
112	и для	2	4
113	как и	10	4
114	уже не	3	4
115	и к	8	4
116	на этом	4	4
117	несмотря на	12	4
118	с теми	2	4
119	говорить о	9	4
120	никто не	2	4
121	случае не	4	4
122	от того	2	4
123	мы уже	8	4
124	его самого	3	4
125	первый взгляд	2	3
126	или не	5	3
127	как же	8	3
128	можно указать	2	3
129	то в	8	3
130	время как	7	3
131	утверждать что	3	3
132	мы должны	6	3
133	но как	7	3
134	в которой	3	3
135	это было	4	3
136	даже не	4	3
137	что это	21	3
138	и их	5	3
139	и у	2	3
140	но есть	2	3
141	только что	5	3
142	если бы	12	3
143	в виде	2	3
144	не значит	6	3
145	состоит из	3	3
146	это и	6	3
147	на первый	2	3
148	есть нечто	16	3
149	кроме того	2	3
150	и тем	2	3
151	та же	6	3
152	же можно	2	3
153	имеется в	3	3
154	не в	12	3
155	для того	2	3
156	и при	3	3
157	с этой	3	3
158	в один	3	3
159	к ней	4	3
160	в какой	3	3
161	того что	6	3
162	ее в	2	3
163	к нему	12	3
164	это уже	2	3
165	они не	3	3
166	на то	5	3
167	ни в	20	3
168	что такое	13	3
169	если это	3	3
170	на нем	2	3
171	но мы	3	3
172	по воздуху	2	3
173	но для	2	3
174	не существует	8	3
175	следует за	2	3
176	и что	17	3
177	то время	3	3
178	и тогда	4	3
179	и по	5	3
180	же в	2	3
181	и его	6	3
182	или на	3	3
183	только в	7	3
184	в сущности	2	3
185	и есть	20	3
186	и только	5	3
187	что эти	3	3
188	в этой	3	3
189	мы будем	2	3
190	в одну	8	2
191	и когда	5	2
192	в каком	10	2
193	это еще	2	2
194	в очень	3	2
195	себя в	2	2
196	в каких	2	2
197	как например	2	2
198	в данном	5	2
199	из этих	2	2
200	от него	4	2
201	одной стороны	3	2
202	дело не	3	2
203	д все	2	2
204	или нет	6	2
205	живой и	4	2
206	бы в	3	2
207	если она	4	2
208	а потом	9	2
209	иное как	4	2
210	не что	4	2
211	в другом	6	2
212	и даже	23	2
213	сразу же	2	2
214	или менее	5	2
215	что она	18	2
216	к другу	2	2
217	что именно	3	2
218	превращается в	2	2
219	д и	3	2
220	этом отношении	2	2
221	в частности	4	2
222	ни было	2	2
223	ничем не	4	2
224	вывод что	2	2
225	между собою	3	2
226	ни к	2	2
227	что иное	4	2
228	что ни	3	2
229	в чем	9	2
230	не знает	2	2
231	с одной	4	2
232	а потому	3	2
233	должна быть	5	2
234	или другой	7	2
235	но вот	5	2
236	а с	2	2
237	и более	7	2
238	не с	5	2
239	обоих случаях	2	2
240	не по	2	2
241	с тем	2	2
242	не имеет	15	2
243	но так	2	2
244	вообще не	2	2
245	она не	10	2
246	живое существо	2	2
247	он может	3	2
248	или наоборот	2	2
249	или по	2	2
250	более или	5	2
251	другой пример	2	2
252	мы получаем	4	2
253	их в	2	2
254	но с	4	2
255	что одна	4	2
256	в различных	2	2
257	оно не	2	2
258	быть и	7	2
259	но они	2	2
260	в которых	2	2
261	как таковой	6	2
262	с другими	2	2
263	как таковая	2	2
264	очень много	4	2
265	что мы	3	2
266	это можно	2	2
267	же может	2	2
268	что же	5	2
269	или вообще	3	2
270	точно так	3	2
271	что этот	3	2
272	в одной	4	2
273	всяком случае	3	2
274	как они	2	2
275	сразу и	3	2
276	друг к	2	2
277	и больше	2	2
278	должны быть	2	2
279	этого нет	3	2
280	то как	3	2
281	что эта	5	2
282	все это	14	2
283	в основе	4	2
284	у него	2	2
285	как будто	7	2
286	например в	2	2
287	можно сказать	10	2
288	момент в	2	2
289	это мы	6	2
290	для него	2	2
291	в одном	4	2
292	во всяком	5	2
293	без всякого	3	2
294	по своему	4	2
295	тем же	3	2
296	того как	3	2
