N	2gram	Medvedev_S	Komedia
1	и в	3	77
2	в том	5	44
3	том что	2	42
4	но и	2	32
5	может быть	2	30
6	таким образом	2	29
7	в этом	5	27
8	не только	3	25
9	что в	2	23
10	в конце	2	21
11	то же	2	21
12	в его	3	20
13	еще не	2	17
14	не в	3	15
15	было бы	2	15
16	все это	7	14
17	то что	2	13
18	по отношению	2	11
19	в частности	2	11
20	тем более	2	10
21	как бы	2	10
22	более чем	3	10
23	и что	2	10
24	отношению к	2	9
25	только в	2	9
26	в результате	2	7
27	конце концов	2	7
28	для нас	3	7
29	как будто	2	6
30	главным образом	2	6
31	и мы	2	5
32	по существу	2	5
33	за пределы	2	5
34	к которому	2	4
35	далеко не	2	4
36	только как	2	3
37	очевидно что	2	2
38	как же	3	2
39	ввести в	2	2
40	должна быть	2	2
41	дело не	2	2
42	как только	2	2
43	в смысле	2	2
44	и только	3	2
