N	2gram	Vinokur_St	TeoriaLi
1	в качестве	7	33
2	не только	36	24
3	и в	61	24
4	в частности	6	23
5	то есть	2	22
6	может быть	16	22
7	в том	56	20
8	при этом	4	20
9	в тексте	12	19
10	и не	23	17
11	а в	18	15
12	но и	28	14
13	так и	15	14
14	а не	19	14
15	в себе	3	14
16	такого рода	2	13
17	но не	5	13
18	в этом	37	12
19	то же	7	12
20	но в	16	12
21	в его	19	12
22	том что	49	11
23	точки зрения	16	11
24	своего рода	7	11
25	и его	11	11
26	по отношению	3	10
27	лишь в	3	10
28	отношению к	3	10
29	как это	6	10
30	что в	41	10
31	в данном	16	9
32	не в	15	9
33	с другой	11	9
34	в то	10	9
35	только в	11	9
36	не может	10	8
37	по своей	2	8
38	как бы	8	8
39	в своей	12	8
40	же время	5	8
41	в своем	8	7
42	а также	4	7
43	мы имеем	2	7
44	отношение к	3	7
45	во второй	10	7
46	в области	16	7
47	в самом	14	7
48	место в	2	7
49	не столько	6	7
50	в нем	9	7
51	тем самым	2	6
52	или иного	4	6
53	того или	4	6
54	другой стороны	9	6
55	в первой	12	6
56	со стороны	7	6
57	не менее	8	6
58	еще не	4	6
59	то что	27	6
60	или менее	2	6
61	как и	11	6
62	более или	2	6
63	в русской	4	6
64	или иначе	3	6
65	в ее	6	6
66	в основе	4	6
67	с его	3	6
68	данном случае	7	5
69	я с	3	5
70	как в	15	5
71	как правило	2	5
72	как к	3	5
73	ни в	5	5
74	в виду	6	5
75	и тем	3	5
76	не является	5	5
77	для того	15	5
78	и о	4	5
79	для него	10	5
80	так или	3	5
81	на почве	2	5
82	между тем	7	5
83	могут быть	5	5
84	того чтобы	15	5
85	того что	14	5
86	он не	11	5
87	можно сказать	2	5
88	никогда не	7	4
89	сказать что	9	4
90	в отношении	11	4
91	его в	4	4
92	это не	8	4
93	или иным	3	4
94	в форме	2	4
95	в другом	5	4
96	этого слова	2	4
97	в их	3	4
98	в этих	5	4
99	что он	23	4
100	текст в	2	4
101	по своему	2	4
102	к тому	9	4
103	того же	4	4
104	в целом	5	4
105	совпадает с	3	4
106	отношении к	3	4
107	первой строфе	2	4
108	и что	8	4
109	говорить о	3	4
110	не на	3	4
111	и сам	4	4
112	отношения к	2	4
113	не знает	2	4
114	в слове	5	4
115	хотя и	4	4
116	но он	5	4
117	даже в	5	3
118	и то	6	3
119	и потому	3	3
120	во всех	8	3
121	из этих	7	3
122	одной стороны	2	3
123	о чем	4	3
124	в которой	13	3
125	не все	3	3
126	и для	4	3
127	тем не	4	3
128	на меня	2	3
129	и как	2	3
130	если бы	11	3
131	к которому	4	3
132	он должен	2	3
133	как говорит	3	3
134	в таком	4	3
135	одним из	2	3
136	с этой	5	3
137	а именно	3	3
138	была бы	10	3
139	в романе	4	3
140	никто не	4	3
141	с одной	3	3
142	а с	6	3
143	есть в	2	3
144	для себя	3	3
145	столь же	5	3
146	их в	2	3
147	культуры в	3	3
148	именно в	8	3
149	потому что	13	3
150	в сторону	2	3
151	том числе	3	3
152	во втором	5	3
153	прежде всего	11	3
154	к его	2	3
155	и к	5	3
156	этом смысле	2	3
157	только не	2	3
158	из которого	2	3
159	с точки	10	3
160	а на	4	3
161	все эти	7	3
162	и по	6	3
163	в равной	2	3
164	связи с	3	3
165	таким образом	16	3
166	например в	8	3
167	оказывается в	2	3
168	в этой	13	3
169	в одном	7	3
170	как раз	10	3
171	вовсе не	24	3
172	текста в	5	3
173	еще и	5	2
174	в каком	4	2
175	не могут	2	2
176	значительной степени	3	2
177	то в	3	2
178	идет о	3	2
179	русской поэзии	2	2
180	так же	7	2
181	если в	2	2
182	тем более	4	2
183	дело не	4	2
184	не всегда	2	2
185	дело в	9	2
186	что она	5	2
187	с их	2	2
188	за пределы	2	2
189	говорит что	4	2
190	это было	2	2
191	отличается от	2	2
192	об этом	9	2
193	но на	2	2
194	и даже	8	2
195	в конце	5	2
196	и здесь	2	2
197	это и	5	2
198	превращается в	2	2
199	в словаре	3	2
200	времени и	4	2
201	в значительной	2	2
202	истории литературы	2	2
203	от своего	2	2
204	у нас	12	2
205	к своему	3	2
206	и другие	3	2
207	никем не	2	2
208	у него	3	2
209	самом деле	14	2
210	говорит в	3	2
211	на вопрос	7	2
212	в чем	4	2
213	вместе с	5	2
214	не могло	4	2
215	в какой	4	2
216	одной из	4	2
217	для понимания	2	2
218	вытекает из	2	2
219	к нему	2	2
220	ни для	2	2
221	числе и	2	2
222	и это	4	2
223	ее в	2	2
224	тому что	8	2
225	могло быть	3	2
226	о том	30	2
227	что такое	2	2
228	оно не	3	2
229	должен быть	3	2
230	и на	7	2
231	на себя	3	2
232	в году	3	2
233	всякий раз	2	2
234	в известном	3	2
235	в них	2	2
236	по себе	3	2
237	речь идет	6	2
238	несмотря на	4	2
239	в той	9	2
240	что и	8	2
241	тем или	3	2
242	к числу	3	2
243	в случае	2	2
244	то ни	2	2
245	заключается в	5	2
246	не просто	2	2
247	все это	13	2
248	что они	9	2
249	как будто	5	2
250	в первом	2	2
251	случае не	3	2
252	пушкина что	3	2
253	бы то	2	2
254	этих двух	4	2
255	я не	13	2
256	xix века	2	2
257	и который	3	2
258	имеем дело	2	2
259	тем же	3	2
260	быть и	2	2
261	первой части	2	2
