N	2gram	Nazirov_Vr	Morfolog
1	может быть	4	61
2	таким образом	2	26
3	т е	3	25
4	не может	2	19
5	в этом	8	18
6	и в	8	17
7	и не	5	16
8	при помощи	2	12
9	связи с	3	12
10	то же	5	10
11	в том	3	10
12	то что	7	10
13	что в	7	10
14	в связи	3	10
15	все же	6	9
16	но и	7	9
17	не только	9	8
18	а в	2	8
19	том что	3	7
20	наряду с	3	7
21	не менее	2	7
22	а также	2	7
23	точки зрения	2	7
24	это не	4	6
25	но это	2	6
26	и как	3	6
27	во время	2	6
28	о том	4	6
29	с точки	2	6
30	как бы	4	6
31	одна из	2	5
32	и ее	2	5
33	об этом	5	5
34	что он	4	5
35	далеко не	3	5
36	между тем	5	5
37	он не	3	5
38	этот момент	2	5
39	его в	3	4
40	так же	4	4
41	в то	5	4
42	к этому	3	4
43	тем что	3	4
44	еще не	2	4
45	из них	2	4
46	но в	6	4
47	как и	6	4
48	уже не	2	4
49	несмотря на	4	4
50	как же	2	3
51	но как	2	3
52	и у	3	3
53	целый ряд	4	3
54	на первый	2	3
55	на то	3	3
56	в начале	6	3
57	и что	8	3
58	же в	2	3
59	и его	3	3
60	в этой	2	3
61	с его	3	3
62	в одну	2	2
63	в россии	5	2
64	ответ на	2	2
65	к себе	2	2
66	и даже	6	2
67	одним из	3	2
68	его и	2	2
69	в чем	3	2
70	а с	2	2
71	в в	2	2
72	их в	2	2
73	в своих	4	2
74	для нас	4	2
75	тогда как	2	2
76	все это	4	2
77	у него	5	2
78	для него	2	2
