N	2gram	Tiupa_Vved	OGranits
1	и в	23	13
2	и его	9	12
3	прежде всего	11	9
4	и не	24	8
5	не может	14	8
6	может быть	25	8
7	в его	9	7
8	и т.п	14	7
9	не только	32	6
10	как бы	8	6
11	таким образом	6	6
12	только в	9	6
13	то что	9	6
14	и т.д	6	5
15	все же	10	5
16	и наконец	2	5
17	хотя бы	2	5
18	мы можем	2	4
19	еще и	2	4
20	но в	14	4
21	лишь в	4	4
22	то же	8	4
23	в сознании	5	4
24	не является	7	4
25	в своей	10	4
26	все это	3	4
27	было бы	4	4
28	мы не	6	4
29	на фоне	3	4
30	никогда не	6	3
31	да и	3	3
32	и для	8	3
33	и все	8	3
34	отношению к	11	3
35	как и	21	3
36	в пределах	3	3
37	не в	12	3
38	в их	2	3
39	говорить о	5	3
40	в себе	15	3
41	что в	6	3
42	по отношению	11	3
43	точку зрения	2	3
44	самом деле	6	3
45	так и	14	3
46	что же	6	3
47	не как	2	3
48	к одному	2	3
49	т.п и	2	3
50	в одном	5	3
51	здесь мы	2	3
52	но и	31	3
53	не столько	5	3
54	в самом	6	2
55	могут быть	5	2
56	своего рода	20	2
57	в этом	27	2
58	в них	4	2
59	для себя	2	2
60	данном случае	15	2
61	уже в	2	2
62	в том	21	2
63	тем что	2	2
64	несмотря на	2	2
65	в целом	4	2
66	если бы	10	2
67	с одной	9	2
68	не имеет	3	2
69	всей своей	4	2
70	роль в	2	2
71	и др	2	2
72	но так	2	2
73	во времени	2	2
74	с другой	10	2
75	слова и	3	2
76	а в	15	2
77	которое может	2	2
78	и тем	3	2
79	том что	16	2
80	а также	12	2
81	и к	2	2
82	в данном	22	2
83	не менее	4	2
84	с ними	2	2
85	в области	5	2
86	так же	2	2
87	от своего	2	2
88	что они	2	2
89	те же	2	2
90	героя и	5	2
91	в своих	5	2
92	в нем	9	2
93	не на	3	2
94	при этом	43	2
95	и ее	2	2
96	нет ничего	2	2
97	а не	31	2
98	в ней	5	2
99	вслед за	3	2
100	входит в	2	2
101	еще в	3	2
102	в течение	2	2
103	как в	8	2
104	другой стороны	3	2
105	мог бы	2	2
106	одной стороны	9	2
107	бы в	4	2
108	между тем	3	2
109	в чем	2	2
110	имеет место	6	2
111	соответствии с	8	2
112	в другом	2	2
113	в этот	3	2
114	к тому	9	2
115	не мог	2	2
116	для него	5	2
