N	2gram	Savitsky_E	Mirosoze
1	и в	37	97
2	может быть	6	64
3	не только	18	63
4	в этом	12	55
5	но и	14	54
6	он не	2	53
7	а не	2	53
8	не может	9	49
9	и не	14	39
10	никогда не	3	38
11	потому что	3	37
12	в ней	4	37
13	не в	5	34
14	не есть	2	30
15	прежде всего	9	29
16	как и	7	29
17	но в	14	27
18	в мире	2	27
19	в своей	8	25
20	и все	2	24
21	в своем	14	23
22	что в	21	23
23	в самом	4	21
24	в себе	9	20
25	в россии	5	19
26	как бы	6	19
27	в его	2	18
28	и потому	5	17
29	того что	7	17
30	в том	11	16
31	том что	6	16
32	то что	6	16
33	было бы	8	16
34	в этой	2	15
35	в котором	2	15
36	она не	2	14
37	так как	7	14
38	и на	6	13
39	к нему	2	12
40	в них	3	12
41	но не	5	12
42	он сам	2	12
43	с тем	3	11
44	хотя бы	15	11
45	только в	9	11
46	как в	3	11
47	и для	3	11
48	и к	3	11
49	жизни и	2	11
50	не могут	2	10
51	так же	9	10
52	есть не	2	10
53	должна быть	2	10
54	то же	15	10
55	не имеет	4	10
56	бы и	3	9
57	а в	2	9
58	к тому	8	9
59	не будет	3	9
60	что и	3	9
61	и во	2	9
62	то есть	6	9
63	в свою	3	9
64	вместе с	2	9
65	вопрос о	4	8
66	в этих	2	8
67	мира и	3	8
68	того чтобы	6	8
69	в отношении	32	8
70	т е	9	8
71	тем что	3	8
72	для того	6	8
73	отношении к	15	8
74	о том	3	8
75	и с	2	8
76	во власти	2	8
77	более чем	2	7
78	но если	5	7
79	что все	2	7
80	мог бы	2	7
81	точки зрения	23	7
82	жизни в	3	7
83	также и	7	7
84	чем в	4	7
85	всего в	2	6
86	в ее	8	6
87	его на	2	6
88	и от	3	6
89	что это	2	6
90	можно было	3	6
91	к ней	4	6
92	если бы	2	6
93	с этой	6	6
94	по своей	2	6
95	и более	2	6
96	на то	6	6
97	в которых	3	6
98	россии и	3	6
99	не к	2	6
100	и если	2	5
101	в то	16	5
102	западной европы	9	5
103	в их	11	5
104	так и	10	5
105	и этот	2	5
106	от этого	5	5
107	связано с	3	5
108	на путях	4	5
109	сказать что	4	5
110	во всяком	3	5
111	и мы	3	5
112	с этим	2	5
113	этот процесс	2	5
114	по преимуществу	2	5
115	и как	2	5
116	бы в	2	5
117	как будто	2	5
118	культуры и	2	5
119	думать что	8	5
120	когда он	3	5
121	и тут	2	5
122	что россия	2	4
123	духовной жизни	2	4
124	есть в	2	4
125	по своему	7	4
126	одна и	2	4
127	по сравнению	2	4
128	место в	3	4
129	могут быть	2	4
130	тогда когда	2	4
131	для них	2	4
132	мы видим	2	4
133	в истории	2	4
134	себе в	3	4
135	и можно	2	4
136	и даже	6	4
137	и по	5	4
138	заключает в	3	4
139	и только	3	4
140	мы не	4	4
141	еще более	2	4
142	но на	3	4
143	культуры в	4	4
144	в той	5	4
145	в своих	2	4
146	на своем	3	4
147	и что	2	4
148	русская революция	2	4
149	мира не	2	3
150	и поэтому	2	3
151	долгое время	2	3
152	и тем	3	3
153	можно ли	3	3
154	мы должны	2	3
155	европейской культуры	3	3
156	что же	2	3
157	между тем	8	3
158	и та	2	3
159	же как	5	3
160	начало в	2	3
161	это значит	2	3
162	хотя и	2	3
163	и то	2	3
164	и эта	2	3
165	и еще	2	3
166	в значительной	2	3
167	но также	2	3
168	как не	2	3
169	для нас	4	3
170	в пределах	25	3
171	во всех	6	3
172	именно потому	2	3
173	на этот	2	3
174	в одном	2	3
175	всяком случае	3	3
176	о россии	3	3
177	только одно	2	3
178	сравнению с	2	3
179	но с	2	3
180	в каком	4	2
181	все более	9	2
182	западной европе	4	2
183	или иной	4	2
184	из всех	3	2
185	тому чтобы	2	2
186	если в	2	2
187	отношений между	2	2
188	и других	2	2
189	есть ли	2	2
190	россия есть	2	2
191	во многих	4	2
192	эмпирической действительности	2	2
193	проблемы и	2	2
194	культуры но	2	2
195	от них	3	2
196	же мало	2	2
197	того же	3	2
198	тем самым	5	2
199	всего человечества	2	2
200	и человеческой	2	2
201	в строе	2	2
202	культурных ценностей	6	2
203	западная европа	2	2
204	новый мир	2	2
205	между ними	2	2
206	и ту	2	2
207	россии не	2	2
208	то не	2	2
209	во всей	2	2
210	столь же	5	2
211	в прошлом	3	2
212	что если	2	2
213	то в	4	2
214	культуры не	2	2
215	потребность в	3	2
216	в свои	2	2
217	происходит в	2	2
218	человечества как	2	2
219	также в	2	2
220	этом отношении	3	2
221	россии в	4	2
222	целый ряд	2	2
223	культура есть	2	2
224	мира в	4	2
225	европы и	22	2
226	ее в	3	2
227	не означает	2	2
228	в какой	2	2
229	новое слово	3	2
230	вообще не	3	2
231	с другой	7	2
232	в сфере	3	2
233	одну и	2	2
234	в смысле	9	2
235	во втором	2	2
236	европейской цивилизации	4	2
237	по себе	4	2
238	ко всему	2	2
239	бы ни	3	2
240	она в	3	2
241	его собственная	2	2
