N	3gram	Voloshinov	VeschiIm
1	не может быть	2	24
2	не что иное	2	12
3	что иное как	2	12
4	есть не что	2	8
5	в самом деле	2	7
6	и не только	2	6
7	с точки зрения	5	6
8	одно и то	5	5
9	и то же	5	5
10	в то же	9	5
11	не только в	3	5
12	в свою очередь	4	5
13	что же такое	2	4
14	о том что	2	4
15	то же время	7	4
16	равно как и	2	4
17	можно сказать что	2	3
18	то что мы	4	3
19	ту или иную	4	3
20	вместе с тем	2	3
21	и в то	2	3
22	мы видели что	2	3
23	все то что	2	2
24	но все же	3	2
25	для того чтобы	7	2
26	в этом отношении	2	2
27	к тому что	2	2
28	в связи с	2	2
29	мы видим что	2	2
30	в конце концов	3	2
31	и кроме того	2	2
32	тех или иных	3	2
