N	2gram	Voloshinov	slovoVRo
1	и в	28	92
2	в нем	7	59
3	может быть	28	59
4	и его	22	59
5	и не	34	51
6	не только	10	44
7	не может	30	41
8	но и	10	39
9	до конца	7	37
10	в этом	28	36
11	а не	9	34
12	во всех	13	32
13	так и	14	30
14	точки зрения	31	30
15	могут быть	9	29
16	и др	9	29
17	в пределах	6	29
18	в его	25	27
19	все это	12	25
20	слова и	4	24
21	как бы	19	24
22	то же	12	23
23	и на	9	22
24	не в	10	21
25	как в	4	21
26	вовсе не	16	21
27	в то	7	20
28	в процессе	5	20
29	прежде всего	26	19
30	как мы	18	19
31	или иной	2	18
32	как и	13	18
33	себя в	3	18
34	же время	6	18
35	с ним	14	18
36	все же	8	17
37	оно не	3	17
38	все эти	15	17
39	в истории	4	17
40	в основе	6	17
41	и даже	3	17
42	в большинстве	5	17
43	таким образом	34	17
44	к своему	2	16
45	отличие от	2	16
46	при этом	8	16
47	в них	3	16
48	но в	13	16
49	там где	2	15
50	и с	10	15
51	с точки	15	15
52	в отличие	2	14
53	узком смысле	3	14
54	в узком	4	14
55	так сказать	7	14
56	только в	11	14
57	это не	5	13
58	и следовательно	3	13
59	точка зрения	15	13
60	рядом с	2	13
61	с его	9	13
62	и для	7	13
63	с другой	2	13
64	никогда не	10	12
65	в отношении	2	12
66	и потому	12	12
67	отношение к	7	12
68	а в	8	12
69	во всяком	9	12
70	и наконец	12	12
71	еще не	8	12
72	и к	7	12
73	один из	10	11
74	большинстве случаев	6	11
75	с ними	5	11
76	одной стороны	2	11
77	в этих	5	11
78	с одной	2	11
79	для него	12	11
80	все они	2	10
81	в своем	4	10
82	и их	2	10
83	в том	10	10
84	и все	13	10
85	она не	6	10
86	в себе	7	10
87	с другими	8	10
88	всех этих	6	10
89	в него	2	10
90	далеко не	5	10
91	уже не	9	10
92	зрения на	6	10
93	его в	11	9
94	и от	3	9
95	одним из	3	9
96	в основном	4	9
97	более того	7	9
98	к нему	9	9
99	здесь в	6	9
100	в их	2	9
101	в своей	14	9
102	сказать что	11	9
103	одна из	4	9
104	так как	15	9
105	с ее	4	9
106	но не	7	9
107	на почве	3	9
108	конечно не	10	9
109	он не	10	9
110	быть и	7	9
111	не могут	7	8
112	в одной	2	8
113	человека и	6	8
114	может стать	4	8
115	для понимания	2	8
116	в зависимости	4	8
117	в ней	8	8
118	все время	4	8
119	с этим	8	8
120	и часто	2	8
121	зависимости от	4	8
122	человека в	4	8
123	в самом	12	8
124	входит в	2	8
125	для нас	2	8
126	всяком случае	8	8
127	том что	12	7
128	друг друга	2	7
129	но именно	2	7
130	по преимуществу	2	7
131	его не	2	7
132	о нем	2	7
133	того же	3	7
134	в целом	4	7
135	у него	4	7
136	за пределы	10	7
137	но все	2	7
138	также и	2	7
139	связанные с	4	7
140	еще более	2	7
141	жизни и	7	7
142	не было	5	7
143	в таком	6	7
144	мы уже	10	7
145	ничего не	5	6
146	как к	2	6
147	роль в	7	6
148	на этом	8	6
149	единство и	3	6
150	точку зрения	12	6
151	бы и	2	6
152	а также	2	6
153	что в	7	6
154	ни в	12	6
155	в качестве	2	6
156	можно сказать	6	6
157	говорить о	5	6
158	с различными	2	6
159	хотя бы	7	6
160	конечно и	5	6
161	он в	2	6
162	именно в	4	6
163	в свою	6	6
164	себя и	4	6
165	подхода к	4	6
166	по себе	4	6
167	в одном	3	6
168	со всею	3	6
169	между тем	3	6
170	не как	2	5
171	а как	3	5
172	только на	4	5
173	а вовсе	3	5
174	не знает	5	5
175	не менее	6	5
176	отношению к	11	5
177	остается в	3	5
178	всех областях	2	5
179	мы не	9	5
180	и по	5	5
181	должен быть	2	5
182	для этого	6	5
183	в данном	4	5
184	и при	3	5
185	по отношению	13	5
186	с их	5	5
187	в результате	3	5
188	связанных с	4	5
189	борьба с	3	5
190	и может	4	5
191	этом отношении	4	5
192	не является	7	5
193	для того	6	5
194	его и	2	5
195	должна быть	2	5
196	на протяжении	7	5
197	они не	3	5
198	в дальнейшем	2	5
199	о том	3	5
200	оно может	3	5
201	и этим	3	5
202	к его	3	5
203	той же	5	5
204	уже в	3	5
205	имеет дело	3	5
206	и сам	3	5
207	как его	2	5
208	с помощью	20	5
209	вместе с	5	5
210	лежат в	2	4
211	в свой	3	4
212	оно и	8	4
213	следовательно и	2	4
214	в различных	2	4
215	точками зрения	2	4
216	для всех	3	4
217	так же	4	4
218	но как	2	4
219	образом в	2	4
220	и ее	7	4
221	а на	2	4
222	в другом	4	4
223	что и	5	4
224	в виду	4	4
225	что он	12	4
226	он должен	2	4
227	не всегда	4	4
228	свою очередь	4	4
229	влияние на	4	4
230	связано с	3	4
231	от других	2	4
232	того что	7	4
233	мы видели	12	4
234	до сих	3	4
235	разрыв между	2	4
236	речи и	2	4
237	все его	3	4
238	те же	9	4
239	в чем	9	4
240	сознание и	5	4
241	что оно	4	4
242	тогда когда	2	4
243	того чтобы	5	4
244	ли он	2	4
245	одним словом	2	4
246	и во	2	4
247	обстоит дело	2	4
248	всех своих	4	4
249	же как	2	4
250	характер и	4	4
251	с этими	3	4
252	но эти	2	4
253	но это	4	4
