N	3gram	Bakhtin_sl	Dialekti
1	и т д	7	75
2	с точки зрения	11	46
3	сама по себе	2	26
4	в том что	4	25
5	не может быть	11	18
6	тем не менее	2	16
7	то же время	15	15
8	в то же	15	14
9	одно и то	2	12
10	и то же	2	12
11	о том что	2	12
12	с другой стороны	5	12
13	и в этом	2	9
14	не только не	2	8
15	в то время	2	8
16	то время как	2	8
17	той или иной	13	7
18	в связи с	2	7
19	более или менее	5	6
20	может быть и	2	6
21	во всяком случае	7	6
22	в зависимости от	4	6
23	с одной стороны	7	6
24	и в то	6	6
25	до сих пор	4	5
26	к тому что	2	5
27	как бы ни	2	4
28	может быть только	3	4
29	в данном случае	3	4
30	и т п	49	4
31	не только о	2	4
32	одной стороны и	2	4
33	в этом отношении	2	4
34	можно было бы	2	4
35	не могут быть	3	4
36	это не значит	2	4
37	не может не	5	4
38	но в то	6	3
39	как и в	2	3
40	если она не	2	3
41	точки зрения самого	2	3
42	не только в	3	3
43	и не может	2	3
44	того или иного	2	3
45	в той или	12	3
46	в широком смысле	3	2
47	никогда не может	2	2
48	для нас в	2	2
49	же время и	2	2
50	друг с другом	2	2
51	в отношении к	9	2
52	лишь тогда когда	2	2
53	в лучшем случае	3	2
54	хотя бы и	5	2
55	в собственном смысле	2	2
56	мы уже сказали	3	2
57	и в том	2	2
58	и в особенности	5	2
59	в свою очередь	3	2
60	и с другой	2	2
