N	2gram	Voloshinov	Dialekti
1	не есть	2	181
2	и не	14	120
3	а не	7	78
4	и в	42	77
5	точки зрения	11	72
6	может быть	13	71
7	не только	28	66
8	то что	9	59
9	ничего не	8	54
10	не может	13	53
11	и даже	3	47
12	так как	8	46
13	с точки	5	46
14	что это	4	46
15	потому что	7	45
16	не просто	4	44
17	как бы	30	43
18	вовсе не	2	41
19	в том	3	40
20	что такое	4	39
21	в этом	10	39
22	то же	16	39
23	в себе	10	38
24	том что	3	37
25	что он	2	37
26	прежде всего	22	37
27	это не	3	36
28	в нем	6	34
29	и все	4	33
30	того что	4	33
31	но и	16	32
32	все это	4	31
33	ясно что	2	31
34	и как	10	30
35	отнюдь не	10	30
36	сказать что	3	30
37	так и	7	29
38	было бы	7	29
39	как и	12	28
40	никогда не	7	27
41	в виду	3	26
42	не в	6	26
43	есть не	2	25
44	и то	5	25
45	и пр	4	25
46	если бы	4	24
47	но это	2	24
48	и вот	3	23
49	в то	9	23
50	что оно	3	23
51	таким образом	8	23
52	но что	3	22
53	допустим что	3	21
54	в каком	2	20
55	только тогда	2	20
56	только в	7	20
57	и вообще	2	20
58	что и	3	20
59	совершенно не	3	20
60	о том	4	20
61	уже не	4	20
62	и с	5	20
63	что мы	11	19
64	как это	5	19
65	и это	8	19
66	в самом	5	19
67	не существует	4	19
68	и его	7	19
69	иное как	2	18
70	не что	4	18
71	что иное	2	18
72	что же	8	18
73	хотя бы	18	18
74	же время	7	18
75	ни на	3	18
76	жизни и	3	18
77	в основе	3	17
78	той или	4	17
79	можно сказать	4	17
80	должно быть	2	17
81	другими словами	7	16
82	в своей	2	16
83	мы не	9	16
84	нет ничего	2	16
85	кроме того	2	16
86	к нему	2	16
87	да и	4	16
88	одно и	6	16
89	об этом	3	16
90	конечно не	3	16
91	также и	2	15
92	как таковой	3	15
93	все же	9	15
94	так же	4	15
95	самом деле	5	15
96	хотя и	3	15
97	несмотря на	3	15
98	мы уже	11	15
99	и потому	2	14
100	с ним	2	14
101	даже и	2	14
102	не было	2	14
103	и следовательно	5	13
104	но в	5	13
105	в ней	8	13
106	он не	2	13
107	что именно	4	13
108	и к	4	13
109	вопрос о	2	12
110	еще не	3	12
111	все эти	3	12
112	перед нами	3	12
113	но как	2	12
114	и ни	2	12
115	а в	5	12
116	и нет	2	12
117	с этим	2	12
118	и тогда	2	12
119	но не	2	12
120	та же	3	11
121	мы должны	10	11
122	от того	3	11
123	и тем	7	11
124	только на	3	11
125	ничем не	2	11
126	его не	2	11
127	тех или	4	11
128	мы имеем	2	11
129	как только	4	11
130	из них	3	11
131	или в	2	11
132	в душе	2	10
133	к тому	4	10
134	в ее	3	10
135	как мы	10	10
136	в его	6	10
137	для того	9	10
138	себе и	2	10
139	и для	3	10
140	или иное	4	10
141	в их	2	10
142	в частности	3	10
143	только потому	2	10
144	мы видим	4	10
145	и уже	3	10
146	то или	4	10
147	времени и	2	10
148	в жизни	2	10
149	если мы	4	10
150	точка зрения	4	9
151	в этих	2	9
152	в котором	3	9
153	той же	7	9
154	в одном	4	9
155	или иной	6	9
156	и от	7	9
157	тому что	5	9
158	быть может	3	9
159	при этом	9	9
160	и когда	2	9
161	и он	2	9
162	бы в	6	9
163	мы можем	7	9
164	и на	7	9
165	на самом	3	8
166	в отношении	2	8
167	и без	4	8
168	не будет	3	8
169	как нечто	2	8
170	в дальнейшем	2	8
171	в этой	6	8
172	все время	5	8
173	того или	5	8
174	у нас	4	8
175	но вот	3	8
176	но все	5	8
177	при условии	2	8
178	один из	4	8
179	когда мы	6	8
180	бы и	2	8
181	нет и	3	8
182	себя в	4	8
183	как не	2	8
184	в разных	3	8
185	тем самым	8	7
186	в конце	6	7
187	из этих	2	7
188	он должен	3	7
189	и при	2	7
190	не говоря	2	7
191	связи с	3	7
192	на первый	2	7
193	тем что	2	7
194	в связи	2	7
195	от чего	2	7
196	нуждается в	3	7
197	не всегда	2	7
198	не знает	3	7
199	и больше	2	7
200	с его	8	7
201	зависимости от	7	7
202	и их	5	7
203	как в	3	7
204	в мире	2	7
205	но для	3	7
206	из которых	3	7
207	отношения к	3	7
208	еще и	2	6
209	отношение к	2	6
210	то мы	3	6
211	с тем	8	6
212	того чтобы	7	6
213	в зависимости	7	6
214	при всем	2	6
215	для этого	2	6
216	в которой	7	6
217	по своей	2	6
218	ни к	2	6
219	друг другу	2	6
220	вместе с	5	6
221	его в	4	6
222	о чем	2	6
223	как таковое	2	6
224	по своему	3	6
225	можно было	4	6
226	во всех	6	6
227	я и	2	6
228	для него	3	6
229	не с	3	6
230	уже в	5	6
231	природы и	2	6
232	но мы	2	5
233	были бы	4	5
234	точку зрения	6	5
235	же мы	5	5
236	или как	6	5
237	гораздо более	2	5
238	чаще всего	3	5
239	но даже	2	5
240	будет значить	2	5
241	не является	5	5
242	и наконец	5	5
243	сих пор	2	5
244	что у	3	5
245	их в	3	5
246	в своих	2	5
247	если он	3	5
248	конце концов	3	5
249	в области	6	5
250	одной и	4	5
251	в него	2	5
252	почему же	2	5
253	в качестве	4	5
254	и той	7	5
255	независимо от	5	5
256	к этому	2	5
257	тому же	2	5
258	и так	6	5
259	зависит от	2	5
260	в той	5	5
261	и все-таки	2	4
262	человека и	2	4
263	бы мы	3	4
264	в каждом	4	4
265	у них	3	4
266	ведь и	2	4
267	видим что	2	4
268	заметить что	3	4
269	и само	3	4
270	для всякого	2	4
271	представить себе	3	4
272	как с	2	4
273	в нас	2	4
274	был бы	2	4
275	это же	2	4
276	и эта	3	4
277	то он	3	4
278	связанные с	2	4
279	ни один	2	4
280	еще более	2	4
281	только одна	2	4
282	если не	3	4
283	главным образом	3	4
284	равно как	2	4
285	эти вопросы	2	4
286	мы будем	6	4
287	мы имели	2	4
288	помнить что	2	4
289	из всего	2	4
290	но эта	2	4
291	что эти	3	4
292	как например	2	4
293	необходимо чтобы	3	4
294	в словах	4	4
295	же такое	2	4
296	не нужно	2	4
297	этом отношении	2	4
298	из двух	2	4
299	но ведь	6	4
300	и является	5	4
301	точек зрения	5	4
