N	2gram	Vinokur_St	Stilisti
1	и в	61	42
2	как бы	8	30
3	не только	36	28
4	прежде всего	11	22
5	хотя бы	8	18
6	то же	7	16
7	но и	28	16
8	и не	23	14
9	не может	10	13
10	может быть	16	13
11	как и	11	12
12	точки зрения	16	11
13	что мы	5	11
14	в себе	3	10
15	и как	2	10
16	в этом	37	10
17	в то	10	9
18	для того	15	9
19	все же	12	9
20	то что	27	9
21	при этом	4	9
22	мы не	3	9
23	тем самым	2	8
24	ничего не	6	8
25	так как	7	8
26	и это	4	8
27	с тем	3	8
28	в ней	9	8
29	что же	6	8
30	таким образом	16	8
31	с его	3	8
32	никогда не	7	7
33	и от	2	7
34	в которой	13	7
35	зависимости от	2	7
36	же время	5	7
37	так и	15	7
38	потому что	13	7
39	только в	11	7
40	а не	19	7
41	и на	7	7
42	того чтобы	15	7
43	в зависимости	2	7
44	было бы	21	7
45	и его	11	7
46	той же	5	7
47	и тем	3	7
48	и так	3	6
49	бы в	2	6
50	во всех	8	6
51	не в	15	6
52	но ведь	8	6
53	в области	16	6
54	точку зрения	3	6
55	в конце	5	6
56	в нем	9	6
57	если б	5	6
58	в процессе	3	6
59	на его	2	6
60	в его	19	6
61	в форме	2	6
62	в этой	13	6
63	и то	6	5
64	того или	4	5
65	в сознании	2	5
66	то есть	2	5
67	не является	5	5
68	и их	3	5
69	самом деле	14	5
70	как это	6	5
71	а с	6	5
72	но все	9	5
73	тому что	8	5
74	а в	18	5
75	но в	16	5
76	или иного	4	5
77	в самом	14	5
78	и с	6	5
79	уже в	3	5
80	в той	9	5
81	с точки	10	5
82	тем у	2	5
83	вместе с	5	5
84	да и	4	4
85	что это	5	4
86	в одном	7	4
87	так же	7	4
88	о своей	2	4
89	на это	2	4
90	вопроса о	3	4
91	в данной	2	4
92	его в	4	4
93	на него	3	4
94	если бы	11	4
95	то или	3	4
96	что именно	2	4
97	лишь в	3	4
98	так называемой	2	4
99	были бы	2	4
100	у нас	12	4
101	к своему	3	4
102	того что	14	4
103	зрения в	2	4
104	самого начала	3	4
105	можно было	14	4
106	и все	3	4
107	в каждом	3	4
108	с самого	4	4
109	к тому	9	4
110	о том	30	4
111	и пр	4	4
112	что такое	2	4
113	и к	5	4
114	в целом	5	4
