N	2gram	Bakhtin_sl	Poddanst
1	не только	37	17
2	и в	69	14
3	и не	32	12
4	в этом	21	10
5	в отношении	9	10
6	но в	13	9
7	то же	17	9
8	в том	7	9
9	в качестве	4	9
10	хотя бы	6	8
11	в пределах	27	8
12	в то	17	7
13	только в	9	7
14	же время	15	7
15	но и	37	6
16	было бы	3	6
17	в смысле	7	6
18	в ней	7	6
19	xix века	2	6
20	с другой	8	5
21	не в	14	5
22	и о	3	5
23	отношении к	9	5
24	может быть	40	5
25	по себе	4	4
26	что в	3	4
27	и потому	9	4
28	в своем	9	4
29	том что	6	4
30	а также	5	4
31	в котором	2	4
32	и к	9	4
33	как бы	16	4
34	то что	2	4
35	не может	27	4
36	а в	10	4
37	же в	2	4
38	и как	3	3
39	но не	7	3
40	это не	8	3
41	с точки	11	3
42	столь же	2	3
43	мы не	4	3
44	для того	2	3
45	в себе	3	3
46	точки зрения	24	3
47	потому что	2	3
48	одной стороны	7	3
49	в нем	44	3
50	между тем	5	3
51	могут быть	25	3
52	прежде всего	14	3
53	и т	56	3
54	хотя и	4	3
55	с одной	7	3
56	с ними	8	3
57	для нас	7	2
58	должно быть	3	2
59	да и	2	2
60	в них	11	2
61	в сочетании	2	2
62	одна из	6	2
63	есть не	2	2
64	отношения к	3	2
65	создается в	2	2
66	для них	2	2
67	в эту	3	2
68	стороны и	3	2
69	слова но	2	2
70	точек зрения	8	2
71	и тем	3	2
72	и других	5	2
73	в его	19	2
74	с этим	5	2
75	не менее	4	2
76	говорить о	2	2
77	бы ни	3	2
78	в последние	2	2
79	именно в	5	2
80	именно как	3	2
81	в виде	4	2
82	еще более	7	2
83	все это	14	2
84	в частности	3	2
85	друг другу	2	2
86	а не	29	2
87	не было	4	2
88	и есть	2	2
89	например в	6	2
90	из важнейших	2	2
91	и с	10	2
92	во всех	25	2
93	в ее	2	2
94	как раз	3	2
95	в сфере	2	2
96	в значительной	6	2
97	того что	4	2
98	из них	3	2
99	образом на	2	2
100	не столько	4	2
101	света в	2	2
