N	3gram	Bakhtin_Fr	Analitik
1	в том что	8	25
2	не может быть	4	19
3	в то же	14	16
4	о том что	5	15
5	в данном случае	4	14
6	то же время	14	14
7	в отличие от	3	14
8	к тому же	3	13
9	подобно тому как	2	9
10	с одной стороны	2	9
11	с другой стороны	2	9
12	в этом отношении	7	8
13	с точки зрения	5	8
14	но и в	3	5
15	до известной степени	4	4
16	в самом деле	2	4
17	и не в	2	4
18	для того чтобы	8	4
19	в самом начале	2	4
20	дело здесь не	2	4
21	то есть в	4	3
22	то же самое	3	3
23	и как бы	2	3
24	в первом случае	3	3
25	и тот же	2	3
26	в том числе	6	3
27	в связи с	5	3
28	между тем как	2	3
29	можно сказать что	4	3
30	включает в себя	2	3
31	дело в том	4	3
32	более или менее	2	2
33	в отрыве от	2	2
34	но в то	6	2
35	в одной из	2	2
36	можно было бы	2	2
37	это своего рода	2	2
38	друг с другом	2	2
39	во втором случае	3	2
40	до сих пор	3	2
41	и прежде всего	4	2
42	здесь как и	2	2
