N	2gram	Tiupa_Narr	Marksizm
1	точки зрения	8	69
2	может быть	24	64
3	и в	22	63
4	и не	34	55
5	как бы	11	53
6	не может	16	47
7	с точки	2	46
8	и его	12	41
9	в этом	23	39
10	таким образом	5	38
11	в процессе	2	33
12	как мы	3	32
13	в пределах	2	31
14	лишь в	3	30
15	не только	50	29
16	в нем	9	28
17	то же	12	28
18	но и	39	27
19	самом деле	4	25
20	связи с	3	25
21	прежде всего	7	24
22	как и	15	24
23	в самом	8	24
24	так и	12	23
25	и т.п	11	23
26	только в	23	23
27	в том	20	22
28	то что	14	22
29	а не	27	22
30	при этом	31	20
31	так сказать	4	20
32	для него	8	20
33	том что	15	19
34	не в	12	19
35	в его	12	19
36	если бы	9	19
37	чужого слова	4	18
38	но в	10	18
39	в ее	4	18
40	и для	4	18
41	внутренней речи	3	18
42	в слове	4	18
43	вовсе не	2	18
44	все же	10	17
45	в сущности	2	17
46	в то	9	16
47	по отношению	5	16
48	и как	4	16
49	что он	7	15
50	в связи	3	15
51	во всех	2	15
52	отношению к	5	15
53	отнюдь не	6	15
54	же время	7	15
55	с помощью	2	15
56	в данном	17	14
57	хотя бы	4	14
58	язык как	2	14
59	ничего не	8	13
60	так же	2	13
61	мы не	5	13
62	того чтобы	7	13
63	было бы	2	13
64	в своей	8	13
65	не является	7	13
66	и здесь	3	13
67	слова в	4	13
68	в направлении	2	13
69	что в	6	13
70	в результате	4	12
71	а в	19	12
72	того же	2	12
73	для того	4	12
74	он не	8	12
75	между тем	5	12
76	друг друга	2	11
77	как в	9	11
78	и все	7	11
79	к нему	5	11
80	и на	5	11
81	высказывания в	3	11
82	в ней	5	11
83	сих пор	3	11
84	не столько	2	11
85	все эти	3	11
86	и от	3	11
87	еще не	6	11
88	и того	5	11
89	до сих	3	11
90	никогда не	8	10
91	и потому	2	10
92	бытия в	2	10
93	отличие от	6	10
94	во всяком	2	10
95	с его	6	10
96	сказать что	5	10
97	одна из	5	10
98	к этому	2	10
99	в своем	7	10
100	в отличие	6	10
101	с другой	6	10
102	именно в	5	10
103	в таком	4	10
104	в себе	14	9
105	одного и	2	9
106	а как	2	9
107	это не	6	9
108	только на	4	9
109	одной из	2	9
110	к тому	13	9
111	в нашем	4	9
112	что это	4	9
113	не имеет	3	9
114	как если	2	9
115	и более	2	9
116	точка зрения	5	9
117	же самое	3	9
118	быть и	3	9
119	перед нами	9	8
120	или иной	6	8
121	и ее	3	8
122	в форме	7	8
123	и т.д	7	8
124	тому что	4	8
125	что не	2	8
126	не будет	2	8
127	что и	3	8
128	другой стороны	2	8
129	и даже	4	8
130	мы можем	2	8
131	в данной	2	8
132	у нас	4	8
133	на то	4	8
134	в свою	4	8
135	и с	3	8
136	столь же	6	8
137	не было	3	8
138	сводится к	10	8
139	к другому	2	8
140	у него	13	8
141	ясно что	2	8
142	до конца	2	7
143	свою очередь	2	7
144	в формах	2	7
145	того что	7	7
146	по себе	4	7
147	место в	3	7
148	с ними	5	7
149	в качестве	27	7
150	в этой	8	7
151	в начале	4	7
152	бы в	2	7
153	в этих	3	7
154	далеко не	6	7
155	о том	5	7
156	в котором	3	7
157	не существует	3	7
158	той же	2	7
159	он сам	4	7
160	как раз	9	7
161	она может	2	6
162	то есть	15	6
163	в другом	5	6
164	он и	2	6
165	одной стороны	5	6
166	в какой	2	6
167	с ее	3	6
168	должна быть	2	6
169	из этих	6	6
170	сознания и	2	6
171	по мере	2	6
172	же в	6	6
173	зависимости от	3	6
174	с одной	5	6
175	между ними	3	6
176	входит в	2	6
177	уже не	11	6
178	всяком случае	2	6
179	в той	4	6
180	говорящего и	2	6
181	не к	4	6
182	тем же	3	6
183	этом отношении	5	5
184	но как	3	5
185	о чем	6	5
186	в конце	4	5
187	и у	4	5
188	для других	3	5
189	в виду	2	5
190	и тем	9	5
191	так называемая	2	5
192	точку зрения	3	5
193	связано с	2	5
194	и вот	2	5
195	то в	4	5
196	в особенности	2	5
197	в душе	3	5
198	не менее	6	5
199	или в	7	5
200	той или	7	5
201	в первом	4	5
202	в двух	2	5
203	хотя и	8	5
204	да и	5	5
205	себя в	4	5
206	все время	2	5
207	тем более	2	5
208	и лишь	2	5
209	жизни в	7	5
210	она не	2	5
211	но не	7	5
212	и является	2	5
213	для себя	3	5
214	в одном	5	5
215	как на	2	5
216	вместе с	3	5
217	или даже	3	4
218	как он	3	4
219	эти два	2	4
220	едва ли	5	4
221	но именно	3	4
222	к ее	3	4
223	в области	4	4
224	к своему	2	4
225	и к	7	4
226	и иных	3	4
227	можно сказать	11	4
228	одного из	6	4
229	и он	8	4
230	в единство	2	4
231	между двумя	6	4
232	можно назвать	2	4
233	в зависимости	3	4
234	и самого	3	4
235	и то	3	4
236	к его	5	4
237	первом случае	3	4
238	но при	5	4
239	в которой	2	4
240	что она	3	4
241	только с	2	4
242	переход от	2	4
243	только что	4	4
244	установкой на	2	4
245	одним из	2	4
246	со всеми	3	4
247	не знает	2	4
248	он является	4	4
249	автора и	2	4
250	но для	5	4
251	значения и	2	4
252	из них	4	4
253	как она	2	4
254	жизни и	7	4
255	в других	2	4
256	это и	2	4
257	если же	2	4
258	не о	2	3
259	от его	2	3
260	в действительности	2	3
261	и сама	2	3
262	ситуации и	2	3
263	к себе	11	3
264	не все	2	3
265	по своей	3	3
266	как к	3	3
267	глава первая	2	3
268	роль в	4	3
269	в году	2	3
270	в виде	2	3
271	в целом	5	3
272	или менее	2	3
273	они и	2	3
274	как это	7	3
275	мы узнаем	2	3
276	они не	3	3
277	более или	2	3
278	все его	4	3
279	потому что	7	3
280	во втором	6	3
281	так в	4	3
282	глава третья	2	3
283	ответ на	6	3
284	между собой	3	3
285	этом последнем	2	3
286	в следующей	3	3
287	с языком	2	3
288	и по	3	3
289	и тогда	2	3
290	себе самому	5	3
291	имеет место	4	3
292	глава вторая	2	3
293	одно и	2	3
294	того или	3	3
295	здесь не	4	3
296	к двум	2	3
297	но это	2	3
298	можно было	2	3
299	однако и	5	3
300	тем не	7	3
301	не утрачивая	2	3
302	границы между	2	3
303	человека в	2	3
304	и чужого	2	3
305	его и	2	3
306	и о	4	3
307	но они	4	3
308	не могло	3	3
309	на протяжении	12	3
310	на нее	2	3
311	на этот	2	3
312	также и	4	3
313	со своими	3	3
314	в обращении	2	3
315	со стороны	14	3
316	в своих	2	3
317	в русской	3	3
318	или иначе	2	3
319	а по	2	3
320	приводит к	2	3
321	еще в	4	3
322	однако не	2	3
