N	3gram	Losev_Dial	Vladivir
1	в том что	12	29
2	о том что	6	22
3	тем не менее	3	18
4	в то время	2	13
5	во всяком случае	3	12
6	в связи с	3	12
7	более или менее	5	11
8	содержит в себе	5	11
9	в конце концов	4	11
10	к тому же	2	11
11	в то же	7	10
12	с точки зрения	18	10
13	не может быть	4	10
14	то же время	8	9
15	в этом смысле	4	9
16	на то что	4	8
17	это значит что	16	7
18	точно так же	3	7
19	как это мы	2	6
20	с другой стороны	7	6
21	и в этом	4	6
22	так или иначе	3	6
23	само по себе	7	6
24	то время как	2	5
25	и в то	3	5
26	ничего не говорит	4	5
27	не только в	2	5
28	по крайней мере	11	4
29	сам по себе	8	4
30	можно сказать что	6	4
31	вовсе не есть	3	4
32	и ни в	2	4
33	не что иное	4	4
34	в этом отношении	2	4
35	можно было бы	4	4
36	с одной стороны	3	4
37	что иное как	4	4
38	и т д	28	4
39	то это значит	3	4
40	что он не	2	3
41	с самого начала	2	3
42	ни в каком	9	3
43	иметь в виду	4	3
44	даже больше того	2	3
45	не имеет никакого	3	3
46	ничего общего с	3	3
47	то в чем	3	3
48	только то что	6	3
49	субъекта и объекта	4	3
50	в самом деле	3	3
51	но это не	2	3
52	и в частности	4	3
53	к тому что	3	3
54	не в том	2	3
55	на самом же	2	3
56	это вовсе не	2	3
57	самом же деле	2	3
58	и то же	8	2
59	мы уже знаем	4	2
60	это конечно не	2	2
61	так как это	2	2
62	да и то	3	2
63	или по крайней	2	2
64	не имеет ничего	3	2
65	может быть и	6	2
66	имеет ничего общего	3	2
67	нельзя сказать что	3	2
68	до сих пор	4	2
69	свое учение о	2	2
70	одно и то	8	2
71	в таком случае	2	2
72	одной стороны и	3	2
73	ни в чем	2	2
74	что в нем	4	2
75	есть не что	3	2
76	и даже в	3	2
77	так как он	2	2
78	и можно сказать	3	2
79	это и есть	3	2
80	нечего и говорить	2	2
81	если иметь в	2	2
82	связи с этим	2	2
