N	2gram	Bakhtin_Pr	Otkroven
1	и в	38	19
2	но и	9	13
3	и не	42	13
4	в этом	15	12
5	не только	9	11
6	человека в	2	11
7	не в	7	11
8	а не	5	11
9	может быть	26	11
10	и все	3	10
11	в нем	15	10
12	никогда не	5	9
13	в самой	2	9
14	не было	2	9
15	прежде всего	13	9
16	и он	2	8
17	ивана карамазова	2	7
18	ни с	2	7
19	лишь в	2	7
20	в его	43	7
21	от него	3	7
22	он не	3	7
23	как и	7	6
24	все это	3	6
25	а в	6	5
26	в россии	2	5
27	в том	8	5
28	в самом	7	5
29	то что	8	5
30	отношение к	10	5
31	и его	16	4
32	что в	7	4
33	есть лишь	3	4
34	того чтобы	2	4
35	все эти	5	4
36	не может	27	4
37	что не	4	4
38	с его	2	4
39	в себе	4	3
40	и от	3	3
41	о том	4	3
42	это не	5	3
43	к нему	10	3
44	не могут	2	3
45	что он	2	3
46	было бы	8	3
47	для того	2	3
48	еще не	7	3
49	и есть	2	3
50	все что	3	3
51	в этих	2	3
52	в своих	2	3
53	и ее	2	3
54	как бы	22	3
55	хотя бы	4	3
56	могут быть	5	3
57	с ним	5	3
58	того что	2	3
59	как к	2	2
60	сказать что	4	2
61	и на	3	2
62	и для	11	2
63	что все	2	2
64	не имеет	9	2
65	не могли	2	2
66	ничего не	6	2
67	и с	17	2
68	что и	2	2
69	и потому	4	2
70	в ее	4	2
71	в других	4	2
72	в своем	5	2
73	и этим	6	2
74	тем что	2	2
75	но в	4	2
76	том что	3	2
77	природы и	3	2
78	все же	6	2
79	в своей	7	2
80	в истории	2	2
81	не все	2	2
82	должно быть	5	2
83	художественном творчестве	10	2
84	и о	5	2
85	не есть	6	2
86	к этому	2	2
87	и к	3	2
88	так и	5	2
89	хотя и	3	2
90	его не	2	2
91	в единстве	12	2
92	в другом	2	2
93	чем в	2	2
94	его в	9	2
