N	3gram	Tiupa_Teor	Myshleni
1	в том что	10	133
2	с точки зрения	3	89
3	для того чтобы	5	78
4	по отношению к	10	42
5	с одной стороны	3	39
6	с другой стороны	6	26
7	не может быть	5	23
8	к тому что	2	22
9	можно сказать что	3	21
10	не только не	2	21
11	и тем самым	2	19
12	в самом деле	2	19
13	в отличие от	7	18
14	состоит в том	6	18
15	в этом смысле	3	18
16	этой точки зрения	2	17
17	одного и того	4	17
18	в связи с	3	17
19	и того же	4	17
20	с этой точки	2	16
21	в известном смысле	2	15
22	в данном случае	5	15
23	в свою очередь	3	14
24	подобно тому как	3	14
25	а с другой	2	13
26	тем не менее	3	12
27	одно и то	2	12
28	и то же	2	12
29	в том числе	3	10
30	по своей природе	3	10
31	в самом начале	2	10
32	том числе и	2	10
33	сама по себе	2	9
34	в конечном счете	6	9
35	более или менее	6	9
36	том что он	2	9
37	как и в	2	9
38	не могут быть	2	8
39	той или иной	3	8
40	что в основе	2	8
41	включает в себя	2	7
42	приводит к тому	2	7
43	но он не	2	5
44	в то же	8	5
45	то что они	2	5
46	мы имеем дело	2	4
47	в значительной степени	2	4
48	бы то ни	2	3
49	и в самом	2	3
50	то ни было	2	3
51	в соответствии с	2	3
52	тех или иных	3	3
53	имеем в виду	3	3
54	мы имеем в	3	3
55	того или иного	6	3
56	то же время	8	3
57	до известной степени	2	2
58	как и ее	2	2
59	значении этого слова	3	2
60	в силу своей	4	2
61	тот или иной	3	2
62	ту или иную	2	2
63	по сути дела	3	2
64	в единое целое	2	2
65	тем или иным	2	2
