N	2gram	Vinokur_St	DiskursI
1	в качестве	7	72
2	а не	19	60
3	может быть	16	56
4	не только	36	49
5	и в	61	49
6	как и	11	47
7	при этом	4	46
8	в том	56	44
9	и не	23	44
10	то есть	2	41
11	том что	49	40
12	в этом	37	38
13	в себе	3	37
14	в частности	6	36
15	но и	28	35
16	своего рода	7	32
17	но не	5	31
18	со стороны	7	28
19	так и	15	28
20	но в	16	28
21	не может	10	27
22	по своей	2	26
23	как в	15	25
24	такого рода	2	24
25	еще не	4	23
26	а также	4	20
27	все же	12	19
28	прежде всего	11	19
29	в нем	9	19
30	в своей	12	19
31	в основе	4	18
32	по отношению	3	17
33	в данном	16	17
34	то же	7	17
35	с другой	11	17
36	отношению к	3	17
37	точки зрения	16	16
38	только в	11	16
39	в его	19	15
40	то что	27	15
41	о том	30	15
42	это не	8	14
43	не в	15	14
44	не менее	8	14
45	одной стороны	2	14
46	можно сказать	2	14
47	не является	5	14
48	с одной	3	14
49	в целом	5	13
50	для него	10	13
51	как бы	8	13
52	данном случае	7	12
53	в своем	8	12
54	и все	3	12
55	того же	4	12
56	в своих	2	12
57	и на	7	12
58	что в	41	11
59	в тексте	12	11
60	с его	3	11
61	и как	2	11
62	как правило	2	11
63	столь же	5	11
64	не было	7	11
65	для себя	3	10
66	а в	18	10
67	а с	6	10
68	не столько	6	10
69	также и	10	10
70	же время	5	10
71	тем самым	2	9
72	в то	10	9
73	между тем	7	9
74	в них	2	9
75	еще в	3	9
76	внимание на	5	9
77	этом отношении	13	8
78	и о	4	8
79	к тому	9	8
80	потому что	13	8
81	не на	3	8
82	хотя и	4	8
83	если в	2	8
84	и даже	8	8
85	в этих	5	8
86	в котором	11	8
87	в одном	7	8
88	из них	11	8
89	совпадает с	3	8
90	он не	11	8
91	его в	4	7
92	о чем	4	7
93	могут быть	5	7
94	одной из	4	7
95	и для	4	7
96	но это	9	7
97	в процессе	3	7
98	что и	8	7
99	например в	8	7
100	в этой	13	7
101	другой стороны	9	7
102	к этому	4	7
103	лишь в	3	7
104	ни для	2	7
105	ни в	5	7
106	в русской	4	7
107	той же	5	7
108	и его	11	7
109	таким образом	16	7
110	тому же	2	7
111	никогда не	7	6
112	к его	2	6
113	в одной	3	6
114	не как	2	6
115	отношение к	3	6
116	что он	23	6
117	в трагедии	13	6
118	не знает	2	6
119	одно из	3	6
120	именно в	8	6
121	что же	6	6
122	крайней мере	2	6
123	в сущности	2	6
124	в истории	5	6
125	в ее	6	6
126	и то	6	6
127	в эпоху	3	6
128	то в	3	6
129	дело в	9	6
130	во всех	8	6
131	времени и	4	6
132	по крайней	2	6
133	в которых	5	6
134	с точки	10	6
135	в период	2	6
136	в первую	2	5
137	ничего не	6	5
138	в другом	5	5
139	по словам	7	5
140	в виду	6	5
141	в их	3	5
142	не всегда	2	5
143	и потому	3	5
144	того что	14	5
145	для своего	2	5
146	во втором	5	5
147	несмотря на	4	5
148	же касается	3	5
149	было в	2	5
150	первую очередь	2	5
151	того как	8	5
152	как будто	5	5
153	сказать что	9	5
154	значительной степени	3	5
155	из этих	7	5
156	за пределы	2	5
157	мысль о	2	5
158	во второй	10	5
159	из двух	3	5
160	рода в	2	5
161	в значительной	2	5
162	но они	3	5
163	что касается	4	5
164	оно не	3	5
165	в сторону	2	5
166	в той	9	5
167	как раз	10	5
168	говорить о	3	5
169	не к	2	5
170	в ней	9	5
171	тем что	6	5
172	не о	2	4
173	до конца	4	4
174	свое время	3	4
175	не могут	2	4
176	трагедии в	3	4
177	из того	2	4
178	а на	4	4
179	более чем	3	4
180	с той	3	4
181	и тем	3	4
182	одном из	4	4
183	в свое	3	4
184	того или	4	4
185	по своему	2	4
186	как это	6	4
187	и это	4	4
188	мн др	3	4
189	на его	2	4
190	и мн	3	4
191	что не	3	4
192	в году	3	4
193	можно назвать	3	4
194	и до	2	4
195	и во	3	4
196	что они	9	4
197	в первом	2	4
198	должны быть	4	4
199	во всяком	8	4
200	или иного	4	4
201	мы имеем	2	4
202	а к	2	4
203	это в	4	4
204	в равной	2	4
205	хотя в	2	4
206	однако и	2	4
207	в результате	5	4
208	этом случае	3	4
209	отличается от	2	4
210	в данной	2	4
211	тем не	4	4
212	я не	13	4
213	связи с	3	4
214	одним из	2	4
215	в какой	4	4
216	есть в	2	4
217	в самом	14	4
218	будто бы	4	4
219	и к	5	4
220	по себе	3	4
221	не для	3	4
222	говорит о	5	4
223	текста в	5	4
224	еще и	5	3
225	вопрос о	9	3
226	в повестях	6	3
227	не подлежит	2	3
228	идет о	3	3
229	в тех	5	3
230	этого рода	2	3
231	вплоть до	6	3
232	в обоих	2	3
233	в форме	2	3
234	в иных	2	3
235	присутствует в	3	3
236	ли не	2	3
237	к которому	4	3
238	оказывается в	2	3
239	это и	5	3
240	в новом	4	3
241	борисе годунове	21	3
242	языка и	4	3
243	в области	16	3
244	на основании	2	3
245	как на	10	3
246	своего времени	4	3
247	у пушкина	17	3
248	что ни	2	3
249	мере в	3	3
250	пушкиным в	14	3
251	о котором	2	3
252	значение для	2	3
253	она не	3	3
254	они не	2	3
255	более или	2	3
256	об этом	9	3
257	в романе	4	3
258	уже о	6	3
259	что на	3	3
260	на себя	3	3
261	не говоря	2	3
262	котором он	2	3
263	и он	2	3
264	для этого	2	3
265	числе и	2	3
266	все эти	7	3
267	было бы	21	3
268	мы не	3	3
269	говоря уже	2	3
270	дело не	4	3
271	должна быть	3	3
272	том числе	3	3
273	да и	4	3
274	и от	2	3
275	с этим	6	3
276	в сцене	7	3
277	в начале	5	3
278	особенно в	2	3
279	с их	2	3
280	хотя бы	8	3
281	в которой	13	3
282	который не	3	3
283	и по	6	3
284	бы это	2	3
285	бориса годунова	70	3
286	не просто	2	3
287	но также	13	3
288	чем не	2	3
289	в борисе	19	3
290	заключается в	5	3
291	дело с	2	3
292	и более	4	3
293	или менее	2	3
294	обоих случаях	2	3
295	но все	9	3
296	отношения к	2	3
297	не имеет	5	3
298	их в	2	3
299	это прежде	2	3
300	на почве	2	3
301	уже в	3	3
302	всяком случае	8	3
303	и иные	2	3
304	жизни и	6	3
305	к числу	3	3
306	то ни	2	3
307	место в	2	3
308	и сам	4	3
309	и что	8	3
310	имеем дело	2	3
311	и без	4	3
312	тем же	3	3
313	вместе с	5	3
314	я с	3	2
315	от его	2	2
316	ему не	3	2
317	в отношении	11	2
318	как можно	2	2
319	той мере	2	2
320	не имеют	2	2
321	вопроса о	3	2
322	в каждом	3	2
323	должно было	5	2
324	или о	2	2
325	как к	3	2
326	сами по	2	2
327	быть и	2	2
328	с басмановым	3	2
329	от своего	2	2
330	и вся	2	2
331	о которых	3	2
332	к своему	3	2
333	самом деле	14	2
334	для кого	2	2
335	в чем	4	2
336	его не	3	2
337	не являются	3	2
338	по существу	3	2
339	пушкинской трагедии	7	2
340	в россии	7	2
341	так например	12	2
342	для понимания	2	2
343	до его	2	2
344	из романа	2	2
345	не приходится	5	2
346	к нему	2	2
347	о мире	2	2
348	только с	4	2
349	с самого	4	2
350	в г	10	2
351	свидетельствует о	2	2
352	разного рода	2	2
353	в голову	2	2
354	а потому	2	2
355	говорит об	4	2
356	ответ на	4	2
357	речь идет	6	2
358	не могло	4	2
359	тем или	3	2
360	же несомненно	2	2
361	о своей	2	2
362	самого начала	3	2
363	иметь в	2	2
364	что с	4	2
365	пушкина и	20	2
366	писателя в	2	2
367	все это	13	2
368	свидетельствуют о	2	2
369	этого слова	2	2
370	же как	5	2
371	вовсе не	24	2
372	бы то	2	2
373	и и	2	2
374	годунова в	5	2
375	по поводу	13	2
376	представление о	5	2
377	и вообще	5	2
378	в стихах	2	2
379	что так	3	2
380	же это	3	2
381	тем более	4	2
382	в первой	12	2
383	что она	5	2
384	это было	2	2
385	к концу	3	2
386	на него	3	2
387	перед собой	2	2
388	целый ряд	3	2
389	если бы	11	2
390	что как	3	2
391	и вполне	4	2
392	чем у	2	2
393	для того	15	2
394	и их	3	2
395	в книгу	2	2
