N	2gram	Propp_Russ	TeoriaLi
1	в качестве	5	33
2	не только	28	24
3	и в	59	24
4	в частности	2	23
5	то есть	3	22
6	состоит в	18	22
7	может быть	14	22
8	в том	33	20
9	при этом	11	20
10	тогда как	4	18
11	и не	6	17
12	а в	16	15
13	но и	20	14
14	так и	8	14
15	а не	3	14
16	но не	7	13
17	представляет собой	5	13
18	в этом	18	12
19	то же	6	12
20	но в	5	12
21	в его	3	12
22	том что	33	11
23	точки зрения	3	11
24	своего рода	3	11
25	и его	2	11
26	как это	11	10
27	что в	35	10
28	в данном	7	9
29	не в	2	9
30	в то	3	9
31	только в	4	9
32	не может	6	8
33	как бы	18	8
34	в своем	3	7
35	а также	6	7
36	мы имеем	7	7
37	в области	3	7
38	отличие от	4	7
39	в отличие	4	7
40	место в	2	7
41	не столько	3	7
42	в нем	3	7
43	не менее	3	6
44	еще не	7	6
45	то что	10	6
46	как и	19	6
47	с другими	3	6
48	уже не	9	6
49	приводит к	4	6
50	данном случае	8	5
51	а и	7	5
52	как в	10	5
53	как правило	4	5
54	в виду	3	5
55	не является	2	5
56	для того	6	5
57	и о	4	5
58	в пределах	2	5
59	не случайно	2	5
60	за пределами	2	5
61	между тем	9	5
62	могут быть	3	5
63	а а	33	5
64	того чтобы	6	5
65	того что	6	5
66	его в	9	4
67	это не	14	4
68	так в	5	4
69	и ее	3	4
70	в форме	3	4
71	в силу	2	4
72	этого слова	3	4
73	и а	4	4
74	в их	5	4
75	в этих	3	4
76	что он	2	4
77	по своему	2	4
78	далеко не	5	4
79	к тому	4	4
80	слова в	3	4
81	входит в	4	4
82	в свою	3	4
83	в целом	2	4
84	и что	8	4
85	говорить о	2	4
86	или даже	3	4
87	не на	2	4
88	в нашем	2	4
89	хотя и	3	4
90	но он	3	4
91	и то	2	3
92	перед нами	2	3
93	и потому	3	3
94	во всех	6	3
95	из этих	6	3
96	о чем	7	3
97	в которой	3	3
98	не все	4	3
99	и для	3	3
100	тем не	3	3
101	и как	2	3
102	или в	7	3
103	он должен	2	3
104	подобно тому	3	3
105	свою очередь	2	3
106	в таком	5	3
107	одним из	2	3
108	с этой	2	3
109	а именно	2	3
110	на две	3	3
111	между собой	4	3
112	и др	4	3
113	а с	6	3
114	не с	5	3
115	есть в	2	3
116	в жизни	2	3
117	их в	7	3
118	именно в	3	3
119	потому что	15	3
120	тому как	3	3
121	прежде всего	2	3
122	и к	3	3
123	отнюдь не	3	3
124	равной степени	2	3
125	с точки	3	3
126	а на	8	3
127	все эти	5	3
128	и по	10	3
129	в равной	2	3
130	связи с	6	3
131	в связи	4	3
132	таким образом	10	3
133	во всей	2	3
134	например в	3	3
135	в этой	4	3
136	имеет место	3	3
137	в одном	4	3
138	между двумя	2	3
139	но она	3	2
140	право на	2	2
141	так же	7	2
142	если в	3	2
143	дело не	2	2
144	у и	2	2
145	не всегда	4	2
146	что она	4	2
147	вокруг него	2	2
148	как уже	6	2
149	в глаза	3	2
150	об этом	11	2
151	и здесь	3	2
152	у нас	11	2
153	только на	4	2
154	и другие	24	2
155	у него	2	2
156	вместе с	16	2
157	в одно	2	2
158	в какой	3	2
159	здесь мы	3	2
160	ногами и	2	2
161	что каждый	2	2
162	к нему	3	2
163	к нам	2	2
164	тот кто	2	2
165	и это	2	2
166	ее в	7	2
167	тому что	4	2
168	о том	14	2
169	оно не	2	2
170	должен быть	2	2
171	следует признать	2	2
172	и на	14	2
173	на себя	4	2
174	значения и	2	2
175	на этом	6	2
176	в году	5	2
177	из которых	2	2
178	для обозначения	2	2
179	один из	10	2
180	в них	10	2
181	несмотря на	4	2
182	к жизни	3	2
183	что и	8	2
184	к числу	2	2
185	а затем	5	2
186	к другому	2	2
187	с ними	6	2
188	в противном	2	2
189	себя и	2	2
190	не просто	3	2
191	и некоторые	3	2
192	все это	12	2
193	что они	8	2
194	как будто	6	2
195	в большинстве	2	2
196	который в	2	2
197	быть и	3	2
