N	2gram	Vygotskiy_	NovoeSre
1	а не	11	17
2	и в	65	16
3	не может	17	16
4	совсем не	3	12
5	и не	20	11
6	и есть	3	10
7	что в	36	9
8	жизни и	6	8
9	как не	3	8
10	в том	46	8
11	он не	11	8
12	не будет	2	7
13	может быть	33	7
14	как и	12	7
15	в этом	37	7
16	это есть	3	7
17	никогда не	9	6
18	ни в	6	6
19	не в	12	6
20	но это	6	6
21	с его	2	6
22	не только	16	5
23	в жизни	6	5
24	должен быть	4	5
25	все это	12	5
26	в нем	8	5
27	с ее	5	5
28	в ней	23	5
29	и к	5	5
30	по своему	6	4
31	в них	4	4
32	и для	4	4
33	не имеет	8	4
34	прежде всего	2	4
35	не было	4	4
36	и мы	19	4
37	то что	61	4
38	о том	17	4
39	это не	7	4
40	потому что	26	4
41	и все	14	4
42	наше время	2	4
43	значит что	2	4
44	в мире	3	3
45	перейти от	2	3
46	но и	6	3
47	в наше	2	3
48	с другой	8	3
49	в ее	9	3
50	она не	10	3
51	к тому	18	3
52	что такое	2	3
53	в своей	6	3
54	еще не	3	3
55	к ним	3	3
56	в истории	3	3
57	перейти к	3	3
58	растет и	2	3
59	должна быть	5	3
60	как в	8	3
61	конечно не	6	3
62	сказать что	14	3
63	во всех	4	3
64	это было	4	3
65	наряду с	4	3
66	в основе	5	3
67	с тем	14	3
68	в одну	2	2
69	время как	6	2
70	зависит от	2	2
71	в себе	9	2
72	что она	34	2
73	которую она	2	2
74	как будто	13	2
75	все они	3	2
76	и с	4	2
77	одна из	6	2
78	том чтобы	2	2
79	для этого	9	2
80	но не	3	2
81	что все	10	2
82	думать что	3	2
83	не могли	5	2
84	роль в	2	2
85	того чтобы	21	2
86	и это	13	2
87	хотя бы	3	2
88	когда мы	5	2
89	же как	3	2
90	из ее	2	2
91	а в	9	2
92	все время	36	2
93	но в	5	2
94	том что	28	2
95	не к	5	2
96	можно назвать	2	2
97	и на	7	2
98	с этим	11	2
99	есть в	3	2
100	и что	29	2
101	ли это	3	2
102	все эти	7	2
103	мы не	7	2
104	к самой	2	2
105	и было	2	2
106	не имеют	4	2
107	можно было	7	2
108	это и	4	2
109	люди не	2	2
110	у него	6	2
111	уже не	2	2
112	по существу	4	2
113	для чего	2	2
114	как это	13	2
115	другой стороны	5	2
116	так же	12	2
117	так и	3	2
118	силы и	3	2
119	одной стороны	6	2
120	такой же	2	2
121	в то	5	2
122	не могла	2	2
123	мысли и	2	2
124	с одной	7	2
125	переход к	2	2
126	и формы	2	2
127	на гибель	2	2
128	том и	3	2
129	место в	6	2
130	и даже	4	2
131	вместе с	10	2
132	я не	9	2
