N	2gram	Bakhtin_Pr	Formalny
1	и в	83	95
2	и не	41	78
3	может быть	23	66
4	в этом	24	61
5	не может	18	57
6	вовсе не	12	53
7	таким образом	9	52
8	и его	13	51
9	так и	9	50
10	точки зрения	17	47
11	в нем	21	42
12	в его	15	42
13	прежде всего	20	41
14	с точки	13	40
15	как и	13	39
16	не в	10	35
17	в самом	7	35
18	в процессе	4	34
19	а не	19	34
20	но и	16	33
21	то же	10	32
22	не только	14	30
23	в пределах	8	28
24	в том	22	26
25	то что	14	25
26	на самом	2	24
27	при этом	6	24
28	в своей	5	24
29	в ней	8	23
30	было бы	6	23
31	с помощью	4	23
32	в то	8	22
33	и ее	8	22
34	в истории	4	21
35	как бы	27	21
36	что в	5	21
37	и с	10	21
38	в их	7	20
39	не менее	4	20
40	между ними	14	20
41	и от	4	20
42	как мы	12	20
43	же время	8	20
44	место в	3	20
45	не могут	4	19
46	все это	11	19
47	хотя бы	6	19
48	по себе	3	19
49	все же	3	18
50	и все	14	18
51	все эти	9	18
52	в связи	2	18
53	с его	4	18
54	и их	6	18
55	только в	10	18
56	более того	9	17
57	именно как	3	17
58	как в	10	17
59	как раз	6	17
60	так же	4	16
61	во всяком	2	16
62	совершенно не	4	16
63	с другой	4	16
64	потому что	9	16
65	его в	4	15
66	все время	2	15
67	но в	12	15
68	бы в	2	15
69	с другими	6	15
70	так как	12	15
71	должно быть	4	15
72	во всех	15	15
73	в литературе	8	15
74	именно в	3	15
75	и на	27	15
76	что он	6	14
77	только на	3	14
78	в целом	3	14
79	в ее	3	14
80	в своем	2	14
81	еще не	10	14
82	в жизни	14	14
83	в этой	3	14
84	если мы	5	14
85	и потому	6	14
86	жизни и	13	14
87	вместе с	5	14
88	до конца	3	13
89	а в	4	13
90	могут быть	5	13
91	для них	2	13
92	что и	4	13
93	в результате	2	13
94	она не	4	13
95	тем что	2	13
96	ни в	4	13
97	как его	2	13
98	по отношению	6	12
99	как это	2	12
100	там где	3	12
101	и здесь	4	12
102	к тому	2	12
103	отношению к	5	12
104	и для	5	12
105	уже не	5	12
106	никогда не	10	11
