N	2gram	Savitsky_P	Vvedenie
1	и т	3	45
2	т е	3	40
3	в том	9	38
4	в этом	10	35
5	и в	14	35
6	том что	4	30
7	может быть	5	30
8	не только	17	26
9	для того	3	23
10	не может	4	19
11	то что	4	19
12	потому что	3	18
13	но также	4	16
14	со стороны	2	16
15	только в	7	16
16	в общем	2	14
17	и не	12	13
18	что в	4	13
19	в нем	3	13
20	того что	2	12
21	точки зрения	3	12
22	в его	2	12
23	как на	2	12
24	то же	9	11
25	по себе	4	11
26	в ее	2	11
27	не в	5	10
28	прежде всего	3	10
29	но в	9	10
30	между тем	3	10
31	и как	3	9
32	но не	3	9
33	не менее	2	9
34	это не	3	8
35	с другой	5	8
36	именно в	2	8
37	в качестве	9	8
38	как бы	4	7
39	но и	6	7
40	было бы	6	7
41	хотя бы	8	6
42	с тем	3	6
43	и это	2	6
44	а в	4	6
45	в которых	5	6
46	могут быть	3	6
47	в то	7	6
48	все это	2	6
49	же время	7	6
50	и тем	2	5
51	культуры в	2	5
52	есть не	2	5
53	она есть	3	5
54	в них	2	5
55	говорить о	2	5
56	а не	2	5
57	хотя и	3	5
58	да и	2	4
59	по сравнению	2	4
60	одной стороны	3	4
61	в области	11	4
62	с одной	3	4
63	заключается в	3	4
64	взгляда на	2	4
65	в котором	4	4
66	в виде	2	4
67	из них	2	4
68	в себе	3	4
69	с точки	3	4
70	как раз	2	4
71	одна из	2	3
72	в отношении	10	3
73	в своем	4	3
74	а также	4	3
75	с этим	2	3
76	в начале	2	3
77	в значительной	2	3
78	если бы	4	3
79	и вот	2	3
80	в силу	2	3
81	в частности	2	3
82	в с	4	3
83	стороны и	2	3
84	именно как	2	3
85	в ней	6	3
86	и к	4	3
87	наряду с	3	3
88	и есть	2	3
89	и других	2	3
90	д а	3	2
91	и потому	4	2
92	мы должны	4	2
93	во всех	2	2
94	время в	2	2
95	тем более	2	2
96	в сопоставлении	2	2
97	должно быть	2	2
98	не нужно	2	2
99	может ли	2	2
100	отношении к	5	2
101	большей степени	4	2
102	и без	3	2
103	и с	2	2
104	которое в	2	2
105	не столько	2	2
106	что мы	3	2
107	для них	2	2
108	в ряду	2	2
109	не было	2	2
110	мы не	3	2
111	значительной мере	2	2
112	так называемые	2	2
113	например в	2	2
114	не к	2	2
