N	2gram	Ircho_Kome	Stilisti
1	и в	40	42
2	как бы	3	30
3	не только	12	28
4	прежде всего	8	22
5	хотя бы	2	18
6	то же	7	16
7	но и	14	16
8	и не	19	14
9	не может	3	13
10	может быть	16	13
11	как и	12	12
12	точки зрения	7	11
13	в себе	3	10
14	и как	3	10
15	отнюдь не	2	10
16	общественной жизни	2	10
17	в этом	9	10
18	как мы	5	10
19	в то	14	9
20	для того	3	9
21	все же	7	9
22	то что	8	9
23	при этом	5	9
24	мы не	4	9
25	ничего не	4	8
26	так как	6	8
27	и это	3	8
28	с тем	5	8
29	в ней	2	8
30	что же	2	8
31	таким образом	13	8
32	с его	4	8
33	и от	2	7
34	в которой	9	7
35	мы можем	6	7
36	же время	5	7
37	так и	17	7
38	потому что	8	7
39	только в	6	7
40	и на	9	7
41	того чтобы	4	7
42	было бы	8	7
43	и его	17	7
44	той же	3	7
45	и тем	2	7
46	бы в	3	6
47	во всех	4	6
48	не в	8	6
49	в области	3	6
50	в конце	7	6
51	в нем	8	6
52	в свою	2	6
53	на его	5	6
54	в его	8	6
55	в форме	2	6
56	в этой	9	6
57	все время	2	5
58	в сознании	4	5
59	независимо от	5	5
60	и следовательно	2	5
61	в нашем	2	5
62	связанных с	2	5
63	не является	2	5
64	и их	3	5
65	как это	7	5
66	мы видели	2	5
67	но все	4	5
68	тому что	4	5
69	точек зрения	2	5
70	а в	9	5
71	но в	6	5
72	в самом	5	5
73	и с	8	5
74	уже в	9	5
75	в той	2	5
76	же самое	2	5
77	вместе с	8	5
78	да и	5	4
79	что это	5	4
80	в одном	10	4
81	так же	4	4
82	на это	3	4
83	само собой	2	4
84	его в	6	4
85	на него	4	4
86	если бы	4	4
87	что именно	3	4
88	так называемой	3	4
89	у нас	3	4
90	всего в	5	4
91	самого начала	2	4
92	можно было	5	4
93	один из	9	4
94	и все	4	4
95	в каждом	2	4
96	с самого	3	4
97	к тому	15	4
98	о том	12	4
99	и к	2	4
100	в целом	6	4
101	того времени	3	4
102	все это	7	4
103	в качестве	8	4
104	себя в	2	4
105	не к	2	4
106	и без	3	4
107	тем же	2	4
108	это не	2	3
109	том что	19	3
110	нуждается в	2	3
111	а к	2	3
112	в начале	7	3
113	в тех	5	3
114	и поэтому	2	3
115	об этом	2	3
116	и даже	5	3
117	от того	3	3
118	и здесь	6	3
119	целый ряд	2	3
120	роль в	2	3
121	конце концов	4	3
122	во второй	4	3
123	в виду	2	3
124	в том	19	3
125	в частности	7	3
126	еще не	7	3
127	только на	2	3
128	как в	8	3
129	и вот	4	3
130	чаще всего	3	3
131	по своему	5	3
132	теперь в	2	3
133	и для	4	3
134	нет и	2	3
135	что у	6	3
136	в котором	6	3
137	зрения на	2	3
138	ответ на	2	3
139	из которых	5	3
140	главным образом	4	3
141	из них	16	3
142	представить себе	3	3
143	хотя и	6	3
144	несмотря на	5	3
145	жизни и	4	3
146	что и	10	3
147	в ее	2	3
148	и уже	2	3
149	связи с	3	3
150	слова о	2	3
151	между тем	9	3
152	не мог	4	3
153	здесь мы	3	3
154	еще и	2	2
155	до конца	3	2
156	в отношении	6	2
157	для этого	2	2
158	вопрос о	5	2
159	которые в	3	2
160	с этим	5	2
161	для всех	5	2
162	относится к	2	2
163	из этих	5	2
164	в первой	2	2
165	времени и	2	2
166	каждый из	3	2
167	к этому	8	2
168	по отношению	5	2
169	должны были	9	2
170	такой прием	2	2
171	мы найдем	4	2
172	отношение к	3	2
173	ли не	8	2
174	друг друга	2	2
175	к которому	4	2
176	из всего	2	2
177	а на	2	2
178	в середине	5	2
179	тем что	5	2
180	человека в	2	2
181	этом отношении	3	2
182	из двух	2	2
183	в их	6	2
184	да еще	2	2
185	не всегда	2	2
186	в этих	5	2
187	что он	11	2
188	по своей	2	2
189	и сам	5	2
190	нас не	2	2
191	в какой-то	3	2
192	должна была	3	2
193	отношению к	5	2
194	сих пор	3	2
195	в какой	2	2
196	при всем	3	2
197	чуть ли	2	2
198	в так	2	2
199	одной из	6	2
200	в мире	3	2
201	на этот	5	2
202	только потому	2	2
203	но не	3	2
204	материал для	2	2
205	к нему	5	2
206	тому же	14	2
207	гораздо более	2	2
208	связанные с	2	2
209	в своих	2	2
210	еще более	2	2
211	связь с	2	2
212	с собой	2	2
213	ту же	2	2
214	из трех	2	2
215	не говоря	4	2
216	однако в	4	2
217	место в	7	2
218	о чем	2	2
219	для них	2	2
220	но это	2	2
221	в своей	3	2
222	или в	5	2
223	в связи	3	2
224	он не	5	2
225	друг другу	2	2
226	тот же	5	2
227	вовсе не	3	2
228	ясно что	9	2
229	это слово	4	2
