N	2gram	Medvedev_U	Istorich
1	и в	14	181
2	может быть	6	115
3	не только	10	114
4	что он	2	111
5	но и	4	85
6	в этом	7	81
7	то что	7	73
8	таким образом	2	72
9	и не	8	67
10	все же	3	65
11	не может	7	61
12	то же	5	56
13	в том	2	53
14	том что	2	53
15	с другой	4	52
16	что и	2	51
17	а не	10	48
18	не в	2	47
19	другой стороны	3	46
20	превращается в	2	45
21	но в	3	44
22	это не	3	43
23	только в	2	42
24	в его	2	38
25	тем что	2	38
26	как и	3	37
27	мы не	2	35
28	но не	2	34
29	сих пор	2	32
30	ничего не	2	31
31	прежде всего	8	31
32	до сих	2	30
33	но это	2	29
34	что она	2	28
35	и с	2	28
36	могут быть	2	27
37	было бы	3	24
38	если бы	2	24
39	что мы	2	24
40	все это	5	23
41	в частности	3	23
42	в этой	4	23
43	в некоторых	2	22
44	не все	2	18
45	в то	3	18
46	по существу	2	17
47	и только	5	17
48	всех этих	2	16
49	в своей	3	15
50	и то	3	15
51	его и	2	15
52	у нас	3	14
53	должна быть	2	14
54	и для	2	13
55	и у	2	13
56	в себе	2	13
57	по себе	2	13
58	в их	4	12
59	одним из	2	12
60	хотя бы	5	12
61	если не	2	10
62	не как	3	10
63	о чем	2	10
64	а как	2	9
65	не могут	2	9
66	на первый	2	9
67	же не	2	9
68	вот почему	7	9
69	с его	2	9
70	для этого	3	8
71	что такое	4	8
72	смысле этого	2	8
73	же самое	2	8
74	конечно не	4	8
75	в конце	2	7
76	между тем	2	7
77	не есть	2	7
78	в области	3	7
79	самом деле	2	7
80	не столько	2	7
81	для него	3	7
82	что все	2	6
83	формы и	2	6
84	на эту	2	6
85	к сожалению	3	6
86	сводится к	2	6
87	не случайно	2	6
88	это уже	2	5
89	это было	2	5
90	как таковой	2	5
91	художественного творчества	5	5
92	их и	2	5
93	но даже	2	5
94	в сторону	2	5
95	мы и	2	5
96	все они	2	4
97	формы в	3	4
98	как раз	2	4
99	очевидно что	3	4
100	и формы	3	4
101	а его	2	4
102	нас в	2	4
103	и через	2	4
104	но конечно	2	4
105	в самом	2	4
106	при таком	2	3
107	вряд ли	3	3
108	является в	2	3
109	именно как	2	3
110	бы то	3	3
111	ни было	3	3
112	в системе	2	3
113	могли бы	2	3
114	то ни	3	3
115	для всех	2	3
116	даже и	2	3
117	еще ничего	2	3
118	не о	3	2
119	материал для	2	2
120	дело конечно	2	2
121	материала и	2	2
122	ее нельзя	2	2
123	в конечном	4	2
124	более чем	2	2
125	перестает быть	5	2
126	наконец он	2	2
127	меньшей степени	2	2
128	или точнее	3	2
129	мы получаем	2	2
130	или иных	2	2
131	не следует	3	2
132	сколько угодно	2	2
133	а о	2	2
134	думается что	2	2
