N	2gram	Vinokur_St	Hudozhes
1	в качестве	7	31
2	то есть	2	26
3	и в	61	23
4	не только	36	20
5	в том	56	20
6	может быть	16	19
7	при этом	4	19
8	в частности	6	18
9	и не	23	16
10	но и	28	14
11	а в	18	13
12	в себе	3	13
13	но не	5	13
14	в тексте	12	13
15	а не	19	13
16	то же	7	12
17	такого рода	2	12
18	в этом	37	12
19	и его	11	12
20	так и	15	12
21	как бы	8	11
22	точки зрения	16	11
23	в его	19	11
24	но в	16	10
25	по отношению	3	10
26	отношению к	3	10
27	не в	15	9
28	том что	49	9
29	не может	10	9
30	с другой	11	9
31	своего рода	7	9
32	в то	10	8
33	в области	16	8
34	в самом	14	7
35	по своей	2	7
36	отношение к	3	7
37	лишь в	3	7
38	в своей	12	7
39	только в	11	7
40	же время	5	7
41	как это	6	7
42	что в	41	7
43	в основе	4	7
44	не столько	6	7
45	более или	2	6
46	мы имеем	2	6
47	другой стороны	9	6
48	а также	4	6
49	в нем	9	6
50	можно сказать	2	6
51	в ее	6	6
52	с его	3	6
53	или менее	2	6
54	я с	3	5
55	тем самым	2	5
56	ни в	5	5
57	или иначе	3	5
58	могут быть	5	5
59	место в	2	5
60	как к	3	5
61	для того	15	5
62	того чтобы	15	5
63	в виду	6	5
64	а на	4	5
65	со стороны	7	5
66	в их	3	5
67	не является	5	5
68	что он	23	5
69	не на	3	5
70	то что	27	5
71	не менее	8	5
72	прежде всего	11	5
73	того что	14	5
74	для него	10	5
75	или иным	3	4
76	в слове	5	4
77	и то	6	4
78	сказать что	9	4
79	в отношении	11	4
80	его в	4	4
81	или иного	4	4
82	это не	8	4
83	для себя	3	4
84	того или	4	4
85	к тому	9	4
86	из которого	2	4
87	на почве	2	4
88	между тем	7	4
89	в данном	16	4
90	во втором	5	4
91	в форме	2	4
92	в другом	5	4
93	не знает	2	4
94	и как	2	4
95	еще не	4	4
96	к которому	4	4
97	и тем	3	4
98	и что	8	4
99	говорить о	3	4
100	в этих	5	4
101	он не	11	4
102	и о	4	4
103	отношения к	2	4
104	например в	8	4
105	в своем	8	4
106	хотя и	4	4
107	так или	3	4
108	даже в	5	3
109	к нему	2	3
110	и для	4	3
111	по своему	2	3
112	в романе	4	3
113	оказывается в	2	3
114	как и	11	3
115	того же	4	3
116	их в	2	3
117	культуры в	3	3
118	потому что	13	3
119	о чем	4	3
120	одной стороны	2	3
121	в русской	4	3
122	том числе	3	3
123	в целом	5	3
124	к его	2	3
125	и к	5	3
126	во всех	8	3
127	тем не	4	3
128	а именно	3	3
129	из этих	7	3
130	связи с	3	3
131	и на	7	3
132	если бы	11	3
133	в той	9	3
134	как раз	10	3
135	с точки	10	3
136	он должен	2	3
137	как говорит	3	3
138	с этой	5	3
139	текст в	2	3
140	таким образом	16	3
141	в таком	4	3
142	и сам	4	3
143	есть в	2	3
144	в которой	13	3
145	никто не	4	3
146	была бы	10	3
147	как правило	2	3
148	этом смысле	2	3
149	отношении к	3	3
150	в одном	7	3
151	с одной	3	3
152	текста в	5	3
153	но он	5	3
154	никогда не	7	2
155	о том	30	2
156	одной из	4	2
157	для понимания	2	2
158	в каком	4	2
159	вытекает из	2	2
160	как в	15	2
161	наших глазах	2	2
162	начиная с	2	2
163	одно из	3	2
164	и это	4	2
165	ее в	2	2
166	тому что	8	2
167	и потому	3	2
168	значительной степени	3	2
169	то в	3	2
170	идет о	3	2
171	могло быть	3	2
172	еще и	5	2
173	столь же	5	2
174	в чем	4	2
175	что такое	2	2
176	именно в	8	2
177	все эти	7	2
178	тем более	4	2
179	не всегда	2	2
180	не все	3	2
181	времени и	4	2
182	оно не	3	2
183	что она	5	2
184	с их	2	2
185	должен быть	3	2
186	за пределы	2	2
187	быть и	2	2
188	говорит что	4	2
189	совпадает с	3	2
190	дело не	4	2
191	я думаю	11	2
192	не как	2	2
193	так же	7	2
194	отличается от	2	2
195	об этом	9	2
196	но на	2	2
197	и по	6	2
198	всякий раз	2	2
199	я не	13	2
200	в известном	3	2
201	втором случае	2	2
202	в них	2	2
203	по себе	3	2
204	речь идет	6	2
205	не могло	4	2
206	несмотря на	4	2
207	тем или	3	2
208	это и	5	2
209	пушкина что	3	2
210	все это	13	2
211	в словаре	3	2
212	в сторону	2	2
213	бы не	2	2
214	числе и	2	2
215	что и	8	2
216	в значительной	2	2
217	истории литературы	2	2
218	то ни	2	2
219	от своего	2	2
220	в году	3	2
221	в равной	2	2
222	xix века	2	2
223	одним из	2	2
224	не просто	2	2
225	к своему	3	2
226	и другие	3	2
227	в случае	2	2
228	никем не	2	2
229	самом деле	14	2
230	случае не	3	2
231	и более	4	2
232	этого слова	2	2
233	в этой	13	2
234	но только	2	2
235	говорит в	3	2
236	а с	6	2
237	превращается в	2	2
238	этих двух	4	2
239	в какой	4	2
240	ни для	2	2
241	и который	3	2
242	вовсе не	24	2
243	заключается в	5	2
244	имеем дело	2	2
245	у него	3	2
246	бы то	2	2
247	первой части	2	2
