N	2gram	Propp_Morf	PoTuStor
1	может быть	61	17
2	и в	17	16
3	и пр	45	12
4	мы можем	5	9
5	в этом	18	9
6	и только	3	9
7	таким образом	26	9
8	прежде всего	14	9
9	точки зрения	7	8
10	не может	19	8
11	и его	3	8
12	сказать что	4	7
13	не только	8	7
14	с его	3	7
15	с точки	6	6
16	самом деле	4	6
17	и к	4	6
18	для него	2	6
19	ни в	3	5
20	все эти	5	5
21	что такое	3	5
22	как бы	6	5
23	только для	2	5
24	еще не	4	5
25	в чем	2	5
26	как мы	8	4
27	все это	2	4
28	на самом	4	4
29	его в	4	4
30	и ее	5	4
31	но и	9	4
32	и не	16	4
33	но в	4	4
34	в этой	3	4
35	но мы	3	4
36	так как	20	4
37	и их	3	4
38	только в	3	4
39	а потому	2	4
40	хотя бы	5	4
41	можно сказать	2	4
42	так и	10	4
43	в один	3	4
44	и даже	2	4
45	что в	10	3
46	даже не	3	3
47	и как	6	3
48	тех же	4	3
49	а в	8	3
50	в том	10	3
51	их в	2	3
52	с другими	2	3
53	и есть	3	3
54	во время	6	3
55	но оно	2	3
56	большинстве случаев	3	3
57	в большинстве	3	3
58	в этих	17	3
59	пр и	3	3
60	как это	7	3
61	то что	10	3
62	во всех	6	3
63	могут быть	21	3
64	всяком случае	2	3
65	учение о	5	3
66	в одном	2	3
67	к себе	2	3
68	и др	12	3
69	на этом	4	3
70	во всяком	2	3
71	том что	7	3
72	в основе	2	3
73	один из	7	2
74	для нас	2	2
75	что мы	2	2
76	по своему	2	2
77	мы видим	15	2
78	есть и	4	2
79	здесь же	3	2
80	в каком	2	2
81	и для	4	2
82	совсем не	3	2
83	и этот	2	2
84	что это	3	2
85	и по	3	2
86	вообще не	2	2
87	а на	3	2
88	что и	10	2
89	не менее	7	2
90	ее в	3	2
91	на первый	3	2
92	не существует	3	2
93	во сне	2	2
94	было бы	5	2
95	не могут	7	2
96	на друга	2	2
97	о том	6	2
98	можно назвать	3	2
99	то же	10	2
100	они не	3	2
101	с этим	14	2
102	как и	4	2
103	что он	5	2
104	так же	4	2
105	говорить о	4	2
106	и таким	2	2
107	мы не	8	2
108	себя и	2	2
109	ни было	2	2
110	из этих	2	2
111	но как	3	2
112	в начале	3	2
113	с этой	3	2
114	в свое	2	2
115	не на	2	2
116	в частности	2	2
117	он не	5	2
118	у него	2	2
119	ту же	2	2
120	между собою	2	2
121	если мы	6	2
122	оно не	2	2
123	к этому	4	2
124	путь к	2	2
125	по всему	3	2
126	не знает	2	2
127	в пределах	3	2
128	момент в	2	2
129	всех других	2	2
130	и этим	7	2
131	друг на	2	2
132	мы уже	4	2
133	между собой	5	2
134	но это	6	2
135	в итоге	2	2
