N	3gram	Tiupa_Lite	Formalny
1	с точки зрения	4	40
2	не может быть	5	29
3	то же время	12	20
4	в то же	12	20
5	и т п	2	18
6	во всяком случае	2	16
7	в связи с	4	16
8	по отношению к	4	12
9	в этом отношении	5	11
10	с другой стороны	5	9
11	с одной стороны	8	8
12	в свою очередь	2	7
13	в данном случае	6	6
14	в том что	15	6
15	прежде всего в	4	5
16	в отличие от	6	5
17	тем не менее	4	4
18	подобно тому как	4	4
19	по аналогии с	3	4
20	же время не	2	3
21	в том числе	2	3
22	только то что	2	3
23	не сводится к	3	3
24	так или иначе	8	3
25	но при этом	2	2
26	и прежде всего	4	2
27	говоря уже о	2	2
28	из того что	2	2
29	ничего общего с	2	2
30	этой точки зрения	3	2
31	с этой точки	3	2
32	не говоря уже	3	2
33	не только в	4	2
34	и тем самым	2	2
35	в этом случае	2	2
36	по тем же	2	2
37	дело в том	2	2
38	тех или иных	2	2
39	в целом ряде	2	2
