N	3gram	Propp_Isto	Narrotol
1	в том что	6	18
2	не только в	5	13
3	по отношению к	6	11
4	в отличие от	3	11
5	о том что	5	9
6	тем не менее	7	8
7	не может быть	8	8
8	с одной стороны	7	6
9	на самом деле	2	5
10	подобно тому как	3	5
11	но и в	4	5
12	то же самое	3	3
13	точно так же	8	3
14	иметь в виду	2	3
15	в связи с	5	3
16	до сих пор	11	3
17	в зависимости от	3	3
18	на то что	5	3
19	дело в том	3	3
20	но все же	7	2
21	и для нас	2	2
22	более или менее	5	2
23	здесь мы имеем	2	2
24	можно было бы	5	2
25	не только на	2	2
26	так же как	6	2
27	что иное как	3	2
28	что это за	5	2
29	все же не	2	2
30	на первый взгляд	2	2
