N	3gram	Losev_Dial	Istorich
1	и т д	28	142
2	с другой стороны	7	46
3	до сих пор	4	30
4	с одной стороны	3	28
5	в том что	12	25
6	не может быть	4	24
7	тем не менее	3	23
8	но все же	2	23
9	точно так же	3	22
10	о том что	6	22
11	не только в	2	19
12	в связи с	3	17
13	мы уже знаем	4	15
14	на то что	4	14
15	в то время	2	13
16	то время как	2	13
17	что иное как	4	11
18	т е в	3	11
19	не что иное	4	11
20	можно было бы	4	10
21	более или менее	5	9
22	уже знаем что	2	9
23	друг с другом	2	9
24	то же самое	3	8
25	в зависимости от	2	8
26	во всяком случае	3	7
27	с этой стороны	2	7
28	что он не	2	7
29	на первый взгляд	2	7
30	потому что он	5	7
31	с самого начала	2	6
32	но это не	2	6
33	к тому же	2	6
34	т д все	2	6
35	это значит что	16	6
36	т д но	2	6
37	так как он	2	6
38	на самом деле	3	5
39	что это за	3	5
40	есть не что	3	5
41	так как это	2	5
42	же можно сказать	2	5
43	в нем и	2	5
44	т д и	3	5
45	иметь в виду	4	4
46	мы должны считать	2	4
47	но мы уже	2	4
48	содержит в себе	5	4
49	то это значит	3	4
50	это и есть	3	4
51	можно сказать что	6	4
52	с точки зрения	18	4
53	и может быть	3	4
54	сами по себе	4	4
55	по себе не	7	4
56	так или иначе	3	4
57	только то что	6	4
58	и то же	8	3
59	только тогда когда	4	3
60	как один из	2	3
61	и не только	4	3
62	как будто бы	3	3
63	что в нем	4	3
64	один из видов	2	3
65	одной стороны и	3	3
66	к тому что	3	3
67	не в том	2	3
68	само по себе	7	3
69	в том смысле	4	3
70	по сравнению с	2	3
71	то и другое	3	2
72	и то и	3	2
73	в самом деле	3	2
74	сам по себе	8	2
75	может быть и	6	2
76	не значит что	6	2
77	но все это	2	2
78	не просто как	2	2
79	ничего общего с	3	2
80	сама по себе	12	2
81	по себе а	2	2
82	по себе но	2	2
83	ничего не говорит	4	2
84	не потому что	5	2
85	и даже в	3	2
86	это не значит	3	2
87	в качестве примера	2	2
88	на самом же	2	2
89	несмотря на всю	5	2
90	самом же деле	2	2
91	это конечно не	2	2
92	вовсе не в	3	2
93	может быть в	2	2
94	с тех пор	2	2
95	и т п	3	2
96	одно и то	8	2
97	и должно быть	3	2
98	и в нем	3	2
99	в таком случае	2	2
100	может быть только	2	2
101	только потому что	4	2
102	в одно время	2	2
103	в виду что	2	2
