N	2gram	Bakhtin_sl	Formalny
1	и в	69	95
2	и не	32	78
3	поэтического языка	4	67
4	может быть	40	66
5	в этом	21	61
6	не может	27	57
7	вовсе не	16	53
8	таким образом	16	52
9	и его	45	51
10	так и	22	50
11	точки зрения	24	47
12	в нем	44	42
13	в его	19	42
14	прежде всего	14	41
15	с точки	11	40
16	как и	8	39
17	и т	56	37
18	не в	14	35
19	в самом	6	35
20	в процессе	14	34
21	а не	29	34
22	но и	37	33
23	то же	17	32
24	не только	37	30
25	в пределах	27	28
26	в том	7	26
27	то что	2	25
28	на самом	2	24
29	при этом	12	24
30	в своей	8	24
31	лишь в	6	24
32	на почве	6	24
33	в ней	7	23
34	связи с	4	23
35	было бы	3	23
36	с помощью	5	23
37	в то	17	22
38	и ее	3	22
39	поэтический язык	2	22
40	в истории	6	21
41	как бы	16	21
42	что в	3	21
43	и с	10	21
44	в их	6	20
45	не менее	4	20
46	между ними	2	20
47	и от	5	20
48	входит в	8	20
49	как мы	15	20
50	же время	15	20
51	место в	2	20
52	не могут	7	19
53	все это	14	19
54	хотя бы	6	19
55	т д	7	19
56	по себе	4	19
57	т п	49	18
58	все же	10	18
59	и все	9	18
60	все эти	15	18
61	в связи	2	18
62	должна быть	3	18
63	с его	8	18
64	и их	6	18
65	только в	9	18
66	более того	5	17
67	именно как	3	17
68	идеологического творчества	3	17
69	произведения в	2	17
70	как в	18	17
71	как раз	3	17
72	так же	2	16
73	во всяком	9	16
74	совершенно не	2	16
75	с другой	8	16
76	потому что	2	16
77	всяком случае	7	16
78	его в	7	15
79	все время	4	15
80	но в	13	15
81	в поэзии	4	15
82	с другими	8	15
83	так как	7	15
84	должно быть	3	15
85	во всех	25	15
86	именно в	5	15
87	и на	17	15
88	что он	2	14
89	только на	3	14
90	в целом	3	14
91	языка и	18	14
92	в ее	2	14
93	в своем	9	14
94	еще не	9	14
95	если мы	2	14
96	и потому	9	14
97	произведения и	2	14
98	жизни и	5	14
99	вместе с	3	14
100	до конца	25	13
101	того что	4	13
102	языка как	10	13
103	а в	10	13
104	могут быть	25	13
105	для них	2	13
106	что и	2	13
107	в результате	4	13
108	она не	8	13
109	ни в	4	13
110	как его	5	13
111	по отношению	2	12
112	как это	3	12
113	лишь как	3	12
114	там где	10	12
115	и здесь	5	12
116	к тому	3	12
117	отношению к	2	12
118	и для	7	12
119	оно не	12	12
120	уже не	5	12
121	никогда не	9	11
122	этом отношении	2	11
123	в идеологическом	2	11
124	они не	3	11
125	в основе	8	11
126	так сказать	11	11
127	в большинстве	16	11
128	но не	7	11
129	слова и	21	11
130	произведения как	3	11
131	что они	2	11
132	для него	8	11
133	зависимости от	4	11
134	между тем	5	11
135	не есть	2	10
136	не как	4	10
137	друг друга	3	10
138	и др	17	10
139	идеологического мира	3	10
140	конструкции и	2	10
141	язык как	5	10
142	формы и	3	10
143	дело идет	2	10
144	в зависимости	4	10
145	мы не	4	10
146	не было	4	10
147	по существу	3	10
148	мы видели	3	10
149	другой стороны	5	10
150	с ее	6	10
151	не является	3	10
152	как о	2	10
153	в первом	3	10
154	и как	3	10
155	большинстве случаев	11	10
156	конечно не	7	10
157	он не	5	10
158	на фоне	11	10
159	в слове	11	10
160	одним словом	4	9
161	быть и	6	9
162	ничего не	5	9
163	является лишь	3	9
164	для понимания	3	9
165	здесь не	6	9
166	но это	3	9
167	и до	2	9
168	и может	4	9
169	или иного	2	9
170	в каждом	5	9
171	бы ни	3	9
172	менее всего	3	9
173	и даже	11	9
174	у нас	2	9
175	не могло	3	9
176	язык и	17	9
177	еще более	7	9
178	в свою	4	9
179	ни было	2	9
180	со всею	5	9
181	языка в	21	9
182	говорить о	2	9
183	отношения к	3	9
184	в языке	7	9
185	это не	8	8
186	в других	4	8
187	между собой	3	8
188	до сих	4	8
189	одной стороны	7	8
190	и те	3	8
191	в них	11	8
192	с одной	7	8
193	без исключения	2	8
194	же как	2	8
195	для этого	4	8
196	с этим	5	8
197	в данном	5	8
198	всех этих	8	8
199	сих пор	4	8
200	как такового	3	8
201	из этого	3	8
202	должен быть	3	8
203	и к	9	8
204	роль в	4	8
205	в поэтическом	8	8
206	для того	2	8
207	и речи	4	8
208	следовательно и	4	7
209	том что	6	7
210	языке как	3	7
211	в себе	3	7
212	в одной	2	7
213	в понимании	3	7
214	свою очередь	3	7
215	смысла и	6	7
216	как к	5	7
217	а вовсе	4	7
218	оценки и	2	7
219	или менее	5	7
220	его от	2	7
221	установка на	8	7
222	стороны и	3	7
223	более или	5	7
224	даже и	4	7
225	в сущности	18	7
226	не на	6	7
227	войти в	2	7
228	известной степени	6	7
229	форм и	3	7
230	бы быть	2	7
231	сказать что	4	7
232	к этому	3	7
233	того или	2	7
234	и всякое	2	7
235	в особенности	10	7
236	можно говорить	2	7
237	жизни в	2	7
238	и наконец	9	7
239	и только	2	7
240	смысл и	3	7
241	в какой	2	7
242	и более	3	7
243	но все	2	7
244	столь же	2	7
245	только и	3	7
246	из них	3	7
247	в той	13	7
248	мы увидим	2	7
249	же и	4	7
250	от этого	2	7
251	данном случае	3	6
252	в которой	4	6
253	в направлении	2	6
254	отношение к	8	6
255	на этом	4	6
256	и тем	3	6
257	и других	5	6
258	у них	2	6
259	в частности	3	6
260	так в	2	6
261	его и	5	6
262	тому что	2	6
263	в этих	8	6
264	те же	3	6
265	не из	2	6
266	его не	4	6
267	один из	9	6
268	нисколько не	3	6
269	литературный язык	9	6
270	этого слова	2	6
271	из этих	3	6
272	особенно в	3	6
273	за пределы	6	6
274	отличается от	3	6
275	кроме того	6	6
276	от его	4	6
277	например в	6	6
278	о том	5	6
279	по преимуществу	5	6
280	в смысле	7	6
281	социальной группы	2	6
282	уже в	2	6
283	только не	2	6
284	материал в	2	6
285	именно на	3	6
286	с ним	12	6
287	той же	3	6
288	даже в	4	5
289	в широком	3	5
290	ни о	2	5
291	время и	3	5
292	до известной	3	5
293	и формы	4	5
294	что оно	4	5
295	в виду	2	5
296	на все	3	5
297	а как	3	5
298	в основном	7	5
299	мы уже	4	5
300	может стать	3	5
301	отличие от	13	5
302	и между	2	5
303	характерно что	3	5
304	одной из	4	5
305	в него	9	5
306	не приходится	2	5
307	одного из	2	5
308	в отличие	12	5
309	не могла	2	5
310	в значительной	6	5
311	и самый	2	5
312	и по	3	5
313	обстоит дело	4	5
314	можно сказать	2	5
315	слов и	5	5
316	на язык	2	5
317	хотя и	4	5
318	бы и	6	5
319	да и	2	5
320	и то	2	5
321	произведения не	2	5
322	к предмету	4	5
323	в рамки	4	5
324	значительной степени	6	5
325	то в	2	5
326	не столько	4	5
327	и эта	2	5
328	высказывания и	3	5
329	его как	3	5
330	в роман	22	5
331	языка а	7	5
332	борьба с	5	5
333	перестает быть	2	5
334	в эту	3	5
335	значение в	2	5
336	с этой	3	5
337	в условиях	3	5
338	для нас	7	5
339	к нему	7	5
340	слово как	11	5
341	подхода к	5	5
342	в котором	2	5
343	слова в	19	5
344	а лишь	2	5
345	в отношении	9	5
346	приводит к	2	5
347	и со	2	5
348	и что	2	5
349	же в	2	5
350	друг другу	2	5
351	или даже	5	4
352	и следовательно	8	4
353	для всего	2	4
354	от него	5	4
355	а на	3	4
356	наконец в	5	4
357	одним из	5	4
358	слово в	18	4
359	как он	2	4
360	оно было	4	4
361	высказывания как	2	4
362	но именно	5	4
363	тогда когда	2	4
364	героя в	2	4
365	влияние на	3	4
366	п в	2	4
367	изображения и	2	4
368	в романе	64	4
369	на котором	3	4
370	о нем	6	4
371	они были	3	4
372	он в	6	4
373	лучшем случае	3	4
374	того же	7	4
375	и непосредственно	6	4
376	от других	2	4
377	от действительности	2	4
378	науки о	2	4
379	здесь в	6	4
380	в идеологической	2	4
381	или в	10	4
382	и во	3	4
383	идеологической значимости	2	4
384	языка у	3	4
385	был бы	2	4
386	всех своих	2	4
387	одна из	6	4
388	только как	2	4
389	нем и	5	4
390	не значит	2	4
391	однако и	2	4
392	язык поэзии	2	4
393	к ней	2	4
394	тем не	2	4
395	громадное значение	2	4
396	сама по	2	4
397	целый ряд	2	4
398	в таком	5	4
399	и другие	3	4
400	и о	3	4
401	отношении к	9	4
402	или на	2	4
403	на протяжении	3	4
404	взаимодействии с	4	4
405	слова как	8	4
406	к новому	3	4
407	романа в	5	4
408	такое понимание	2	4
409	установкой на	4	4
410	или иначе	2	4
411	роман и	7	4
412	и этим	3	4
413	в лучшем	3	4
414	здесь лишь	2	4
415	в некоторых	3	4
416	между этими	3	4
417	но эта	2	4
418	чем он	2	4
419	мы и	2	4
420	в нее	3	3
421	все они	9	3
422	перед нами	7	3
423	в плане	11	3
424	или иной	13	3
425	для всех	2	3
426	входя в	4	3
427	и поэтическое	3	3
428	на один	2	3
429	внутренней речи	3	3
430	ни были	3	3
431	на своем	5	3
432	вступает в	2	3
433	и при	2	3
434	так что	2	3
435	и иных	6	3
436	связано с	3	3
437	существенно и	2	3
438	поэтическом произведении	3	3
439	со всеми	3	3
440	может иметь	3	3
441	как предмет	4	3
442	но как	2	3
443	языка который	2	3
444	иное значение	2	3
445	речи и	4	3
446	с другом	2	3
447	в чисто	4	3
448	точка зрения	10	3
449	притом в	3	3
450	широком смысле	3	3
451	из одного	2	3
452	к такому	2	3
453	xviii века	3	3
454	и вне	3	3
455	смысле слова	2	3
456	на его	9	3
457	нуждается в	3	3
458	не была	3	3
459	мы видим	2	3
460	к своему	11	3
461	к проблеме	3	3
462	в качестве	4	3
463	не выходит	3	3
464	исторического развития	2	3
465	требует от	2	3
466	и иные	2	3
467	культуры и	2	3
468	языка мы	2	3
469	всех областях	4	3
470	слово и	5	3
471	от этой	3	3
472	в сознании	3	3
473	лежит в	5	3
474	быть только	3	3
475	дело в	2	3
476	в новое	4	3
477	это было	2	3
478	поэтому и	7	3
479	из своих	2	3
480	образом на	2	3
481	борьбы с	3	3
482	друг с	2	3
483	дело с	4	3
484	но уже	2	3
485	во всем	3	3
486	единство и	4	3
487	и создает	2	3
488	что как	2	3
489	мира в	2	3
490	вне ее	2	3
491	сознания в	2	3
492	на материале	2	3
493	язык в	9	3
494	в чем	2	3
495	с установкой	4	3
496	идеологической жизни	3	3
497	в известной	3	3
498	в форме	3	3
499	в контексте	5	3
500	стиля и	7	3
501	системы и	2	3
502	связи и	3	3
503	не с	5	3
504	поэтического слова	11	3
505	вообще не	4	3
506	на то	2	3
507	предмета и	2	3
508	он может	3	3
509	литературного языка	28	3
510	явления и	2	3
511	всякое конкретное	2	3
512	зрения самого	2	3
513	из себя	3	3
514	с таким	3	3
515	романа и	8	3
516	в одном	4	3
517	а именно	2	3
518	языка то	4	3
519	пределах одного	8	3
520	влияния на	3	3
521	в системе	2	3
522	эпохи и	2	3
523	ту же	5	3
524	и особенно	2	3
525	и чисто	5	3
526	не просто	2	3
527	в противовес	2	3
528	лишь тогда	2	3
529	но оно	5	3
530	тем и	3	3
531	но он	4	3
532	очень трудно	2	2
533	человека в	5	2
534	оценок и	4	2
535	исторического становления	3	2
536	и почти	3	2
537	оставаясь в	2	2
538	он их	2	2
539	исторической жизни	3	2
540	самого литературного	2	2
541	эти формы	5	2
542	человека и	3	2
543	связанных с	4	2
544	в другом	4	2
545	языка или	3	2
546	именно эта	2	2
547	что язык	2	2
548	не был	2	2
549	есть не	2	2
550	если она	2	2
551	иметь место	2	2
552	индивидуального сознания	3	2
553	слово оно	3	2
554	определенных социальных	2	2
555	эти явления	2	2
556	и вся	2	2
557	в виде	4	2
558	или вовсе	2	2
559	поэзии но	2	2
560	не знает	3	2
561	от всякой	3	2
562	а с	2	2
563	не должны	3	2
564	характер и	2	2
565	явление в	2	2
566	от всякого	2	2
567	к ним	2	2
568	поэтического стиля	6	2
569	и эти	2	2
570	на языке	2	2
571	только с	3	2
572	и форм	4	2
573	социальная жизнь	2	2
574	художественного изображения	11	2
575	всем этим	2	2
576	формах в	2	2
577	в более	2	2
578	высказывания в	2	2
579	связь с	2	2
580	языка если	2	2
581	и само	2	2
582	возможно и	3	2
583	мира и	4	2
584	или к	3	2
585	и социальной	2	2
586	системы языка	4	2
587	высказываний в	4	2
588	однако в	3	2
589	языку как	4	2
590	языка но	7	2
591	в единство	2	2
592	художественной обработке	2	2
593	предмета в	2	2
594	его на	2	2
595	отметить что	3	2
596	социально и	2	2
597	с ними	8	2
598	у тургенева	7	2
599	при всем	3	2
600	а иногда	3	2
601	в чужом	4	2
602	моменты в	2	2
603	в двух	2	2
604	этом случае	4	2
