N	3gram	Losev_Prob	Freidism
1	с точки зрения	13	15
2	не может быть	2	14
3	по отношению к	2	11
4	в том что	13	9
5	во всяком случае	6	8
6	и прежде всего	2	7
7	в то же	2	6
8	можно сказать что	4	5
9	с самого начала	3	5
10	в таком случае	2	4
11	тем не менее	8	4
12	ни в чем	2	4
13	в чем не	2	4
14	в этом отношении	4	4
15	сам по себе	3	4
16	в данном случае	5	4
17	на самом деле	2	4
18	в свою очередь	2	4
19	бы то ни	4	3
20	далеко не всегда	3	3
21	не в силах	3	3
22	но в то	2	3
23	о том что	14	3
24	для того чтобы	3	3
25	до сих пор	3	3
26	то ни было	2	2
27	то же самое	2	2
28	чем иным как	3	2
29	а с другой	3	2
30	том что он	3	2
31	ни в какой	4	2
32	в конце концов	7	2
33	с одной стороны	5	2
34	а также и	3	2
35	не чем иным	3	2
36	в этом смысле	4	2
37	и ни в	2	2
38	равно как и	2	2
39	это и есть	2	2
