N	3gram	Tiupa_Disk	VeschiIm
1	не может быть	5	24
2	содержит в себе	3	11
3	по крайней мере	3	10
4	в том что	18	9
5	и не только	2	6
6	с точки зрения	3	6
7	одно и то	2	5
8	и то же	2	5
9	в то же	7	5
10	подобно тому как	4	5
11	не только в	2	5
12	в свою очередь	3	5
13	и то что	2	5
14	более или менее	2	4
15	о том что	8	4
16	дело в том	3	4
17	то же время	9	4
18	можно сказать что	3	3
19	с одной стороны	12	3
20	только то что	2	3
21	с другой стороны	4	3
22	сами по себе	2	3
23	и в то	2	3
24	во всяком случае	2	2
25	в основе своей	4	2
26	что же касается	4	2
27	в этом отношении	4	2
28	дело не с	2	2
29	имеем дело не	2	2
30	в данном случае	6	2
31	а не в	2	2
32	а не только	2	2
33	по природе своей	6	2
34	мы имеем дело	3	2
35	в свое время	3	2
36	в том чтобы	2	2
