N	2gram	Voloshinov	Russkaja
1	не может	8	22
2	и не	8	19
3	в том	2	17
4	в этом	2	17
5	и в	13	14
6	то что	6	13
7	точки зрения	7	11
8	то же	4	11
9	таким образом	6	11
10	но и	3	10
11	не только	6	9
12	том что	2	9
13	может быть	8	9
14	в себе	3	9
15	с точки	5	9
16	прежде всего	9	8
17	к тому	2	7
18	в данном	2	7
19	мы должны	6	7
20	самом деле	3	7
21	и для	3	6
22	в своих	2	6
23	и к	2	6
24	если бы	2	6
25	все это	4	6
26	и при	2	6
27	для него	2	6
28	а в	2	5
29	было бы	4	5
30	хотя бы	5	5
31	при этом	2	5
32	в нем	2	5
33	в своей	4	5
34	только в	6	5
35	никогда не	3	5
36	между тем	2	5
37	и то	3	4
38	что в	3	4
39	все же	5	4
40	не в	3	4
41	как и	3	4
42	как бы	6	4
43	так как	3	4
44	что же	3	4
45	и т.д	5	4
46	в его	7	4
47	в их	3	4
48	точку зрения	3	4
49	во всем	2	4
50	данном случае	2	3
51	да и	3	3
52	и этот	2	3
53	но мы	4	3
54	в сознании	4	3
55	в другом	2	3
56	в самом	2	3
57	несмотря на	2	3
58	лишь в	4	3
59	вряд ли	3	3
60	говорить о	3	3
61	что они	2	3
62	тем что	2	3
63	и должно	2	2
64	в течение	2	2
65	с этим	3	2
66	или иного	2	2
67	ее в	2	2
68	для себя	2	2
69	но в	4	2
70	того или	2	2
71	так же	2	2
72	в ней	2	2
73	по отношению	3	2
74	но для	3	2
75	вне всякой	2	2
76	а не	2	2
77	мы можем	4	2
78	пути к	2	2
79	разумеется что	2	2
80	и тем	2	2
81	и является	2	2
82	все эти	2	2
83	и наконец	5	2
84	в области	2	2
85	мы уже	2	2
