N	2gram	Medvedev_U	DiskursI
1	а не	10	60
2	может быть	6	56
3	не только	10	49
4	и в	14	49
5	как и	3	47
6	в том	2	44
7	и не	8	44
8	том что	2	40
9	в этом	7	38
10	в себе	2	37
11	в частности	3	36
12	но и	4	35
13	но не	2	31
14	но в	3	28
15	не может	7	27
16	все же	3	19
17	прежде всего	8	19
18	в своей	3	19
19	то же	5	17
20	с другой	4	17
21	только в	2	16
22	в его	2	15
23	то что	7	15
24	это не	3	14
25	не в	2	14
26	для него	3	13
27	с его	2	11
28	не столько	2	10
29	и т.д	3	10
30	же время	3	10
31	в то	3	9
32	между тем	2	9
33	сводится к	2	9
34	этом отношении	2	8
35	не следует	3	8
36	о чем	2	7
37	могут быть	2	7
38	и для	2	7
39	но это	2	7
40	что и	2	7
41	в этой	4	7
42	другой стороны	3	7
43	таким образом	2	7
44	не как	3	6
45	что он	2	6
46	крайней мере	2	6
47	и то	3	6
48	конечном счете	4	6
49	по крайней	2	6
50	в конечном	4	6
51	в противовес	2	6
52	ничего не	2	5
53	в их	4	5
54	по композиции	2	5
55	в сторону	2	5
56	как раз	2	5
57	же самое	2	5
58	тем что	2	5
59	не о	3	4
60	не могут	2	4
61	более чем	2	4
62	одним из	2	4
63	в самом	2	4
64	не есть	2	4
65	по себе	2	4
66	в области	3	3
67	а его	2	3
68	этого термина	2	3
69	для этого	3	3
70	было бы	3	3
71	мы не	2	3
72	должна быть	2	3
73	хотя бы	5	3
74	а о	2	3
75	на первый	2	3
76	не случайно	2	3
77	является в	2	3
78	то ни	3	3
79	в широком	2	2
80	очевидно что	3	2
81	для всех	2	2
82	вопроса о	2	2
83	к области	2	2
84	самом деле	2	2
85	по существу	2	2
86	в россии	4	2
87	не приходится	2	2
88	же не	2	2
89	все это	5	2
90	бы то	3	2
91	эстетического объекта	6	2
92	т.е в	2	2
93	что она	2	2
94	это было	2	2
95	установку на	2	2
96	если бы	2	2
97	ни было	3	2
98	нас в	2	2
99	а между	2	2
100	и с	2	2
101	в некоторых	2	2
102	и только	5	2
103	а как	2	2
