N	2gram	Savitsky_P	Formalny
1	и в	14	95
2	т е	3	94
3	и не	12	78
4	может быть	5	66
5	в этом	10	61
6	не может	4	57
7	и пр	5	53
8	точки зрения	3	47
9	в нем	3	42
10	в его	2	42
11	прежде всего	3	41
12	с точки	3	40
13	и т	3	37
14	не в	5	35
15	а не	2	34
16	но и	6	33
17	то же	9	32
18	не только	17	30
19	в пределах	8	28
20	в том	9	26
21	отнюдь не	2	26
22	если бы	4	26
23	то что	4	25
24	в ней	6	23
25	было бы	6	23
26	в то	7	22
27	как бы	4	21
28	что в	4	21
29	и с	2	21
30	не менее	2	20
31	с тем	3	20
32	же время	7	20
33	все это	2	19
34	хотя бы	8	19
35	по себе	4	19
36	только в	7	18
37	именно как	2	17
38	как раз	2	17
39	с другой	5	16
40	потому что	3	16
41	но в	9	15
42	должно быть	2	15
43	во всех	2	15
44	именно в	2	15
45	в ее	2	14
46	в своем	4	14
47	в жизни	2	14
48	и потому	4	14
49	со стороны	2	13
50	того что	2	13
51	а в	4	13
52	могут быть	3	13
53	для них	2	13
54	сводится к	3	13
55	в общем	2	11
56	но не	3	11
57	между тем	3	11
58	не о	2	10
59	мы не	3	10
60	не было	2	10
61	и как	3	10
62	главным образом	2	10
63	бы ни	2	9
64	еще более	2	9
65	говорить о	2	9
66	отношения к	2	9
67	это не	3	8
68	одной стороны	3	8
69	в них	2	8
70	с одной	3	8
71	в области	11	8
72	с этим	2	8
73	и к	4	8
74	для того	3	8
75	том что	4	7
76	в себе	3	7
77	стороны и	2	7
78	время в	2	7
79	творчества и	2	7
80	сами по	3	7
81	столь же	3	7
82	из них	2	7
83	тем самым	3	6
84	в россии	3	6
85	и тем	2	6
86	и других	2	6
87	в частности	2	6
88	и это	2	6
89	в статье	2	6
90	например в	2	6
91	в смысле	6	6
92	мы должны	4	5
93	может и	2	5
94	она есть	3	5
95	в значительной	2	5
96	хотя и	3	5
97	да и	2	5
98	если в	2	5
99	не столько	2	5
100	в мире	2	5
101	в эту	2	5
102	для нас	2	5
103	в котором	4	5
104	в отношении	10	5
105	же в	4	5
106	как на	2	5
107	друг другу	2	5
108	является в	2	4
109	нужно было	2	4
110	во всей	2	4
111	одна из	2	4
112	она ни	2	4
113	и о	5	4
114	отношении к	5	4
115	не к	2	4
116	думать что	2	4
117	и если	4	3
118	начала и	2	3
119	а н	5	3
120	было в	2	3
121	в качестве	9	3
122	тот же	3	3
123	никак не	2	3
124	тем более	2	3
125	образом на	2	3
126	том числе	2	3
127	в которых	5	3
128	в русскую	2	2
129	есть не	2	2
130	в виде	2	2
131	и без	3	2
132	в полной	2	2
133	в русском	2	2
134	в силу	2	2
135	с ними	3	2
136	заключается в	3	2
137	на этих	2	2
138	к началу	2	2
139	из важнейших	2	2
140	переход от	2	2
141	и вот	2	2
142	так называемые	2	2
143	что мы	3	2
144	в ряду	2	2
145	и есть	2	2
146	одних и	2	2
147	е с	6	2
148	россии и	4	2
