N	2gram	Losev_Vlad	Dialekti
1	не есть	4	181
2	и не	33	120
3	и т	3	82
4	по себе	3	79
5	а не	5	78
6	и в	56	77
7	т д	3	75
8	точки зрения	4	72
9	может быть	12	71
10	не только	35	66
11	то что	30	59
12	и есть	2	55
13	ничего не	4	54
14	не может	12	53
15	и даже	23	47
16	так как	11	46
17	есть нечто	2	46
18	что это	2	46
19	потому что	16	45
20	как бы	5	43
21	ни в	4	42
22	и что	11	42
23	не имеет	2	41
24	вовсе не	8	41
25	в том	26	40
26	что такое	3	39
27	в этом	30	39
28	то же	10	39
29	в себе	5	38
30	что она	2	38
31	том что	22	37
32	что он	22	37
33	прежде всего	5	37
34	это не	3	36
35	так что	13	36
36	что в	24	34
37	в нем	7	34
38	и все	8	33
39	того что	6	33
40	но и	26	32
41	все это	7	31
42	ясно что	2	31
43	и как	7	30
44	отнюдь не	3	30
45	сказать что	14	30
46	так и	11	29
47	было бы	7	29
48	как и	7	28
49	никогда не	15	27
50	не в	12	26
51	и то	13	25
52	учение о	2	25
53	если бы	2	24
54	но это	6	24
55	и вот	5	23
56	в то	15	23
57	это и	2	23
58	таким образом	6	23
59	но что	5	22
60	я не	8	22
61	она не	3	21
62	что не	3	21
63	личности и	2	21
64	в чем	4	21
65	в каком	3	20
66	что все	2	20
67	только в	11	20
68	как раз	7	20
69	и вообще	12	20
70	что и	6	20
71	совершенно не	2	20
72	о том	13	20
73	уже не	6	20
74	и с	27	20
75	в таком	2	20
76	и притом	5	19
77	в своем	10	19
78	что мы	2	19
79	как это	11	19
80	не менее	9	19
81	и это	4	19
82	в самом	3	19
83	и его	12	19
84	иное как	2	18
85	не что	2	18
86	что иное	2	18
87	что же	11	18
88	с другой	3	18
89	хотя бы	5	18
90	же время	7	18
91	жизни и	8	18
92	в сущности	2	17
93	можно сказать	10	17
94	в особенности	4	17
95	в своей	7	16
96	мы не	2	16
97	кроме того	12	16
98	только не	2	16
99	к нему	6	16
100	да и	6	16
101	то это	4	16
102	об этом	13	16
103	тем не	8	16
104	конечно не	5	16
105	и о	6	15
106	не мешает	2	15
107	то в	6	15
108	только что	2	15
109	также и	13	15
110	но только	3	15
111	все же	11	15
112	так же	4	15
113	в виде	4	15
114	хотя и	9	15
115	и мы	6	15
116	на то	7	15
117	несмотря на	7	15
118	мы уже	8	15
119	и потому	8	14
120	жизнь и	3	14
121	ни с	6	14
122	с ним	10	14
123	даже и	12	14
124	а именно	4	14
125	не было	12	14
126	не то	3	13
127	но в	19	13
128	в ней	5	13
129	время как	3	13
130	он не	13	13
131	собственно говоря	4	13
132	мы находим	2	13
133	что они	4	13
134	другой стороны	3	13
135	вы не	2	13
136	и к	10	13
137	не могу	2	13
138	еще не	2	12
139	и тут	2	12
140	все эти	6	12
141	никак не	6	12
142	иной раз	8	12
143	именно в	4	12
144	и если	8	12
145	не могут	2	12
146	но как	6	12
147	даже не	3	12
148	и ни	2	12
149	а в	20	12
150	тем более	4	12
151	с этим	3	12
152	но не	5	12
153	мы должны	3	11
154	нисколько не	4	11
155	себе не	2	11
156	от того	2	11
157	и тем	2	11
158	только на	3	11
159	его не	2	11
160	в них	5	11
161	что если	3	11
162	мы имеем	2	11
163	что я	5	11
164	из них	3	11
165	к тому	5	10
166	е в	7	10
167	как мы	17	10
168	в его	18	10
169	за пределы	3	10
170	это было	9	10
171	в меру	2	10
172	для того	4	10
173	с этой	4	10
174	себе и	2	10
175	и для	4	10
176	что для	5	10
177	и можно	4	10
178	в их	2	10
179	в частности	4	10
180	во всяком	8	10
181	то и	3	10
182	в результате	6	10
183	как будто	2	10
184	в жизни	4	10
185	во всем	4	10
186	веры и	2	10
187	как он	4	9
188	и по	10	9
189	в истории	4	9
190	история и	3	9
191	в этих	5	9
192	в котором	10	9
193	той же	6	9
194	в одном	2	9
195	и от	6	9
196	с ними	2	9
197	при этом	5	9
198	и он	7	9
199	то время	6	9
200	всех этих	3	9
201	на этом	3	9
202	и на	7	9
203	в отношении	5	8
204	от него	3	8
205	и без	2	8
206	то как	2	8
207	как нечто	2	8
208	в дальнейшем	10	8
209	в этой	4	8
210	уже и	4	8
211	по одному	2	8
212	у нас	11	8
213	и из	5	8
214	она всегда	2	8
215	но вот	4	8
216	но все	3	8
217	у меня	3	8
218	даже в	4	8
219	уже о	3	8
220	один из	4	8
221	но она	4	8
222	когда мы	2	8
223	нет и	2	8
224	наука и	2	8
225	или иначе	3	8
226	этом смысле	4	8
227	себя в	6	8
228	это мы	5	8
229	тем самым	2	7
230	и сама	2	7
231	что здесь	2	7
232	в конце	22	7
233	из этих	5	7
234	и при	2	7
235	что этот	4	7
236	не говоря	4	7
237	связи с	7	7
238	его как	2	7
239	в сравнении	2	7
240	на первый	4	7
241	тем что	2	7
242	в связи	9	7
243	очень много	2	7
244	все что	2	7
245	мы и	4	7
246	без всякого	2	7
247	для меня	8	7
248	он всегда	2	7
249	со стороны	5	7
250	точно так	2	7
251	и больше	3	7
252	говоря уже	3	7
253	и я	7	7
254	с его	15	7
255	как в	6	7
256	это конечно	4	7
257	так или	3	7
258	с какой	2	7
259	на что	2	7
260	он сам	3	7
261	то ни	2	7
262	как на	2	7
263	только одно	4	7
264	отношения к	4	7
265	но он	7	7
266	еще и	10	6
267	отношение к	7	6
268	то мы	3	6
269	на основании	3	6
270	и почти	2	6
271	с тем	4	6
272	для своего	2	6
273	более или	5	6
274	имеет никакого	2	6
275	того чтобы	4	6
276	того и	3	6
277	на всю	2	6
278	тут же	7	6
279	в которой	8	6
280	по своей	4	6
281	ни к	2	6
282	но я	4	6
283	вместе с	9	6
284	его в	3	6
285	а что	3	6
286	о чем	6	6
287	или менее	5	6
288	в науке	3	6
289	может только	2	6
290	где же	2	6
291	по существу	4	6
292	по своему	5	6
293	о нем	9	6
294	больше того	2	6
295	и совершенно	2	6
296	того как	2	6
297	во всех	4	6
298	о котором	2	6
299	дело не	3	6
300	никакого отношения	3	6
301	сравнении с	2	6
302	я и	2	6
303	для него	16	6
304	и часто	3	6
305	знания и	3	6
306	уже в	9	6
307	всяком случае	8	6
308	природы и	2	6
309	но мы	3	5
310	я должен	2	5
311	говорил что	2	5
312	что на	2	5
313	почти не	2	5
314	для нее	3	5
315	и во	3	5
316	но даже	3	5
317	только к	3	5
318	и наконец	2	5
319	едва ли	3	5
320	что у	4	5
321	учения о	3	5
322	их в	3	5
323	в своих	7	5
324	если это	2	5
325	когда он	6	5
326	личности с	2	5
327	раз и	4	5
328	от нее	3	5
329	из этого	6	5
330	конце концов	6	5
331	первый план	4	5
332	вплоть до	4	5
333	в это	6	5
334	не раз	5	5
335	а это	3	5
336	и у	4	5
337	говоря о	2	5
338	в области	3	5
339	после этого	2	5
340	нет никаких	2	5
341	тех пор	2	5
342	во мне	2	5
343	но тут	2	5
344	что с	3	5
345	в качестве	7	5
346	и еще	3	5
347	к этому	11	5
348	к ней	7	5
349	как я	2	5
350	что его	8	5
351	в течение	13	5
352	отношении к	2	5
353	тому же	3	5
354	и так	3	5
355	он и	8	5
356	в той	2	5
357	известно что	2	5
358	и нужно	2	4
359	его на	4	4
360	относиться к	2	4
361	бы мы	2	4
362	что бы	2	4
363	он будет	2	4
364	у них	2	4
365	очень мало	2	4
366	мы знаем	5	4
367	что даже	2	4
368	тоже не	2	4
369	заметить что	2	4
370	что касается	6	4
371	об этой	2	4
372	здесь в	2	4
373	поэзии и	2	4
374	в нас	4	4
375	на ту	2	4
376	не знаю	2	4
377	и личность	2	4
378	нас в	2	4
379	есть вера	2	4
380	то он	7	4
381	можно говорить	2	4
382	еще более	3	4
383	стороны не	2	4
384	если не	4	4
385	и всякая	2	4
386	главным образом	5	4
387	но его	4	4
388	мы будем	4	4
389	к богу	2	4
390	в каких	2	4
391	но эта	2	4
392	на все	3	4
393	у вас	2	4
394	и очень	5	4
395	в общем	4	4
396	жизнь в	2	4
397	а мы	3	4
398	меня и	3	4
399	на себя	3	4
400	воли и	2	4
401	но уже	3	4
402	бы то	2	4
403	хотя в	2	4
404	в этот	5	4
405	этом отношении	2	4
406	а главное	2	4
407	а он	2	4
408	у него	28	4
409	не по	2	4
410	и здесь	3	4
411	будто бы	2	4
412	время и	3	4
413	это время	7	4
414	видно что	5	4
415	к жизни	2	4
416	друг друга	3	4
417	же в	3	4
418	есть для	2	4
419	у которого	3	4
420	эти последние	4	4
421	представление о	2	4
422	взгляд на	4	4
423	для нас	9	3
424	именно так	2	3
425	без всяких	2	3
426	тех кто	2	3
427	и всегда	4	3
428	от своего	2	3
429	сказать о	2	3
430	к своему	4	3
431	в москве	13	3
432	а из	2	3
433	отца и	4	3
434	а с	5	3
435	одной из	2	3
436	даже вообще	2	3
437	и сейчас	2	3
438	и философии	2	3
439	что можно	4	3
440	даже больше	2	3
441	просто не	2	3
442	место в	2	3
443	всю жизнь	4	3
444	тот же	7	3
445	это можно	3	3
446	этот момент	2	3
447	не могли	2	3
448	тех же	3	3
449	здесь не	6	3
450	указать на	2	3
451	говорит что	4	3
452	о своем	3	3
453	мысли и	5	3
454	на него	3	3
455	лишь в	3	3
456	как у	3	3
457	чем не	2	3
458	как известно	2	3
459	будем говорить	2	3
460	я в	4	3
461	можно судить	8	3
462	в свою	3	3
463	ней не	2	3
464	не мешало	2	3
465	в очень	5	3
466	указывает на	2	3
467	для всех	2	3
468	против этого	2	3
469	на свои	2	3
470	же о	3	3
471	еще на	3	3
472	не был	6	3
473	для себя	6	3
474	в свое	6	3
475	что вы	2	3
476	этого не	2	3
477	от всякой	2	3
478	к этой	4	3
479	она была	2	3
480	а то	2	3
481	с которой	2	3
482	и вы	2	3
483	у достоевского	2	3
484	совсем не	7	3
485	я никогда	3	3
486	мы сами	3	3
487	во время	4	3
488	и свое	2	3
489	особого рода	2	3
490	церкви и	2	3
491	ее на	3	3
492	больше чем	2	3
493	и которая	2	3
494	и всякой	3	3
495	на земле	2	3
496	уже давно	3	3
497	только его	2	3
