N	2gram	Bakhtin_sl	Tragedij
1	и в	69	18
2	в романе	64	10
3	в этом	21	9
4	не только	37	8
5	и не	32	7
6	и на	17	7
7	как бы	16	7
8	и с	10	7
9	может быть	40	7
10	же время	15	6
11	что он	2	6
12	но в	13	6
13	и его	45	6
14	у него	5	6
15	несмотря на	2	5
16	все же	10	5
17	это не	8	5
18	то же	17	5
19	как и	8	5
20	так и	22	5
21	не может	27	5
22	в то	17	5
23	что в	3	4
24	еще не	9	4
25	в целом	3	4
26	но и	37	4
27	прежде всего	14	4
28	том что	6	4
29	и что	2	4
30	так же	2	4
31	и все	9	4
32	все это	14	4
33	в нем	44	4
34	то что	2	4
35	но это	3	4
36	и даже	11	4
37	в себе	3	4
38	один из	9	3
39	и как	3	3
40	уже в	2	3
41	к нему	7	3
42	в своем	9	3
43	при этом	12	3
44	в его	19	3
45	все эти	15	3
46	в основном	7	3
47	с ее	6	3
48	и сам	4	3
49	должно быть	3	3
50	как в	18	3
51	как это	3	3
52	для него	8	3
53	то есть	46	3
54	романа и	8	3
55	с ним	12	3
56	никогда не	9	2
57	в самом	6	2
58	и то	2	2
59	но все	2	2
60	данном случае	3	2
61	до конца	25	2
62	одна из	6	2
63	друг друга	3	2
64	перед нами	7	2
65	в одном	4	2
66	его в	7	2
67	в виде	4	2
68	ничего не	5	2
69	в данном	5	2
70	не могут	7	2
71	в ее	2	2
72	но эта	2	2
73	что все	2	2
74	к тому	3	2
75	а как	3	2
76	о том	5	2
77	что и	2	2
78	ни в	4	2
79	не в	14	2
80	столь же	2	2
81	и здесь	5	2
82	потому что	2	2
83	вместе со	2	2
84	между этими	3	2
85	не просто	2	2
86	в известной	3	2
87	в частности	3	2
88	только о	2	2
89	как у	2	2
90	в таком	5	2
91	еще раз	3	2
92	так что	2	2
93	он не	5	2
94	и ее	3	2
95	в первом	3	2
96	бы и	6	2
97	уже не	5	2
98	из самых	2	2
99	отличие от	13	2
100	по замыслу	2	2
101	из своих	2	2
102	в том	7	2
103	и до	2	2
104	чем он	2	2
105	в отличие	12	2
106	не был	2	2
107	с его	8	2
108	отношение к	8	2
