N	2gram	Berdyaev_M	Analitik
1	не только	42	71
2	и в	61	66
3	но и	34	57
4	в том	9	52
5	может быть	42	52
6	в этом	34	51
7	как и	14	50
8	и не	26	48
9	а не	36	42
10	том что	7	40
11	так и	5	35
12	то есть	3	35
13	в мире	12	31
14	не может	39	29
15	как бы	10	29
16	а в	4	28
17	в его	10	27
18	и его	13	27
19	не в	16	26
20	но не	8	26
21	в себе	12	24
22	к тому	6	22
23	в этой	12	22
24	что в	12	22
25	лишь в	8	21
26	о том	5	20
27	по отношению	4	19
28	но в	12	19
29	в своей	18	19
30	то же	4	19
31	в самом	15	19
32	с его	6	19
33	в то	2	18
34	отношению к	4	18
35	только в	7	17
36	могут быть	2	16
37	то что	10	16
38	что и	6	16
39	не есть	21	15
40	в их	4	15
41	прежде всего	18	15
42	в сущности	2	15
43	уже не	8	15
44	и на	9	15
45	между тем	2	15
46	себя в	6	14
47	я и	3	14
48	по себе	2	13
49	ничего не	4	13
50	точки зрения	6	13
51	в начале	2	13
52	для него	28	13
53	он не	34	13
54	никогда не	30	12
55	и к	9	12
56	есть не	9	12
57	как в	9	12
58	в свою	5	11
59	это не	10	11
60	по своей	4	11
61	и как	3	11
62	той же	3	11
63	в той	3	11
64	в конце	11	10
65	все же	2	10
66	один из	9	10
67	было бы	11	10
68	и самого	2	10
69	особенно в	3	10
70	подобно тому	2	10
71	со своей	2	10
72	отношения к	6	10
73	в своем	17	9
74	того что	13	9
75	за пределы	5	9
76	во всех	3	9
77	в русской	4	9
78	личности в	4	9
79	тому как	2	9
80	вместе с	7	9
81	о чем	3	8
82	роль в	2	8
83	что он	16	8
84	и все	13	8
85	хотя и	2	8
86	в основе	4	8
87	если бы	5	8
88	он и	2	8
89	с ним	5	8
90	иное как	4	7
91	по природе	2	7
92	место в	4	7
93	о предопределении	2	7
94	в ее	3	7
95	все это	6	7
96	по преимуществу	4	7
97	себя и	6	7
98	как будто	4	7
99	природе своей	2	7
100	что иное	4	7
101	и для	7	7
102	у него	38	7
103	личности и	3	7
104	приводит к	2	7
105	со своим	2	7
106	в нашем	2	7
107	не мог	6	7
108	его в	6	6
109	если в	2	6
110	что не	3	6
111	с другим	3	6
112	не что	4	6
113	должен быть	4	6
114	от своего	2	6
115	не знает	12	6
116	те же	5	6
