N	3gram	Bakhtin_Fr	Vladivir
1	там же с	2	29
2	в том что	6	29
3	о том что	3	22
4	дело в том	2	13
5	во всяком случае	2	12
6	содержит в себе	2	11
7	в то же	5	10
8	с точки зрения	6	10
9	не может быть	5	10
10	как раз и	2	9
11	то же время	5	9
12	в свое время	5	7
13	в это время	2	7
14	в году в	2	6
15	в отличие от	4	6
16	как мы видели	2	6
17	но даже и	2	5
18	и в то	2	5
19	не только в	5	5
20	и в том	2	5
21	на первом плане	4	5
22	можно сказать что	3	4
23	как мы уже	8	4
24	в этом отношении	5	4
25	с одной стороны	2	4
26	для того чтобы	2	4
27	в себе и	2	4
28	даже и в	4	3
29	в том числе	10	3
30	во второй половине	2	3
31	и в частности	2	3
32	так и не	3	3
33	мы уже сказали	4	3
34	на самом же	3	3
35	самом же деле	3	3
36	и прежде всего	4	2
37	второй половины xix	2	2
38	так и в	3	2
39	но в то	2	2
40	так и его	2	2
41	до сих пор	7	2
42	подлежит никакому сомнению	2	2
43	не подлежит никакому	2	2
44	и даже в	2	2
