N	3gram	Vygotskiy_	VLabPisa
1	в этом отношении	9	14
2	с другой стороны	5	8
3	не может быть	5	8
4	по отношению к	3	7
5	по этому поводу	4	7
6	более или менее	3	6
7	в том что	41	5
8	в зависимости от	6	5
9	хотя бы и	2	5
10	вместе с тем	11	4
11	в связи с	8	4
12	мы видели что	4	3
13	для того чтобы	14	3
14	в этой области	2	3
15	о том что	3	3
16	та или иная	3	3
17	в том отношении	2	2
18	этом и заключается	2	2
19	с одной стороны	8	2
20	во всяком случае	10	2
21	в этом и	2	2
22	в том числе	3	2
23	этой точки зрения	4	2
24	том числе и	3	2
25	до сих пор	3	2
26	и том же	2	2
27	ни один из	4	2
28	только в том	4	2
29	в другом месте	3	2
30	в том чтобы	2	2
31	можно было бы	8	2
32	одном и том	2	2
