N	2gram	Nazirov_Tv	Vladivir
1	и в	40	116
2	то что	9	71
3	и не	12	67
4	в году	22	65
5	не только	16	65
6	у него	11	65
7	в этом	11	53
8	в том	13	52
9	том что	14	51
10	что в	17	48
11	но и	10	47
12	в конце	5	41
13	в его	19	40
14	и с	9	39
15	то есть	16	37
16	сказать что	3	36
17	и даже	8	36
18	там же	11	35
19	так что	4	35
20	же с	10	34
21	потому что	10	33
22	что он	11	32
23	не может	9	31
24	о том	9	30
25	только в	7	30
26	никогда не	13	29
27	для него	9	29
28	вовсе не	5	27
29	а в	10	27
30	не было	3	26
31	в то	23	25
32	но в	11	25
33	в себе	3	25
34	и его	14	25
35	может быть	11	23
36	он не	10	23
37	в виде	4	22
38	так как	6	22
39	он был	2	22
40	письма т	2	22
41	об этом	4	22
42	ни в	2	22
43	в своей	8	21
44	вместе с	4	21
45	в своем	4	20
46	прежде всего	10	20
47	и что	2	20
48	и потому	4	19
49	так и	5	19
50	м м	19	19
51	не менее	8	19
52	как раз	2	19
53	в дальнейшем	7	19
54	таким образом	14	19
55	тем не	2	19
56	не в	3	18
57	не был	4	18
58	как это	2	18
59	как и	16	18
60	хотя и	5	18
61	с его	12	18
62	м с	12	18
63	не мог	3	18
64	едва ли	2	17
65	что и	3	17
66	в этой	7	17
67	то это	2	17
68	у нас	2	17
69	а не	9	17
70	и если	3	17
71	уже не	6	16
72	все же	9	16
73	того что	3	16
74	было бы	2	16
75	к тому	2	16
76	и все	6	16
77	в котором	8	16
78	не есть	2	16
79	года он	3	16
80	до конца	2	15
81	в связи	2	15
82	но это	10	15
83	к этому	4	15
84	то же	19	15
85	в своих	8	15
86	того же	2	14
87	уже в	5	14
88	в с	2	14
89	все эти	3	14
90	и как	5	14
91	и на	12	14
92	мы уже	2	14
93	так же	6	13
94	можно сказать	2	13
95	и от	8	13
96	дело в	4	13
97	жизни и	3	13
98	на этот	3	13
99	и у	3	12
100	только на	2	12
101	ничего не	3	12
102	в нем	4	12
103	и по	5	12
104	связи с	2	12
105	во всяком	2	12
106	то в	2	12
107	и это	2	12
108	если не	4	12
109	по себе	2	12
110	всяком случае	2	12
111	всякого рода	2	11
112	еще в	3	11
113	и о	2	11
114	я не	5	11
115	при этом	14	11
116	все это	14	11
117	в данном	2	11
118	хотя бы	5	11
119	в которой	5	11
120	и здесь	2	11
121	него в	2	11
122	№ с	2	11
123	тому же	2	11
124	в основном	9	11
125	даже в	4	10
126	о нем	2	10
127	в ней	2	10
128	что его	4	10
129	что все	4	10
130	в качестве	2	10
131	в истории	2	10
132	в россии	5	10
133	еще не	5	10
134	в петербурге	5	10
135	но не	7	10
136	что для	3	10
137	в самом	6	10
138	января года	4	10
139	отнюдь не	9	10
140	года в	7	10
141	с ним	4	10
142	это не	9	9
143	и притом	2	9
144	мы знаем	2	9
145	а с	4	9
146	в целом	7	9
147	в начале	2	9
148	с этим	2	9
149	т ii	4	9
150	и сам	5	9
151	с другой	4	9
152	не будет	2	9
153	именно в	6	9
154	а ф	3	9
155	же время	18	9
156	это время	2	9
157	но он	3	9
158	в петербург	2	8
159	марта года	4	8
160	не столько	4	8
161	xix века	13	8
162	тоже не	2	8
163	в чем	4	8
164	себя в	3	8
165	как бы	26	8
166	тот же	3	8
167	и он	4	8
168	в этот	3	8
169	тем что	2	8
170	и я	2	8
171	с этой	4	8
172	в этих	2	8
173	как в	10	8
174	когда он	4	8
175	которой он	2	8
176	значит что	3	8
177	философии но	2	7
178	при помощи	4	7
179	не имеет	2	7
180	на первом	2	7
181	а а	4	7
182	на его	4	7
183	точно так	3	7
184	здесь мы	2	7
185	если бы	4	7
186	и вот	2	7
187	ii с	2	7
188	к ней	3	7
189	но если	4	7
190	в одном	3	7
191	что этот	2	7
192	в таком	4	7
193	и есть	2	7
194	нам представляется	2	7
195	данном случае	2	6
196	его в	2	6
197	вопросы философии	2	6
198	на себя	2	6
199	в отличие	3	6
200	есть не	2	6
201	и тут	2	6
202	том же	3	6
203	в виду	3	6
204	отличие от	3	6
205	что на	3	6
206	декабря года	2	6
207	тому что	2	6
208	настоящее время	2	6
209	в в	2	6
210	жизнь и	2	6
211	письма к	3	6
212	свидетельствует о	2	6
213	другой стороны	2	6
214	что она	5	6
215	по мнению	4	6
216	на него	2	6
217	мысли и	5	6
218	должен был	2	6
219	но у	5	6
220	и наконец	3	6
221	же и	2	6
222	такой же	4	6
223	году в	3	6
224	но только	3	6
225	мы не	3	6
226	в жизни	3	6
227	той же	4	6
228	он сам	8	6
229	начиная с	2	5
230	году он	2	5
231	но она	2	5
232	на эту	4	5
233	друг друга	2	5
234	и тем	2	5
235	в их	5	5
236	в частности	4	5
237	она не	2	5
238	с самого	3	5
239	и без	2	5
240	мы находим	2	5
241	один из	5	5
242	место в	6	5
243	что с	2	5
244	и до	2	5
245	что они	3	5
246	во время	2	5
247	первом плане	2	5
248	сводится к	2	5
249	ее в	3	5
250	во многом	8	5
251	в россию	2	5
252	и еще	2	5
253	во всех	2	5
254	говорит что	2	5
255	по преимуществу	4	5
256	со своим	2	5
257	он писал	2	5
258	жизни в	9	5
259	в философии	2	5
260	где он	2	5
261	что я	4	5
262	н г	2	5
263	но уже	2	5
264	далеко не	3	5
265	что у	5	5
266	еще более	3	5
267	в свою	8	5
268	с которым	2	5
269	из них	4	5
270	говорит о	3	5
271	это был	4	5
272	и только	2	5
273	не к	2	5
274	но его	2	5
275	на самом	3	4
276	перед нами	3	4
277	тем самым	10	4
278	не могут	2	4
279	крайней мере	4	4
280	вплоть до	2	4
281	человека и	6	4
282	в духе	6	4
283	бога и	3	4
284	спб с	3	4
285	наряду с	6	4
286	как к	2	4
287	это и	4	4
288	не могли	2	4
289	и других	5	4
290	он всегда	2	4
291	как у	3	4
292	время он	2	4
293	одной из	7	4
294	любви к	2	4
295	и т	14	4
296	только с	3	4
297	года и	4	4
298	он говорит	3	4
299	с большим	3	4
300	и против	2	4
301	не то	2	4
302	в такой	2	4
303	на этих	2	4
304	больше чем	2	4
305	но зато	3	4
306	представление о	9	4
307	вообще говоря	2	4
308	время в	3	4
309	не все	2	4
310	не так	5	4
311	но этот	2	4
312	в глаза	2	4
313	т д	10	4
314	во второй	3	4
315	только что	2	4
316	в статье	2	4
317	ни к	2	4
318	и другие	4	4
319	по крайней	4	4
320	с одной	2	4
321	и более	2	4
322	со своими	2	4
323	в ф	5	4
324	о которой	2	4
325	в книге	3	3
326	так сказать	4	3
327	указывает на	2	3
328	а что	2	3
329	не имеют	4	3
330	от него	2	3
331	вот в	2	3
332	и через	4	3
333	свою очередь	2	3
334	который в	4	3
335	он ни	3	3
336	роль в	2	3
337	но эта	3	3
338	казалось бы	4	3
339	точка зрения	2	3
340	самом деле	4	3
341	здесь нет	2	3
342	так например	3	3
343	этот факт	2	3
344	его к	2	3
345	гораздо более	2	3
346	не нужно	2	3
347	что не	5	3
348	для них	2	3
349	и др	2	3
350	же как	3	3
351	самого начала	3	3
352	был бы	3	3
353	нет ни	3	3
354	он стал	2	3
355	очень важно	2	3
356	с ними	3	3
357	только как	2	3
358	в литературе	4	3
359	это в	3	3
360	дело не	3	3
361	с каким	2	3
362	особенно в	3	3
363	что человек	3	3
364	я и	3	3
365	апреля года	4	3
366	на земле	4	3
367	человека как	2	3
368	в изображении	2	3
369	во имя	3	3
370	одним из	6	3
371	никуда не	2	3
372	себе не	3	3
373	июля года	2	3
374	отношении к	2	3
375	влияние на	3	3
376	как известно	3	3
377	в мире	8	3
378	если у	2	3
379	ни на	3	3
380	во что	2	3
381	здравого смысла	2	3
382	в которых	3	3
383	а по	3	3
384	не существует	3	3
385	этой книги	4	3
386	в настоящем	2	3
387	еще с	2	3
388	к жизни	4	3
389	но когда	2	3
390	как будто	5	3
391	согласии с	2	3
392	была бы	2	3
393	г в	2	3
394	заставляет нас	2	3
395	человека в	9	2
396	к одному	2	2
397	в философском	2	2
398	у достоевского	51	2
399	слова не	2	2
400	добра и	3	2
401	против этого	2	2
402	не является	3	2
403	приходит к	4	2
404	как было	2	2
405	только для	2	2
406	и добра	2	2
407	и высшей	2	2
408	одна из	5	2
409	не могу	2	2
410	который является	2	2
411	не по	3	2
412	собр соч	2	2
413	он еще	2	2
414	которого он	2	2
415	в одно	2	2
416	это все	2	2
417	xviii века	2	2
418	в момент	5	2
419	а во	2	2
420	от других	2	2
421	если он	4	2
422	стремится к	3	2
423	идеи и	2	2
424	говорил что	2	2
425	со всеми	3	2
426	как уже	2	2
427	на том	2	2
428	рядом с	2	2
429	можно не	2	2
430	времени в	13	2
431	одного из	3	2
432	просто не	3	2
433	в большой	2	2
434	однако в	3	2
435	у а	2	2
436	же не	2	2
437	из этой	3	2
438	меня не	2	2
439	людей в	2	2
440	в ее	3	2
441	воли и	3	2
442	было в	2	2
443	а может	2	2
444	например в	3	2
445	в двух	2	2
446	в основе	3	2
447	жизни с	2	2
448	этот момент	2	2
449	в которую	2	2
450	же году	2	2
451	если в	3	2
452	имеет в	2	2
453	и должно	2	2
454	и красота	2	2
455	но эти	3	2
456	в нашей	2	2
457	в первой	4	2
458	его как	2	2
459	в душе	4	2
460	время не	2	2
461	о котором	2	2
462	от апреля	2	2
463	эта идея	2	2
464	с ее	3	2
