N	2gram	Tiupa_Anal	Myslijsy
1	то есть	15	142
2	и в	36	121
3	может быть	19	107
4	в том	16	103
5	то что	5	83
6	в слове	5	78
7	что в	15	73
8	и не	14	73
9	только в	9	72
10	не только	40	67
11	а не	16	67
12	таким образом	4	64
13	том что	19	59
14	в этом	19	59
15	но и	26	59
16	то же	7	56
17	не в	9	54
18	если бы	2	53
19	в себе	7	53
20	не может	3	52
21	по себе	6	52
22	того что	4	47
23	в нем	3	45
24	было бы	6	45
25	не есть	6	42
26	как и	27	42
27	так что	2	39
28	вместе с	3	39
29	мы не	4	38
30	что и	10	38
31	так и	19	37
32	при этом	19	37
33	как в	9	37
34	что мы	2	36
35	тем что	3	33
36	и что	2	32
37	по отношению	9	30
38	а в	17	30
39	но не	13	29
40	что не	3	29
41	между тем	8	29
42	вовсе не	2	28
43	мы можем	2	28
44	для него	8	28
45	могут быть	4	27
46	с этим	4	27
47	не было	3	26
48	отношению к	9	26
49	этого слова	3	25
50	в то	8	24
51	с тем	2	23
52	как бы	14	23
53	но в	8	22
54	с другой	10	22
55	и потому	3	21
56	не менее	9	21
57	в ней	2	20
58	в одном	4	20
59	это не	4	20
60	мысль о	3	20
61	тем самым	8	19
62	и как	5	19
63	с ним	2	19
64	есть не	2	19
65	и то	2	19
66	сказать что	2	19
67	из этих	4	19
68	но это	3	19
69	тем не	3	19
70	о том	9	19
71	того же	7	19
72	очевидно что	2	18
73	еще не	7	18
74	не могут	2	18
75	тогда как	37	18
76	по поводу	5	18
77	в самом	7	18
78	в таком	2	18
79	в его	12	17
80	по крайней	5	17
81	крайней мере	5	17
82	со стороны	12	17
83	точки зрения	3	17
84	во всяком	6	17
85	уже в	5	17
86	слова в	2	17
87	в своем	7	16
88	к тому	10	16
89	в них	4	16
90	и на	5	16
91	и по	3	15
92	в нас	2	15
93	в этих	2	15
94	с одной	3	15
95	тому как	3	15
96	и тем	3	15
97	что он	5	15
98	прежде всего	7	15
99	в свою	9	15
100	уже не	9	15
101	свою очередь	7	14
102	в действительности	2	14
103	и без	3	14
104	там где	2	14
105	то в	4	14
106	так сказать	2	14
107	столь же	7	14
108	в одно	2	14
109	все же	6	14
110	сам по	2	14
111	когда мы	2	14
112	во всех	4	14
113	же время	7	14
114	и все	3	13
115	те же	3	13
116	не следует	5	13
117	и может	2	13
118	например в	2	13
119	из них	4	13
120	и его	18	13
121	никогда не	7	12
122	человека и	2	12
123	одно из	3	12
124	что на	3	12
125	все это	5	12
126	как мы	4	12
127	есть в	2	12
128	тем более	3	12
129	оно не	2	12
130	в чем	2	12
131	хотя и	4	12
132	другой стороны	7	12
133	в каждом	4	12
134	всяком случае	6	12
135	к одному	2	11
136	в силу	2	11
137	той же	7	11
138	в первом	2	11
139	в состоянии	2	11
140	все что	2	11
141	и если	2	11
142	и их	3	11
143	его в	4	11
144	указывает на	3	11
145	с нею	2	11
146	же в	5	11
147	подобно тому	4	11
148	а и	4	10
149	одной стороны	3	10
150	бы быть	2	10
151	и для	4	10
152	одной и	2	10
153	тех пор	2	10
154	так в	4	10
155	и от	3	10
156	только по	2	10
157	не от	2	10
158	он не	9	10
159	что при	2	10
160	таком случае	2	9
161	нам кажется	3	9
162	могли бы	2	9
163	не будет	3	9
164	во многих	2	9
165	это было	2	9
166	и даже	12	9
167	в сравнении	2	9
168	далеко не	8	9
169	с точки	2	9
170	и того	4	9
171	самом деле	2	9
172	один из	6	9
173	в целом	8	9
174	во время	2	9
175	можно сказать	5	9
176	что она	3	9
177	одного и	4	9
178	таким же	4	9
179	тот же	3	8
180	не как	3	8
181	что они	3	8
182	в глазах	6	8
183	именно в	4	8
184	только не	3	8
185	внимание на	4	8
186	во всем	5	8
187	и той	2	8
