N	2gram	Vinokur_Vv	Psycholo
1	то что	19	193
2	и в	35	190
3	в том	38	163
4	что в	13	123
5	потому что	18	114
6	том что	30	113
7	и что	6	108
8	может быть	30	107
9	таким образом	21	102
10	в этом	35	100
11	все время	2	86
12	в самом	13	82
13	как бы	7	80
14	для того	23	78
15	того чтобы	22	78
16	что он	5	76
17	не только	26	75
18	на то	2	73
19	и не	13	73
20	что она	3	71
21	самом деле	7	70
22	и т	45	69
23	точки зрения	12	69
24	не может	19	68
25	так как	15	63
26	так же	3	63
27	было бы	7	56
28	если бы	3	55
29	то же	11	54
30	о том	16	54
31	при этом	3	52
32	как и	7	51
33	что и	5	50
34	а не	5	50
35	что это	3	49
36	заключается в	4	46
37	только в	16	46
38	в сущности	3	46
39	сказать что	6	46
40	по себе	11	46
41	к тому	4	45
42	не в	10	45
43	в этой	3	43
44	искусства и	2	43
45	ясно что	11	43
46	никогда не	3	42
47	вместе с	6	41
48	как это	5	40
49	но и	7	40
50	при помощи	3	39
51	как раз	4	39
52	того что	12	39
53	т п	5	38
54	же самое	3	38
55	и это	6	37
56	и как	9	36
57	с тем	6	35
58	вовсе не	6	34
59	и его	6	34
60	как на	12	34
61	все же	9	33
62	тому что	2	33
63	все это	6	32
64	в себе	4	32
65	в ней	3	31
66	мы не	2	31
67	в его	12	31
68	как будто	3	30
69	как в	3	30
70	с одной	4	29
71	и для	4	29
72	с точки	4	29
73	одной стороны	4	29
74	в нем	13	29
75	что мы	2	28
76	что они	2	28
77	увидим что	2	28
78	и то	7	28
79	мы можем	2	28
80	с другой	8	27
81	в своих	2	27
82	а в	6	27
83	и на	3	27
84	так что	5	26
85	и здесь	3	25
86	только что	4	25
87	жизни и	2	25
88	до конца	3	24
89	в целом	5	24
90	и совершенно	2	24
91	до сих	7	24
92	тем что	6	24
93	в своем	3	23
94	сих пор	7	23
95	для этого	3	23
96	что если	2	23
97	могут быть	6	23
98	что оно	2	23
99	один из	6	23
100	и даже	6	22
101	т д	39	22
102	как она	4	22
103	казалось бы	2	22
104	когда мы	2	22
105	с этим	3	22
106	между тем	10	22
107	из них	4	22
108	в своей	4	21
109	как мы	11	21
110	и вот	3	21
111	в конце	3	21
112	том чтобы	6	21
113	в котором	4	21
114	в которых	6	21
115	той же	4	21
116	все эти	3	20
117	в то	6	20
118	это не	8	20
119	дело с	9	20
120	несмотря на	2	20
121	мы имеем	4	20
122	другой стороны	5	20
123	на этом	3	20
124	мы должны	2	19
125	в ее	11	19
126	в какой	6	19
127	в одном	4	19
128	мы уже	2	19
129	в каком	3	18
130	но в	10	18
131	что с	3	18
132	но не	9	18
133	с этой	5	18
134	есть не	5	18
135	можно было	8	18
136	зависимости от	3	18
137	и есть	3	18
138	в виду	5	17
139	одна из	3	17
140	во всяком	5	17
141	у нас	2	17
142	из этих	9	17
143	но это	2	17
144	так и	2	16
145	не имеет	4	16
146	тому как	2	16
147	говорит о	3	16
148	и к	3	16
149	от того	3	16
150	и тем	5	16
151	из которых	3	16
152	же как	3	16
153	то это	3	16
154	к этому	3	16
155	и потому	2	15
156	в зависимости	3	15
157	еще не	4	15
158	не могут	6	15
159	о которых	2	15
160	что именно	2	15
161	только на	3	15
162	в частности	3	15
163	в них	5	15
164	во всех	2	15
165	в результате	4	15
166	и так	2	15
167	о котором	8	15
168	не просто	5	15
169	факт что	2	14
170	это только	4	14
171	должна быть	2	14
172	хотя бы	6	14
173	по существу	2	14
174	есть только	2	14
175	само по	4	14
176	прежде всего	10	14
177	одной и	2	14
178	это есть	2	14
179	в области	4	14
180	того как	3	14
181	и той	3	14
182	бы в	2	14
183	этом отношении	4	14
184	всяком случае	5	14
185	этих двух	2	14
186	должен был	4	13
187	как он	6	13
188	а с	2	13
189	могло бы	2	13
190	речь идет	2	13
