N	3gram	Propp_Isto	Formalny
1	не может быть	6	29
2	и т д	36	19
3	в связи с	6	16
4	по отношению к	2	12
5	так и в	2	11
6	с другой стороны	10	9
7	как мы видели	2	8
8	для того чтобы	3	8
9	до сих пор	7	8
10	вместе с тем	7	8
11	с одной стороны	7	8
12	в данном случае	2	6
13	в том что	4	6
14	тем не менее	6	4
15	в нем и	3	4
16	подобно тому как	2	4
17	не в том	2	4
18	но и в	2	4
19	но все же	6	4
20	т е в	6	3
21	друг с другом	2	3
22	в том числе	3	3
23	потому что он	5	3
24	как мы увидим	4	3
25	в том смысле	2	3
26	том числе и	2	3
27	в том чтобы	2	3
28	мы имеем в	2	2
29	но уже в	2	2
30	т е на	2	2
31	так же как	10	2
32	этой точки зрения	2	2
33	как и в	4	2
34	с этой точки	2	2
35	не потому что	2	2
36	в это время	2	2
37	на этот вопрос	2	2
38	не только в	2	2
39	и тем самым	2	2
40	мы видели что	2	2
41	о том как	4	2
42	в этом случае	13	2
43	что и в	3	2
