N	3gram	Voloshinov	Russkaja
1	друг с другом	2	14
2	то же время	7	10
3	в то же	7	10
4	с точки зрения	31	9
5	в том что	9	7
6	для того чтобы	7	6
7	во всяком случае	4	6
8	на самом деле	5	6
9	до сих пор	10	5
10	бы то ни	11	4
11	на то что	2	4
12	более или менее	3	4
13	не может быть	23	4
14	в этом случае	3	3
15	в конце концов	3	3
16	той или иной	5	3
17	можно было бы	2	3
18	и не может	11	3
19	к тому что	4	2
20	а следовательно и	2	2
21	в большинстве случаев	7	2
22	того или иного	2	2
23	о том что	2	2
24	в настоящее время	6	2
25	сама по себе	2	2
