N	2gram	Vinokur_Vv	NovoeSre
1	а не	5	17
2	и в	35	16
3	не может	19	16
4	совсем не	3	12
5	и не	13	11
6	и есть	3	10
7	истории и	4	9
8	что в	13	9
9	жизни и	2	8
10	в том	38	8
11	может быть	30	7
12	как и	7	7
13	в этом	35	7
14	это есть	2	7
15	никогда не	3	6
16	не в	10	6
17	но это	2	6
18	не только	26	5
19	должен быть	4	5
20	все это	6	5
21	в нем	13	5
22	в ней	3	5
23	истории в	2	5
24	и к	3	5
25	культуры в	5	5
26	должно быть	2	4
27	по своему	5	4
28	в них	5	4
29	и для	4	4
30	есть лишь	2	4
31	не имеет	4	4
32	прежде всего	10	4
33	не менее	9	4
34	не было	2	4
35	и потому	2	4
36	то что	19	4
37	о том	16	4
38	это не	8	4
39	потому что	18	4
40	государства и	2	4
41	смысле слова	7	3
42	тому как	2	3
43	в прошлом	2	3
44	но и	7	3
45	подобно тому	2	3
46	с другой	8	3
47	в ее	11	3
48	к тому	4	3
49	что такое	12	3
50	в своей	4	3
51	еще не	4	3
52	в истории	9	3
53	должна быть	2	3
54	как в	3	3
55	не есть	5	3
56	сказать что	6	3
57	во всех	2	3
58	вопрос о	10	3
59	не существует	2	3
60	истории не	2	3
61	наряду с	3	3
62	с тем	6	3
63	зависит от	3	2
64	в себе	4	2
65	и должно	2	2
66	что она	3	2
67	как будто	3	2
68	и с	2	2
69	одна из	3	2
70	том чтобы	6	2
71	для этого	3	2
72	себя в	2	2
73	но не	9	2
74	нашего времени	2	2
75	не могли	2	2
76	того чтобы	22	2
77	природе и	2	2
78	и это	6	2
79	хотя бы	6	2
80	и заключается	4	2
81	когда мы	2	2
82	же как	3	2
83	а в	6	2
84	все время	2	2
85	но в	10	2
86	том что	30	2
87	не к	2	2
88	нового типа	2	2
89	и на	3	2
90	с этим	3	2
91	которых не	3	2
92	и что	6	2
93	все эти	3	2
94	мы не	2	2
95	к самой	2	2
96	на протяжении	2	2
97	движение от	2	2
98	вот почему	3	2
99	можно было	8	2
100	ни одна	2	2
101	времени в	3	2
102	времени и	4	2
103	уже не	6	2
104	по существу	2	2
105	с их	5	2
106	как это	5	2
107	другой стороны	5	2
108	так же	3	2
109	так и	2	2
110	ни к	2	2
111	такого рода	3	2
112	могут быть	6	2
113	жизни как	2	2
114	одной стороны	4	2
115	быть в	5	2
116	в то	6	2
117	познания и	2	2
118	хотя и	5	2
119	связана с	4	2
120	мысли и	2	2
121	мы говорим	3	2
122	и творчества	2	2
123	этом смысле	11	2
124	с одной	4	2
125	духовной жизни	3	2
126	и даже	6	2
127	в центре	4	2
128	вместе с	6	2
