N	2gram	Ircho_Kome	OGranits
1	и в	37	13
2	и его	10	12
3	прежде всего	7	9
4	и не	28	8
5	не может	9	8
6	может быть	14	8
7	в его	12	7
8	точки зрения	8	7
9	не только	13	6
10	как бы	7	6
11	таким образом	16	6
12	только в	3	6
13	то что	5	6
14	все же	9	5
15	с точки	6	5
16	и эта	2	5
17	хотя бы	5	5
18	мы можем	7	4
19	но в	7	4
20	то же	14	4
21	тех пор	5	4
22	не является	5	4
23	в своей	6	4
24	все это	7	4
25	было бы	7	4
26	в двух	7	4
27	мы не	6	4
28	в каждом	3	4
29	до тех	5	4
30	на фоне	2	4
31	никогда не	5	3
32	да и	3	3
33	и для	7	3
34	общего с	2	3
35	и все	6	3
36	в ее	3	3
37	с этим	5	3
38	отношению к	4	3
39	как и	10	3
40	в пределах	3	3
41	не в	7	3
42	в их	5	3
43	говорить о	6	3
44	так как	16	3
45	в себе	4	3
46	что в	11	3
47	по отношению	6	3
48	г в	2	3
49	самом деле	13	3
50	за пределы	3	3
51	так и	4	3
52	что же	2	3
53	в которой	6	3
54	не как	2	3
55	в одном	3	3
56	но и	18	3
57	не столько	3	3
58	в самом	17	2
59	могут быть	3	2
60	мы видим	2	2
61	конечно в	2	2
62	в этом	18	2
63	в них	6	2
64	в руках	3	2
65	уже в	3	2
66	в том	24	2
67	тем что	12	2
68	в отношении	4	2
69	несмотря на	7	2
70	в целом	4	2
71	если бы	18	2
72	с одной	5	2
73	не имеет	6	2
74	роль в	3	2
75	мы понимаем	3	2
76	пути к	2	2
77	с другой	5	2
78	разумеется что	3	2
79	а в	12	2
80	и тем	4	2
81	том что	22	2
82	а как	2	2
83	а также	3	2
84	в г	3	2
85	и к	4	2
86	в связи	4	2
87	не менее	9	2
88	в области	3	2
89	что эта	2	2
90	так же	8	2
91	от своего	2	2
92	что они	3	2
93	нуждается в	2	2
94	с этой	5	2
95	и может	2	2
96	в своих	4	2
97	его на	5	2
98	в нем	8	2
99	не на	3	2
100	в тех	4	2
101	при этом	11	2
102	и ее	3	2
103	нет ничего	4	2
104	а не	5	2
105	в ней	7	2
106	в течение	3	2
107	как в	4	2
108	другой стороны	2	2
109	во всем	2	2
110	чем же	2	2
111	одной стороны	4	2
112	бы в	5	2
113	между тем	6	2
114	в чем	7	2
115	тот же	11	2
116	ни одно	3	2
117	в другом	2	2
118	самого начала	5	2
119	вовсе не	6	2
120	к сожалению	2	2
121	с самого	5	2
122	к тому	11	2
123	не мог	2	2
124	с помощью	4	2
