N	2gram	Bakhtin_fo	Myshleni
1	в том	16	195
2	в этом	41	167
3	то что	13	166
4	и в	84	162
5	том что	7	161
6	таким образом	14	147
7	точки зрения	14	143
8	с помощью	5	131
9	что в	9	119
10	не только	16	116
11	того что	5	109
12	в процессе	4	101
13	так же	7	100
14	и речи	6	96
15	потому что	11	95
16	того чтобы	11	91
17	может быть	18	89
18	с точки	9	89
19	что он	2	86
20	не может	8	81
21	как и	15	79
22	так как	12	78
23	для того	12	78
24	и не	19	78
25	только в	12	75
26	в целом	2	74
27	как мы	19	72
28	но и	14	70
29	речи в	2	70
30	в его	19	67
31	сказать что	4	65
32	как бы	11	64
33	вместе с	9	62
34	в качестве	6	60
35	было бы	2	60
36	то же	18	58
37	в основе	9	58
38	в отношении	5	55
39	что мы	2	53
40	между собой	5	53
41	в самом	9	52
42	в сущности	5	51
43	по сравнению	3	51
44	мы должны	2	50
45	к тому	6	49
46	что они	3	48
47	мы можем	2	48
48	тем что	4	48
49	мы не	4	47
50	тогда когда	2	47
51	на основе	5	47
52	сравнению с	3	46
53	если бы	6	46
54	но не	9	45
55	с другой	4	45
56	по отношению	3	45
57	с тем	5	43
58	же как	2	43
59	как это	2	42
60	отношению к	5	42
61	не является	4	41
62	одной стороны	3	40
63	о том	4	40
64	так и	17	39
65	никогда не	8	39
66	с одной	5	39
67	мы видели	2	38
68	вопрос о	2	37
69	не в	10	37
70	если мы	2	37
71	в этой	3	37
72	и к	4	37
73	мы видим	4	37
74	в своем	8	36
75	с самого	3	36
76	все эти	12	36
77	и его	26	36
78	самого начала	3	36
79	как в	10	36
80	а не	7	36
81	того же	9	35
82	друг с	5	35
83	с другом	5	35
84	он не	6	35
85	в которой	3	35
86	в себе	7	35
87	для себя	8	35
88	и т.д	2	35
89	и как	12	34
90	связи с	14	34
91	при этом	8	33
92	прежде всего	28	33
93	по себе	3	33
94	что и	5	32
95	именно в	5	32
96	по своему	3	32
97	же самое	2	32
98	но в	16	32
99	слова и	4	32
100	той же	2	32
101	и на	13	32
102	и то	5	31
103	все же	12	31
104	этом отношении	5	30
105	могут быть	7	29
106	этого слова	2	29
107	с этим	11	28
108	самом деле	2	28
109	что все	4	27
110	в своей	2	27
111	с этой	3	27
112	в результате	6	27
113	в то	13	27
114	связь между	2	27
115	и с	10	27
116	в их	9	26
117	в частности	11	26
118	для него	5	26
119	все это	10	25
120	еще не	8	25
121	уже в	5	25
122	это не	8	25
123	в чем	3	25
124	можно сказать	2	25
125	мы уже	17	25
126	так что	4	24
127	тот же	4	24
128	целый ряд	2	24
129	в нем	28	24
130	как уже	3	24
131	в смысле	5	24
132	как он	4	23
133	друг друга	3	23
134	ни в	9	23
135	связи между	2	23
136	во всяком	5	22
137	не могут	4	22
138	то время	4	22
139	отношение к	5	21
140	в истории	6	21
141	и более	3	21
142	в нашем	3	21
143	его в	8	21
144	там где	4	21
145	к этому	5	21
146	и все	10	21
147	ее в	2	21
148	между ними	5	21
149	и следовательно	5	21
150	и ее	4	21
151	не имеет	5	21
152	в котором	8	20
153	в виду	5	20
154	и других	5	20
155	по существу	17	20
156	а в	6	20
157	должно быть	6	20
158	время как	5	20
159	из них	8	20
160	как раз	13	20
161	в другом	2	20
162	и их	11	20
163	на этом	2	20
164	из этих	5	20
165	для других	7	19
166	мы говорили	3	19
167	в данном	4	19
168	словом и	2	19
169	в себя	3	19
170	с ним	5	19
171	в той	5	19
172	как на	2	19
173	и по	5	19
174	во всех	13	19
175	мы и	4	19
176	один из	5	19
177	в связи	13	19
178	отличие от	3	18
179	во всем	3	18
180	во всей	3	18
181	одного и	6	18
182	чем в	3	18
183	в отличие	3	18
184	мы находим	2	17
185	сих пор	4	17
186	и для	12	17
187	все что	2	17
188	в свою	2	17
189	и того	7	17
190	в одном	10	17
191	и от	3	17
192	и есть	3	17
193	и только	3	17
194	ту же	4	17
195	в этих	6	17
196	их в	6	17
197	тем же	3	17
198	до конца	5	17
199	в совершенно	3	17
200	у него	8	17
201	до сих	4	17
202	на этой	4	16
203	вовсе не	20	16
204	значение в	5	16
205	и другие	6	16
206	для нас	2	16
207	которые в	2	16
208	между двумя	6	16
209	то в	2	16
210	и даже	5	16
211	в которых	4	16
212	мы имеем	2	16
213	данном случае	2	15
214	вопрос об	2	15
215	тем более	4	15
216	те же	5	15
217	том же	4	15
218	значит что	2	15
219	между этими	4	15
220	по этому	2	15
221	в начале	3	15
222	от этого	4	15
223	со всеми	4	15
224	хотя бы	2	15
225	вообще не	4	15
226	как она	3	15
227	является не	2	15
228	ничего не	9	15
229	и это	5	15
230	в них	11	15
231	и является	2	15
232	он должен	2	14
233	друг от	2	14
234	точку зрения	3	14
235	значение для	3	14
236	точка зрения	4	14
237	и во	13	14
238	это значит	3	14
239	когда мы	2	14
240	одной из	3	14
241	от друга	2	14
242	уже говорили	6	14
243	связанные с	5	14
244	одно и	4	14
245	о чем	4	14
246	об этом	3	14
247	с его	10	14
248	и здесь	2	14
249	все более	2	13
250	она не	2	13
251	но все	6	13
252	и тот	2	13
253	лишь в	8	13
254	имеет место	6	13
255	другом месте	2	13
256	человека и	15	13
257	они не	4	13
258	отнюдь не	7	13
259	его к	2	13
260	для всех	3	13
261	в основном	12	13
262	стороны и	2	13
263	этой проблемы	2	13
264	смысле слова	4	13
265	с другими	3	13
266	но на	4	13
267	и потому	4	12
268	а затем	3	12
269	в ее	6	12
270	входит в	3	12
271	первый план	2	12
272	выражение в	3	12
273	к другу	2	12
274	в ней	4	12
275	в другую	3	12
276	только к	3	12
277	с их	2	12
278	еще более	7	12
279	на первый	2	12
280	ясно что	2	12
281	в одной	2	12
282	только на	3	12
283	все основные	3	12
284	к другому	2	12
285	тому же	2	12
286	но он	4	12
287	в каком	2	11
288	в конце	11	11
289	одно из	3	11
290	идет о	2	11
291	а только	2	11
292	с собой	2	11
293	друг другу	4	11
294	мы будем	5	11
295	есть не	4	11
296	на котором	2	11
297	находится в	3	11
298	например в	7	11
299	в других	9	11
300	в пределах	8	11
301	с ее	7	11
302	раз в	4	11
303	мы увидим	2	11
304	эти особенности	3	11
305	наряду с	7	11
306	в один	2	11
307	что на	3	11
308	не могли	3	11
309	лежит в	2	11
310	и наконец	6	11
311	нас в	3	11
312	не знает	4	11
313	не столько	2	11
314	есть в	3	11
315	отношения к	7	11
316	здесь мы	4	10
317	у нас	2	10
318	если не	3	10
319	или иной	4	10
320	с необходимостью	2	10
321	том числе	7	10
322	в основу	3	10
323	опирается на	2	10
324	но для	2	10
325	на друга	4	10
326	и т.п	6	10
327	внимание на	2	10
328	и у	8	10
329	на развитие	5	10
330	числе и	4	10
331	к жизни	2	10
332	и может	2	10
333	этот процесс	5	10
334	не могло	5	10
335	друг на	4	10
336	и поэтому	2	9
337	также и	6	9
338	только для	2	9
339	животных и	2	9
340	но эта	5	9
341	друг к	2	9
342	хотя и	5	9
343	и он	3	9
344	как оно	2	9
345	совершенно не	3	9
346	должны быть	2	9
347	та же	4	9
348	понятно что	4	9
349	в самой	3	9
350	оно не	3	9
351	основе этого	2	9
352	место в	4	9
353	и до	7	9
354	той или	3	9
355	как по	2	9
356	должен быть	2	9
357	или в	3	9
358	в зоне	2	8
359	что не	3	8
360	во время	7	8
361	себе и	4	8
362	и др	13	8
363	почти всегда	2	8
364	более и	2	8
365	в этот	5	8
366	не как	2	8
367	не являются	3	8
368	мы наблюдаем	2	8
369	в более	2	8
370	не на	4	8
371	том как	2	8
372	только и	5	8
373	и те	4	8
374	в течение	2	8
375	связан с	2	8
376	не имеют	4	7
377	у них	4	7
378	к вопросу	2	7
379	здесь в	6	7
380	одну из	2	7
381	а также	5	7
382	одновременно с	2	7
383	на одной	2	7
384	образом и	2	7
385	на один	2	7
386	в разных	6	7
387	которой он	3	7
388	же в	6	7
389	имеет в	2	7
390	на которые	2	7
391	всех этих	9	7
392	из нее	2	7
393	его и	2	7
394	он сам	2	7
395	в таком	4	7
396	и сам	2	7
397	но по	2	7
398	больше и	2	7
399	во втором	2	7
400	связаны с	3	7
401	принадлежит к	4	7
402	в жизни	6	7
403	в значительной	3	7
404	но они	3	7
405	и том	2	7
406	его с	2	7
407	само собой	2	6
408	в каждом	2	6
409	что здесь	2	6
410	наконец в	2	6
411	значение и	7	6
412	только один	2	6
413	и вообще	3	6
414	это было	2	6
415	роль в	12	6
416	происходит в	2	6
417	на другой	2	6
418	и самый	3	6
419	уже не	5	6
420	как его	3	6
421	еще и	3	6
422	лежат в	2	6
423	в отдельных	2	6
424	его на	3	6
425	по самому	3	6
426	всего в	4	6
427	вопросу о	3	6
428	дело в	3	6
429	в условиях	8	6
430	раз и	3	6
431	этот момент	2	6
432	одна из	3	6
433	нет и	4	6
434	тех же	2	6
435	что было	6	6
436	к ней	2	6
437	этими двумя	3	6
438	распадается на	2	6
439	в различных	2	6
440	в полном	2	5
441	своей собственной	3	5
442	бы он	2	5
443	по аналогии	2	5
444	и весь	2	5
445	все они	4	5
446	всей его	2	5
447	как у	2	5
448	от всех	2	5
449	же что	3	5
450	есть только	2	5
451	человека мы	2	5
452	в него	2	5
453	все его	7	5
454	для них	3	5
455	себя в	2	5
456	к ним	3	5
457	менее всего	2	5
458	как если	2	5
459	сами по	2	5
460	в данной	2	5
461	оказывается что	2	5
462	того в	2	5
463	более того	4	5
464	был бы	3	5
465	того и	3	5
466	никто не	2	5
467	в стороне	2	5
468	прежде чем	3	5
469	в ряду	2	5
470	которыми он	3	5
471	ни один	2	5
472	утверждает что	2	5
473	стадии развития	2	5
474	вернуться к	2	5
475	на протяжении	3	5
476	не для	3	5
477	а следовательно	4	5
478	в форме	5	5
479	кроме того	7	5
480	однако не	2	5
481	и вот	2	4
482	а потом	2	4
483	а как	3	4
484	и та	2	4
485	она становится	3	4
486	эти формы	2	4
487	в дальнейшем	10	4
488	рядом с	4	4
489	или не	2	4
490	время в	7	4
491	так сказать	14	4
492	в центре	2	4
493	контакт с	2	4
494	строго говоря	2	4
495	значения в	2	4
496	вступает в	2	4
497	совершенно иной	3	4
498	и характер	3	4
499	в одно	3	4
500	совсем не	4	4
501	но эти	4	4
502	все другие	2	4
503	и самое	5	4
504	не к	2	4
505	сила и	2	4
506	формы и	4	4
507	себя и	6	4
508	этому вопросу	2	4
509	входят в	2	4
510	только два	2	4
511	и эта	2	4
512	или как	5	4
513	в реальном	2	4
514	есть и	4	4
515	мы встречаем	3	4
516	и становится	2	4
517	во все	4	4
518	с нашей	3	4
519	за счет	2	4
520	в корне	2	4
521	особенности в	2	4
522	и тех	2	4
523	была бы	2	4
524	ему в	3	4
525	с которой	2	4
526	здесь не	5	4
527	жизни и	12	4
528	всего этого	3	4
529	как их	2	4
530	этот новый	2	4
531	уже на	3	4
532	влияния на	2	4
533	начинается с	2	4
534	здесь и	3	4
535	не было	8	4
536	в некоторых	4	4
537	конечно не	7	4
538	не оставляет	6	4
539	не входит	2	3
540	с чем	2	3
541	следовательно и	3	3
542	по вертикали	6	3
543	здесь как	3	3
544	к своему	2	3
545	значительной мере	2	3
546	эта форма	2	3
547	по ту	2	3
548	но к	2	3
549	самых основных	2	3
550	каждый из	2	3
551	связанных с	3	3
552	соответствии с	2	3
553	этого нового	3	3
554	после этого	2	3
555	одна и	2	3
556	дело идет	2	3
557	форме и	2	3
558	далее в	3	3
559	и совершенно	3	3
560	и всей	2	3
561	самому своему	2	3
562	ним но	2	3
563	всем этим	4	3
564	с этими	2	3
565	и еще	3	3
566	человек с	2	3
567	самое время	3	3
568	явления в	2	3
569	на фоне	3	3
570	в порядке	4	3
571	бы совершенно	2	3
572	в движение	3	3
573	новое и	5	3
574	к ряду	2	3
575	в соответствии	2	3
576	как можно	3	3
577	этот тип	2	3
578	что даже	2	3
579	всего того	3	3
580	по природе	2	3
581	самим собой	2	3
582	не могла	2	3
583	указать на	2	3
584	в новое	4	3
585	далеко не	3	3
586	имеем в	3	3
587	в плоскости	2	3
588	одних и	2	3
589	момент в	2	3
590	чтобы они	4	3
591	в это	5	3
592	в глаза	3	3
593	ведь это	2	3
594	оно было	3	3
595	к основному	2	3
596	его от	3	3
597	мы это	2	3
598	он так	2	3
599	не были	4	3
600	да и	4	3
601	этого момента	2	3
602	в прошлом	3	3
603	он ни	2	3
604	и пр	2	3
605	в большинстве	3	3
606	место во	2	3
607	по всем	3	3
608	же время	13	3
609	мира и	6	3
610	и принципиально	2	2
611	эта особенность	2	2
612	своей жизни	6	2
613	большинстве случаев	2	2
614	вверх и	3	2
615	вступают в	3	2
616	характер в	2	2
617	и вниз	3	2
618	моменты в	2	2
619	и они	4	2
620	оно уже	2	2
621	над ними	2	2
622	будем говорить	2	2
623	нам важно	2	2
624	ни к	3	2
625	когда я	2	2
626	в историческом	2	2
627	он утверждает	2	2
628	места в	2	2
629	с рядом	11	2
630	смысле но	2	2
631	протяжении всего	2	2
632	разумеется что	2	2
633	в присутствии	4	2
634	не быть	3	2
635	в таких	2	2
636	и почти	2	2
637	вплоть до	3	2
638	влияние на	6	2
639	зрения не	3	2
640	более что	2	2
641	выход из	2	2
642	именно как	4	2
643	значение но	2	2
644	вещи и	3	2
645	с нею	2	2
646	они сами	2	2
647	мир в	6	2
648	все то	2	2
649	особенно в	3	2
650	эту черту	2	2
651	вследствие этого	4	2
652	лишь как	3	2
653	более глубокой	2	2
654	в мире	4	2
655	явлений и	3	2
656	автора и	4	2
657	их не	2	2
658	их и	3	2
659	которого еще	2	2
660	из самых	3	2
661	во времени	6	2
662	всю картину	2	2
663	собой разумеется	2	2
664	он действует	2	2
665	где он	2	2
666	процесс в	2	2
667	они были	4	2
668	для своего	2	2
669	могло быть	5	2
670	и идеи	3	2
671	в определенном	3	2
672	и вне	3	2
673	и внешние	2	2
674	и т	21	2
675	ряду с	2	2
676	характер и	8	2
677	можно только	2	2
678	и рядом	2	2
679	время не	2	2
680	с самим	6	2
681	важный момент	3	2
682	всех его	2	2
683	этим мы	2	2
684	внутренне не	3	2
685	личности и	2	2
686	здесь нет	3	2
687	резко и	2	2
688	он только	2	2
689	и внутреннее	3	2
690	даже не	2	2
691	к себе	8	2
692	между вещами	3	2
693	контакта с	2	2
694	здесь на	5	2
695	мыслится как	2	2
696	он всегда	2	2
697	поэтому оно	2	2
698	в борьбе	2	2
699	проходит через	3	2
700	на себя	2	2
701	нет ничего	4	2
702	бы она	2	2
703	здесь же	2	2
704	на них	2	2
705	нашей точки	3	2
706	он был	2	2
707	но она	2	2
708	в человеческом	2	2
709	необходимо чтобы	2	2
710	существенную роль	3	2
711	и уже	4	2
712	и должно	2	2
713	ее к	2	2
714	и так	2	2
715	время и	4	2
716	в точном	3	2
717	в действительной	2	2
718	можно назвать	2	2
719	но когда	2	2
720	нашего анализа	2	2
721	же и	2	2
