N	2gram	Bakhtin_sl	EvropaiE
1	и в	69	37
2	в отношении	9	32
3	в пределах	27	25
4	точки зрения	24	23
5	что в	3	21
6	не только	37	18
7	с точки	11	17
8	в то	17	16
9	отношении к	9	15
10	хотя бы	6	15
11	то же	17	15
12	в своем	9	14
13	но в	13	14
14	но и	37	14
15	и не	32	14
16	же время	15	14
17	в качестве	4	14
18	в этом	21	12
19	в том	7	11
20	в их	6	11
21	так и	22	10
22	так же	2	9
23	в смысле	7	9
24	не может	27	9
25	в себе	3	9
26	прежде всего	14	9
27	только в	9	9
28	одной стороны	7	8
29	между тем	5	8
30	в ее	2	8
31	было бы	3	8
32	в своей	8	8
33	с одной	7	8
34	к тому	3	8
35	по своему	2	7
36	также и	5	7
37	с другой	8	7
38	а также	5	7
39	как и	8	7
40	так как	7	7
41	того что	4	7
42	том что	6	6
43	в последние	2	6
44	во всех	25	6
45	то есть	46	6
46	и даже	11	6
47	может быть	40	6
48	и на	17	6
49	стороны и	3	6
50	с этой	3	6
51	для того	2	6
52	на то	2	6
53	то что	2	6
54	как бы	16	6
55	вовсе не	16	6
56	но не	7	5
57	от этого	2	5
58	и по	3	5
59	и потому	9	5
60	столь же	2	5
61	в той	13	5
62	как мы	15	5
63	не в	14	5
64	в виде	4	5
65	в частности	3	5
66	же как	2	5
67	одной из	4	5
68	даже в	4	4
69	сказать что	4	4
70	или иного	2	4
71	или иной	13	4
72	можно сказать	2	4
73	то в	2	4
74	именно в	5	4
75	в процессе	14	4
76	в самом	6	4
77	мы не	4	4
78	в ней	7	4
79	для нас	7	4
80	по себе	4	4
81	несмотря на	2	4
82	мира в	2	4
83	к ней	2	4
84	в направлении	2	4
85	ни было	2	4
86	той или	13	4
87	не на	6	4
88	как это	3	4
89	того или	2	4
90	чем в	3	4
91	никогда не	9	3
92	и от	5	3
93	и для	7	3
94	и только	2	3
95	известном смысле	2	3
96	о том	5	3
97	к ним	2	3
98	новое слово	2	3
99	в данном	5	3
100	вообще не	4	3
101	того же	7	3
102	в сфере	2	3
103	не из	2	3
104	можно было	2	3
105	мира и	4	3
106	бы и	6	3
107	бы ни	3	3
108	в свою	4	3
109	и к	9	3
110	в результате	4	3
111	из них	3	3
112	в известном	2	3
113	в них	11	3
114	всяком случае	7	3
115	место в	2	3
116	мы видели	3	3
117	что и	2	3
118	друг с	2	3
119	отметить что	3	3
120	там где	10	3
121	и тем	3	3
122	по своим	6	3
123	этом отношении	2	3
124	не является	3	3
125	жизни в	2	3
126	обстоит дело	4	3
127	потому что	2	3
128	на своем	5	3
129	в таком	5	3
130	и со	2	3
131	с другом	2	3
132	как в	18	3
133	связано с	3	3
134	в известной	3	3
135	в прошлом	2	3
136	большинстве случаев	11	3
137	во всяком	9	3
138	дело в	2	3
139	известной степени	6	3
140	данном случае	3	2
141	для понимания	3	2
142	в его	19	2
143	не есть	2	2
144	рано или	2	2
145	в эту	3	2
146	и то	2	2
147	меньшей степени	4	2
148	к нему	7	2
149	не могут	7	2
150	она не	8	2
151	а в	10	2
152	с этим	5	2
153	с другими	8	2
154	в котором	2	2
155	его на	2	2
156	но как	2	2
157	как оно	3	2
158	далеко не	7	2
159	дело идет	2	2
160	или поздно	2	2
161	наблюдения над	2	2
162	притом в	3	2
163	в большинстве	16	2
164	и с	10	2
165	в другой	2	2
166	могут быть	25	2
167	по преимуществу	5	2
168	другой стороны	5	2
169	что все	2	2
170	между ними	2	2
171	в значительной	6	2
172	тогда когда	2	2
173	по своей	2	2
174	на язык	2	2
175	в одном	4	2
176	во власти	2	2
177	в органическом	2	2
178	на них	2	2
179	и как	3	2
180	целый ряд	2	2
181	есть не	2	2
182	для них	2	2
183	в этих	8	2
184	жизни и	5	2
185	еще более	7	2
186	именно к	3	2
187	в других	4	2
188	а не	29	2
189	и других	5	2
190	мы видим	2	2
191	и что	2	2
192	и во	3	2
193	и наконец	9	2
194	свою очередь	3	2
195	же в	2	2
196	точка зрения	10	2
197	но именно	5	2
198	и все	9	2
199	влияние на	3	2
200	или в	10	2
201	в идеологическом	2	2
202	таким образом	16	2
203	а именно	2	2
204	в истории	6	2
205	он не	5	2
206	и эта	2	2
207	но по	2	2
208	в некоторых	3	2
209	меньше чем	2	2
210	между собой	3	2
211	хотя и	4	2
212	в какой	2	2
213	должна быть	3	2
214	вместе с	3	2
215	и более	3	2
216	культуры и	2	2
