N	2gram	Vinokur_Vv	Morfolog
1	и т	45	62
2	может быть	30	61
3	т д	39	60
4	таким образом	21	26
5	т е	40	25
6	могут быть	6	21
7	так как	15	20
8	мы имеем	4	19
9	не может	19	19
10	в этом	35	18
11	в этих	3	17
12	представляет собой	14	17
13	и в	35	17
14	и не	13	16
15	представляют собой	9	16
16	этих случаях	2	15
17	с этим	3	14
18	прежде всего	10	14
19	по существу	2	13
20	при помощи	3	12
21	и др	2	12
22	связи с	3	12
23	чаще всего	2	11
24	а не	5	11
25	вопрос о	10	10
26	но если	6	10
27	то же	11	10
28	в том	38	10
29	то что	19	10
30	так и	2	10
31	что в	13	10
32	что и	5	10
33	а затем	2	10
34	в связи	2	10
35	этом случае	6	10
36	все же	9	9
37	но и	7	9
38	с другой	8	9
39	не только	26	8
40	в тех	2	8
41	в результате	4	8
42	но не	9	8
43	а в	6	8
44	мы не	2	8
45	в качестве	8	8
46	как мы	11	8
47	не могут	6	7
48	том что	30	7
49	по отношению	4	7
50	тем не	9	7
51	наряду с	3	7
52	или же	3	7
53	не менее	9	7
54	отношению к	4	7
55	как это	5	7
56	а также	3	7
57	и здесь	3	7
58	точки зрения	12	7
59	во втором	2	7
60	один из	6	7
61	потому что	18	7
62	это не	8	6
63	но это	2	6
64	во всех	2	6
65	и как	9	6
66	и другие	2	6
67	также и	20	6
68	подобно тому	2	6
69	о том	16	6
70	с точки	4	6
71	в форме	2	6
72	как бы	7	6
73	вовсе не	6	6
74	одна из	3	5
75	ничего не	2	5
76	и ее	4	5
77	хотя бы	6	5
78	мы можем	2	5
79	было бы	7	5
80	об этом	6	5
81	со стороны	16	5
82	что он	5	5
83	как в	3	5
84	то это	3	5
85	тому что	2	5
86	к тому	4	5
87	из которых	3	5
88	между тем	10	5
89	в целом	5	5
90	другой стороны	5	5
91	тому как	2	5
92	все эти	3	5
93	что они	2	5
94	раньше чем	3	5
95	по их	2	5
96	в первом	5	5
97	если же	2	5
98	хотя и	5	5
99	учение о	2	5
100	ясно что	11	5
101	сказать что	6	4
102	его в	6	4
103	независимо от	5	4
104	так же	3	4
105	в то	6	4
106	можно было	8	4
107	в руки	6	4
108	к этому	3	4
109	есть и	5	4
110	тем что	6	4
111	д но	5	4
112	еще не	4	4
113	самом деле	7	4
114	из них	4	4
115	но в	10	4
116	на котором	2	4
117	но все	4	4
118	и для	4	4
119	как и	7	4
120	а если	2	4
121	ни одна	2	4
122	входит в	3	4
123	уже не	6	4
124	этот вопрос	7	4
125	и к	3	4
126	на этом	3	4
127	смысле слова	7	4
128	несмотря на	2	4
129	того чтобы	22	4
130	с теми	2	4
131	говорить о	5	4
132	и наоборот	3	4
133	случае не	2	4
134	от того	3	4
135	мы уже	2	4
136	быть названо	4	4
137	в таких	2	3
138	первом случае	2	3
139	мы должны	2	3
140	но как	2	3
141	здесь не	3	3
142	в собственном	3	3
143	что это	3	3
144	только что	4	3
145	если бы	3	3
146	в виде	4	3
147	возникает вопрос	2	3
148	связана с	4	3
149	и тем	5	3
150	из двух	4	3
151	не в	10	3
152	для того	23	3
153	и при	2	3
154	с этой	5	3
155	у нас	2	3
156	собственном смысле	3	3
157	и изучение	4	3
158	в какой	6	3
159	того что	12	3
160	так например	6	3
161	как уже	5	3
162	к нему	3	3
163	это уже	2	3
164	на то	2	3
165	что такое	12	3
166	если это	2	3
167	состоит в	2	3
168	не существует	2	3
169	вопрос что	2	3
170	совсем не	3	3
171	в начале	3	3
172	и что	6	3
173	и тогда	3	3
174	и его	6	3
175	только в	16	3
176	в сущности	3	3
177	и есть	3	3
178	значение и	2	3
179	в этой	3	3
180	приходим к	5	3
181	данном случае	5	2
182	в каком	3	2
183	это еще	2	2
184	в очень	3	2
185	себя в	2	2
186	в интересах	4	2
187	как например	6	2
188	в данном	11	2
189	из этих	9	2
190	одной стороны	4	2
191	дело не	5	2
192	д все	2	2
193	или нет	2	2
194	собой в	2	2
195	бы в	2	2
196	во второй	3	2
197	ответ на	4	2
198	в обоих	2	2
199	иное как	6	2
200	не что	5	2
201	в другом	3	2
202	и даже	6	2
203	как такового	3	2
204	что она	3	2
205	что именно	2	2
206	д а	2	2
207	этом отношении	4	2
208	в частности	3	2
209	одним из	5	2
210	этого не	2	2
211	с изучением	2	2
212	ни к	2	2
213	что иное	5	2
214	на вопрос	6	2
215	в чем	4	2
216	наших дней	2	2
217	с одной	4	2
218	а потому	5	2
219	должна быть	2	2
220	в свое	3	2
221	а с	2	2
222	в научной	2	2
223	не с	3	2
224	увидим что	2	2
225	одной из	4	2
226	на этот	6	2
227	с тем	6	2
228	наука о	5	2
229	не имеет	4	2
230	вообще не	3	2
231	в в	3	2
232	вопросу о	2	2
233	д в	2	2
234	но с	5	2
235	в своих	2	2
236	в различных	5	2
237	быть и	2	2
238	в которых	6	2
239	к отдельным	2	2
240	однако в	3	2
241	от других	2	2
242	в основу	2	2
243	что мы	2	2
244	что же	3	2
245	или вообще	5	2
246	точно так	2	2
247	всяком случае	5	2
248	до наших	2	2
249	вряд ли	3	2
250	тогда как	2	2
251	все это	6	2
252	как будто	3	2
253	так называемых	4	2
254	из таких	2	2
255	например в	2	2
256	можно сказать	4	2
257	из его	2	2
258	в одном	4	2
259	во всяком	5	2
260	по своему	5	2
261	того как	3	2
262	чем в	3	2
