N	3gram	Tiupa_Disk	Psycholo
1	в том что	18	78
2	о том что	8	34
3	то же самое	2	31
4	с точки зрения	3	29
5	с одной стороны	12	28
6	не может быть	5	23
7	с другой стороны	4	20
8	в том чтобы	2	20
9	с самого начала	2	16
10	во всяком случае	2	14
11	в этом отношении	4	14
12	в конечном счете	2	11
13	подобно тому как	4	11
14	только в том	2	10
15	сами по себе	2	10
16	не в том	3	10
17	и то что	2	10
18	потому что в	2	9
19	в данном случае	6	9
20	в отличие от	12	9
21	и то же	2	8
22	и как бы	5	8
23	речь идет о	2	8
24	а с другой	4	7
25	состоит в том	3	7
26	в свою очередь	3	7
27	можно сказать что	3	7
28	только то что	2	7
29	как и в	3	7
30	одно и то	2	7
31	более или менее	2	6
32	того или иного	2	6
33	и может быть	3	6
34	по себе не	2	6
35	не только в	2	6
36	к тому же	4	4
37	то есть в	2	4
38	каждый из них	2	4
39	несет в себе	3	4
40	как будто бы	2	4
41	и не может	3	4
42	одного и того	4	4
43	том что в	3	4
44	в основе своей	4	4
45	а в том	2	4
46	и того же	4	4
47	а не только	2	3
48	в этом случае	3	3
49	в то же	7	3
50	по аналогии с	2	3
51	по отношению к	13	3
52	то же время	9	3
53	обратить внимание на	2	3
54	едва ли не	2	3
55	дело в том	3	3
56	в наше время	4	3
57	той или иной	6	2
58	но при этом	3	2
59	так и в	4	2
60	ни одно из	2	2
61	которое может быть	2	2
62	то что и	2	2
63	и все же	3	2
64	и в особенности	2	2
65	это еще не	2	2
66	а не как	2	2
67	по крайней мере	3	2
68	что в них	2	2
69	может быть определена	2	2
70	одной стороны и	3	2
71	мы имеем дело	3	2
