N	2gram	Bakhtin_KF	Formalny
1	и в	28	95
2	и не	28	78
3	может быть	45	66
4	в этом	15	61
5	не может	29	57
6	и пр	3	53
7	вовсе не	7	53
8	и его	18	51
9	так и	2	50
10	точки зрения	13	47
11	в нем	32	42
12	в его	42	42
13	прежде всего	4	41
14	с точки	10	40
15	как и	5	39
16	не в	13	35
17	в процессе	2	34
18	а не	17	34
19	но и	9	33
20	то же	5	32
21	самом деле	3	32
22	не только	5	30
23	в том	6	26
24	отнюдь не	7	26
25	если бы	8	26
26	то что	7	25
27	на самом	3	24
28	при этом	4	24
29	в своей	11	24
30	лишь в	8	24
31	в ней	3	23
32	было бы	8	23
33	в то	3	22
34	и ее	2	22
35	как бы	9	21
36	что в	4	21
37	в их	9	20
38	не менее	3	20
39	с тем	2	20
40	входит в	4	20
41	же время	2	20
42	место в	6	20
43	все это	10	19
44	хотя бы	5	19
45	по себе	2	19
46	все же	5	18
47	и все	9	18
48	все эти	11	18
49	должна быть	4	18
50	с его	2	18
51	и их	6	18
52	только в	18	18
53	как в	2	17
54	совершенно не	7	16
55	потому что	2	16
56	его в	5	15
57	но в	5	15
58	должно быть	6	15
59	во всех	11	15
60	именно в	5	15
61	и на	3	15
62	что он	2	14
63	в целом	10	14
64	в ее	17	14
65	в своем	17	14
66	еще не	5	14
67	в жизни	2	14
68	в этой	2	14
69	и потому	2	14
70	в единстве	8	14
71	жизни и	8	14
72	до конца	3	13
73	со стороны	8	13
74	того что	3	13
75	а в	5	13
76	могут быть	3	13
77	что и	7	13
78	сводится к	2	13
79	независимо от	3	13
80	она не	2	13
81	тем что	3	13
82	ни в	12	13
83	как его	4	13
84	по отношению	26	12
85	того чтобы	2	12
86	лишь как	3	12
87	там где	5	12
88	и здесь	7	12
89	отношению к	22	12
90	и для	10	12
91	оно не	2	12
92	уже не	7	12
93	никогда не	5	11
94	это и	3	11
95	в корне	3	11
96	в основе	5	11
97	но не	12	11
98	то ни	2	11
99	для него	13	11
100	между тем	4	11
101	не о	2	10
102	не есть	22	10
103	не как	4	10
104	его целом	10	10
105	мы не	3	10
106	не было	8	10
107	бы то	2	10
108	с ее	2	10
109	и как	2	10
110	в своих	4	10
111	раз и	2	10
112	конечно не	7	10
113	он не	6	10
114	быть и	3	9
115	ничего не	3	9
116	совсем не	2	9
117	здесь не	3	9
118	но это	6	9
119	и может	3	9
120	или иного	3	9
121	в каждом	3	9
122	менее всего	6	9
123	но ведь	5	9
124	еще более	2	9
125	в свою	3	9
126	ни было	4	9
127	говорить о	2	9
128	это не	10	8
129	в области	2	8
130	для этого	2	8
131	что это	4	8
132	в данном	2	8
133	всех этих	3	8
134	должен быть	7	8
135	для того	3	8
136	не следует	2	8
137	на основе	7	8
138	ясно что	3	8
139	том что	4	7
140	в себе	21	7
141	смысла и	2	7
142	как к	2	7
143	оценки и	2	7
144	войти в	3	7
145	бы быть	5	7
146	к этому	2	7
147	того или	3	7
148	жизни в	5	7
149	и только	7	7
150	смысл и	6	7
151	но все	6	7
152	единства и	2	7
153	он и	2	7
154	от этого	2	7
155	тем самым	4	6
156	ее и	6	6
157	отношение к	6	6
158	и тем	3	6
159	и других	2	6
160	его и	2	6
161	и это	12	6
162	тому что	2	6
163	не из	2	6
164	один из	2	6
165	нисколько не	4	6
166	познания и	4	6
167	этого слова	2	6
168	его с	2	6
169	действительности в	2	6
170	от его	5	6
171	но для	3	6
172	не по	4	6
173	жизнь и	2	6
174	нет и	3	6
175	о том	3	6
176	в смысле	6	6
177	и навсегда	2	6
178	именно на	2	6
179	с ним	5	6
180	могло бы	4	5
181	время и	5	5
182	от того	3	5
183	в виду	3	5
184	а как	2	5
185	в него	2	5
186	видения и	2	5
187	что не	3	5
188	на язык	3	5
189	бы и	3	5
190	и то	2	5
191	в мире	8	5
192	и эта	2	5
193	его как	5	5
194	для нас	4	5
195	к нему	12	5
196	целом и	3	5
197	не имеет	6	5
198	подхода к	2	5
199	в котором	24	5
200	слова в	2	5
201	а лишь	3	5
202	этом смысле	3	5
203	вопрос о	2	5
204	чтобы не	2	4
205	от него	3	4
206	тогда когда	3	4
207	философии культуры	2	4
208	о нем	4	4
209	можно и	2	4
210	не будет	2	4
211	содержания и	2	4
212	со всем	5	4
213	был бы	3	4
214	всех своих	4	4
215	во всей	4	4
216	только как	4	4
217	нем и	3	4
218	и должна	3	4
219	смысла в	2	4
220	нет в	4	4
221	могла бы	4	4
222	не значит	6	4
223	место и	2	4
224	своем содержании	2	4
225	это единство	3	4
226	тем не	2	4
227	едва ли	2	4
228	и содержание	5	4
229	та же	3	4
230	нигде не	3	4
231	нем как	4	4
232	все остальное	2	4
233	отношении к	2	4
234	ценностный центр	2	4
235	думать что	2	4
236	есть лишь	5	4
237	один и	3	4
238	мы говорим	2	4
239	и этим	3	4
240	и действительно	6	4
241	ее целом	3	4
242	или иное	2	4
243	лишь с	2	4
244	но эта	6	4
245	все они	2	3
246	и должен	2	3
247	или иной	2	3
248	всех других	2	3
249	бытия в	5	3
250	содержание и	2	3
251	для нее	9	3
