N	2gram	Tiupa_Disk	Tvorches
1	и в	27	56
2	как бы	9	41
3	в его	9	37
4	в то	8	30
5	то же	12	25
6	не только	36	24
7	но в	15	24
8	в году	3	24
9	же время	9	24
10	то есть	29	23
11	и его	4	23
12	и не	25	23
13	а в	5	23
14	как и	27	23
15	в этом	29	22
16	в том	29	21
17	что в	8	21
18	том что	27	19
19	он не	4	19
20	может быть	29	19
21	потому что	7	19
22	то что	10	18
23	что он	6	17
24	все это	2	17
25	и на	8	17
26	таким образом	4	17
27	никогда не	3	16
28	прежде всего	17	16
29	как в	16	16
30	при этом	22	16
31	не может	17	16
32	но и	22	16
33	в творчестве	4	16
34	в этой	5	15
35	с его	9	15
36	но это	3	15
37	в мире	9	15
38	и с	2	15
39	это не	5	14
40	и даже	4	14
41	там же	3	13
42	времени в	3	13
43	о том	12	13
44	а не	35	13
45	тем самым	6	12
46	в целом	5	12
47	в котором	7	12
48	все же	8	11
49	в своей	10	11
50	для него	9	11
51	отнюдь не	11	11
52	не в	8	10
53	так и	14	10
54	уже в	2	10
55	в русской	4	10
56	но не	17	10
57	в самом	4	10
58	когда он	3	10
59	он сам	2	10
60	только в	9	10
61	как будто	3	10
62	в свою	3	9
63	по природе	6	9
64	в нем	16	9
65	один из	3	9
66	и от	2	9
67	человека в	6	9
68	жизни в	4	9
69	в своих	6	9
70	в себе	22	8
71	по сути	6	8
72	в их	5	8
73	одной из	4	8
74	не менее	6	8
75	на его	4	8
76	тогда как	28	8
77	к этому	4	8
78	об этом	3	8
79	в соответствии	4	8
80	еще не	20	8
81	одним из	2	8
82	именно в	5	8
83	соответствии с	5	8
84	хотя и	3	8
85	вместе с	3	8
86	в записках	2	7
87	самом деле	2	7
88	своего рода	15	7
89	в чем	2	7
90	например в	4	7
91	и он	2	7
92	в которой	2	7
93	в этих	4	7
94	в рассказе	6	7
95	русской литературе	2	7
96	не случайно	2	7
97	уже не	7	7
98	сути дела	3	7
99	и сам	2	7
100	в книге	2	6
101	приводит к	4	6
102	ли не	3	6
103	героя в	6	6
104	и все	5	6
105	место в	2	6
106	не столько	3	6
107	все эти	2	6
108	в принципе	4	6
109	и ее	5	6
110	хотя бы	3	6
111	конечном счете	2	6
112	и как	9	6
113	в конечном	2	6
114	в момент	2	6
115	до конца	2	5
116	не имеют	2	5
117	в одной	4	5
118	по отношению	13	5
119	однако это	3	5
120	в современном	3	5
121	в своем	11	5
122	а с	8	5
123	в них	6	5
124	и это	3	5
125	что не	4	5
126	что и	5	5
127	в ее	4	5
128	мы не	2	5
129	и по	2	5
130	в истории	5	5
131	в наше	4	5
132	с этим	3	5
133	дело не	3	5
134	мысли и	2	5
135	на него	2	5
136	между тем	5	5
137	героя и	2	5
138	отношению к	13	5
139	наше время	4	5
140	в литературе	2	5
141	с другой	14	5
142	литературной традиции	3	5
143	как правило	5	5
144	романа и	2	5
145	из них	6	5
146	не было	9	5
147	перед нами	4	4
148	и потому	3	4
149	крайней мере	3	4
150	роль в	10	4
151	это и	2	4
152	только на	2	4
153	в частности	18	4
154	как это	2	4
155	отличие от	13	4
156	не знает	4	4
157	стремится к	3	4
158	самого начала	2	4
159	того что	4	4
160	точки зрения	6	4
161	из жизни	3	4
162	что на	3	4
163	могут быть	5	4
164	однако в	3	4
165	было в	4	4
166	в основе	11	4
167	тут же	3	4
168	х годов	2	4
169	восходит к	4	4
170	так сказать	3	4
171	по преимуществу	2	4
172	дело в	3	4
173	в каждом	2	4
174	себя в	8	4
175	и одновременно	3	4
176	тем что	4	4
177	и наконец	2	4
178	он ни	2	4
179	и есть	2	4
180	с этой	2	4
181	времени и	5	4
182	ведет к	6	4
183	по крайней	3	4
184	в отличие	13	4
185	с самого	2	4
186	далеко не	10	4
187	зависит от	2	4
188	в которых	5	4
189	представляет собой	24	4
190	еще в	6	4
191	это прежде	3	4
192	личности в	3	4
193	с точки	3	4
194	говорить о	3	4
195	той же	2	4
196	в античной	2	3
197	в ходе	5	3
198	не есть	3	3
199	в процессе	6	3
200	вплоть до	2	3
201	к другим	3	3
202	к себе	2	3
203	в другом	5	3
204	оба они	2	3
205	отношение к	6	3
206	как к	2	3
207	едва ли	2	3
208	для себя	6	3
209	друг друга	2	3
210	к которому	2	3
211	в виду	2	3
212	бахтина о	2	3
213	и тем	2	3
214	со стороны	17	3
215	в области	3	3
216	так например	2	3
217	о котором	2	3
218	как уже	5	3
219	более того	2	3
220	к тому	6	3
221	может служить	2	3
