N	2gram	Kanaev_Sov	Hudozhes
1	и в	7	23
2	не только	4	20
3	в том	4	20
4	может быть	12	19
5	при этом	3	19
6	и не	6	16
7	а в	4	13
8	в себе	3	13
9	а не	3	13
10	то же	3	12
11	такого рода	2	12
12	в этом	7	12
13	как бы	4	11
14	точки зрения	12	11
15	в его	2	11
16	но в	3	10
17	не в	3	9
18	или иной	2	9
19	не может	17	9
20	в области	3	8
21	в самом	2	7
22	что в	2	7
23	отличие от	2	7
24	в отличие	2	7
25	уже не	2	6
26	приводит к	2	6
27	в нем	3	6
28	могут быть	2	5
29	а на	2	5
30	не менее	2	5
31	прежде всего	5	5
32	это не	4	4
33	и т.д	3	4
34	еще не	3	4
35	и что	2	4
36	говорить о	2	4
37	как и	6	3
38	их в	4	3
39	в целом	4	3
40	в свою	2	3
41	и к	3	3
42	тем не	2	3
43	из этих	2	3
44	с точки	5	3
45	он должен	2	3
46	тот или	2	3
47	таким образом	11	3
48	в таком	2	3
49	в которой	2	3
50	в одном	3	3
51	с одной	2	3
52	в системе	3	3
53	одна из	3	2
54	и потому	3	2
55	что такое	2	2
56	о жизни	2	2
57	все эти	5	2
58	времени и	2	2
59	что она	3	2
60	быть и	2	2
61	отличается от	3	2
62	свою очередь	2	2
63	из которых	2	2
64	и по	2	2
65	между собой	3	2
66	отнюдь не	3	2
67	на котором	2	2
68	роль в	2	2
69	на этом	2	2
70	каждая из	2	2
71	все это	3	2
72	то ни	2	2
73	самом деле	2	2
74	в нашем	2	2
75	в этой	3	2
76	этих двух	2	2
77	если мы	4	2
78	у него	2	2
