N	3gram	Losev_Prob	Komedia
1	в том что	17	29
2	до сих пор	4	16
3	в то же	10	16
4	о том что	8	13
5	для того чтобы	4	11
6	в то время	6	11
7	то время как	6	9
8	с одной стороны	2	9
9	с другой стороны	11	8
10	то ни было	4	7
11	на этот раз	3	7
12	бы то ни	5	7
13	в первую очередь	3	7
14	в конце концов	4	7
15	во всяком случае	8	7
16	так или иначе	2	7
17	в связи с	9	6
18	с точки зрения	9	6
19	в отличие от	2	6
20	что он не	2	5
21	то же самое	17	5
22	и т д	20	5
23	том что он	2	5
24	о том как	4	5
25	тем не менее	23	5
26	там и здесь	4	4
27	что и в	3	4
28	именно потому что	3	4
29	можно было бы	6	4
30	едва ли можно	2	4
31	по сравнению с	3	4
32	более или менее	2	3
33	друг от друга	3	3
34	ни в чем	2	3
35	в чем же	2	3
36	но и в	2	3
37	хотя и не	2	3
38	может быть даже	4	3
39	на то что	2	3
40	в чем не	2	3
41	если бы он	2	3
42	и там и	2	3
43	равно как и	2	3
44	как мы видели	2	2
45	только в том	2	2
46	подобно тому как	2	2
47	на первый план	3	2
48	в зависимости от	3	2
49	точно так же	5	2
50	так и в	2	2
51	и тем более	4	2
52	не только в	2	2
53	в этом случае	8	2
54	так же как	3	2
55	и тем что	2	2
56	только потому что	3	2
57	этой точки зрения	2	2
58	в этом смысле	5	2
59	как и в	2	2
60	у плавта и	2	2
61	как будто бы	7	2
62	а может быть	2	2
63	и в то	2	2
64	у нас в	2	2
65	имеем в виду	4	2
