N	3gram	Vygotskiy_	RusskieA
1	в том что	21	49
2	состоит в том	3	29
3	и т д	10	21
4	тем не менее	6	14
5	вместе с тем	3	11
6	о том что	9	10
7	в том чтобы	9	9
8	для того чтобы	11	8
9	подобно тому как	7	8
10	мы не можем	2	7
11	в настоящее время	2	7
12	по этому поводу	3	6
13	не может быть	14	6
14	так же как	8	6
15	в связи с	2	5
16	к тому что	2	5
17	мы видели что	2	5
18	не что иное	2	4
19	во всяком случае	7	4
20	в то время	6	4
21	можно было бы	2	4
22	только тогда когда	4	4
23	что иное как	2	4
24	что в этом	3	4
25	в отличие от	4	4
26	же как и	2	3
27	более или менее	3	3
28	с тем что	2	3
29	с точки зрения	12	3
30	и в том	2	3
31	и что в	2	3
32	до сих пор	8	3
33	до тех пор	2	3
34	к выводу что	2	3
35	на то что	12	3
36	в свою очередь	3	3
37	тех пор пока	2	3
38	в евгении онегине	2	2
39	на самом деле	6	2
40	так как в	3	2
41	потому что он	2	2
42	можно сказать что	2	2
43	в этом отношении	7	2
44	как и в	5	2
45	так как они	2	2
46	с одной стороны	6	2
47	мы увидим что	2	2
48	совершенно очевидно что	2	2
49	и т п	23	2
50	но так как	2	2
51	с другой стороны	7	2
