N	4gram	Vygotskiy_	Problema
1	в то время как	7	12
2	не чем иным как	2	7
3	заключается в том что	9	6
4	в какой мере не	2	5
5	ни в какой мере	2	5
6	в том смысле что	2	5
7	одним и тем же	2	4
8	так же как и	2	4
9	одно и то же	3	4
10	в том числе и	2	4
11	и вместе с тем	2	3
12	с этой точки зрения	4	3
13	одного и того же	3	3
14	с одной стороны и	4	3
15	в том что он	2	3
16	прежде чем перейти к	3	3
17	внимание на то что	2	2
18	в том что в	2	2
19	одной и той же	5	2
20	только в том что	2	2
21	все больше и больше	2	2
