N	2gram	Bakhtin_Fr	VLabPisa
1	таким образом	20	32
2	в этом	27	29
3	не только	23	26
4	и в	67	26
5	может быть	4	23
6	хотя бы	2	20
7	и не	23	20
8	не может	9	17
9	в том	16	15
10	в его	17	15
11	этом отношении	7	14
12	прежде всего	19	13
13	все это	15	13
14	в частности	4	12
15	как это	5	12
16	в качестве	5	12
17	что в	14	11
18	с другой	3	11
19	из них	5	11
20	то же	18	10
21	не могут	3	10
22	но и	23	10
23	и др	11	10
24	о том	8	10
25	к этому	4	9
26	об этом	5	9
27	для него	4	9
28	в своем	13	8
29	том что	13	8
30	говорит и	2	8
31	другой стороны	2	8
32	все эти	12	8
33	было бы	5	8
34	только в	6	8
35	вместе с	5	8
36	это не	5	7
37	из этих	4	7
38	во всех	20	7
39	в году	6	7
40	то что	9	7
41	как и	19	7
42	их в	2	7
43	в нем	20	7
44	не было	3	7
45	а не	6	7
46	не в	8	6
47	в то	17	6
48	в себе	3	6
49	или менее	2	6
50	это и	10	6
51	все же	7	6
52	том же	3	6
53	у него	4	6
54	в искусстве	3	6
55	так и	14	6
56	более или	2	6
57	один из	6	6
58	и его	19	6
59	бы и	2	6
60	между тем	3	6
61	никогда не	6	5
62	даже в	5	5
63	сказать что	12	5
64	образы и	4	5
65	в плане	5	5
66	в одном	7	5
67	и образов	6	5
68	перед нами	6	5
69	в результате	5	5
70	в пределах	2	5
71	в их	4	5
72	одним из	7	5
73	и при	2	5
74	к тому	4	5
75	как бы	18	5
76	в них	12	5
77	в целом	2	5
78	связи с	7	5
79	же время	14	5
80	и есть	5	5
81	по поводу	5	4
82	образов и	8	4
83	и ее	2	4
84	роль в	5	4
85	в виду	2	4
86	что он	7	4
87	в романе	15	4
88	по существу	4	4
89	с тем	3	4
90	что все	4	4
91	когда он	2	4
92	должен быть	2	4
93	в самом	7	4
94	как раз	5	4
95	в ее	2	4
96	в своей	6	4
97	в связи	5	4
98	во время	15	4
99	можно сказать	4	4
100	в этой	13	4
101	из его	2	4
102	чем же	5	4
103	рассказывает о	2	4
104	с его	11	4
105	и от	6	3
106	никак не	3	3
107	например в	6	3
108	и к	7	3
109	с этим	6	3
110	так же	13	3
111	и он	4	3
112	том как	2	3
113	этот процесс	3	3
114	всех этих	9	3
115	бы в	5	3
116	в форме	2	3
117	в значительной	2	3
118	в конце	12	3
119	др в	2	3
120	его в	10	3
121	и как	7	3
122	тому как	2	3
123	если бы	2	3
124	подобно тому	2	3
125	как он	3	3
126	для того	8	3
127	и их	6	3
128	у нас	3	3
129	как на	6	3
130	его не	5	3
131	того что	4	3
132	образом в	4	3
133	мы видели	11	3
134	нет и	4	3
135	далеко не	6	3
136	видели что	2	3
137	что у	2	3
138	а в	4	3
139	в котором	3	3
140	именно в	5	3
141	точки зрения	7	3
142	мира и	10	3
143	и образы	13	3
144	в которых	3	3
145	между ними	4	3
146	что не	4	3
147	жизни и	11	3
148	того чтобы	9	3
149	что и	8	3
150	и по	3	3
151	или в	3	3
152	что они	3	3
153	же и	2	3
154	момент в	2	3
155	вовсе не	19	3
156	в целях	2	2
157	относится к	3	2
158	в книге	2	2
159	если в	3	2
160	от его	4	2
161	да и	2	2
162	чтобы не	2	2
163	на время	5	2
164	меньшей степени	2	2
165	до нас	4	2
166	не подлежит	2	2
167	еще и	6	2
168	с другими	3	2
169	так сказать	2	2
170	другом месте	3	2
171	о чем	5	2
172	одной стороны	2	2
173	и слова	2	2
174	что многие	2	2
175	можно было	5	2
176	этого рода	3	2
177	вплоть до	2	2
178	в каждом	3	2
179	что она	4	2
180	образами и	2	2
181	из своих	2	2
182	начиная с	2	2
183	в другом	4	2
184	и даже	6	2
185	от того	3	2
186	и у	7	2
187	связанное с	2	2
188	которая не	2	2
189	гете и	2	2
190	ее как	2	2
191	связана с	5	2
192	а как	3	2
193	нет ни	2	2
194	бы не	2	2
195	все они	7	2
196	в особенности	7	2
197	в области	2	2
198	только для	4	2
199	и наконец	5	2
200	у них	2	2
201	эти явления	2	2
202	еще не	5	2
203	как у	2	2
204	между собою	6	2
205	в течение	3	2
206	в известной	5	2
207	в чем	6	2
208	сих пор	3	2
209	формы и	2	2
210	с одной	2	2
211	же самое	3	2
212	что даже	2	2
213	всего сказанного	2	2
214	как известно	2	2
215	одной из	6	2
216	так например	3	2
217	в жизни	4	2
218	они и	3	2
219	к ним	2	2
220	но не	6	2
221	и для	4	2
222	и этот	2	2
223	ни с	2	2
224	также и	11	2
225	не менее	4	2
226	на него	2	2
227	но в	20	2
228	они не	5	2
229	года и	2	2
230	на то	2	2
231	он может	2	2
232	в общем	5	2
233	он в	4	2
234	после всего	2	2
235	в ней	10	2
236	стороны в	3	2
237	труда и	3	2
238	на этом	7	2
239	искусстве и	2	2
240	тогда когда	3	2
241	в образе	9	2
242	он и	6	2
243	не столько	5	2
244	в образах	9	2
245	образов в	12	2
246	вот это	3	2
247	для них	2	2
248	войны и	2	2
249	отметить что	3	2
250	а затем	7	2
251	же как	4	2
252	числе и	3	2
253	говорить о	5	2
254	было в	2	2
255	только о	2	2
256	он не	9	2
257	и сам	2	2
258	свидетельствуют о	2	2
259	в различных	3	2
260	ту же	3	2
261	остановимся на	2	2
262	в большей	2	2
263	хотя и	6	2
264	лишь в	3	2
265	том числе	6	2
266	подчеркнуть что	5	2
267	до сих	3	2
268	дель арте	2	2
269	в системе	2	2
