N	2gram	Berdyaev_V	EvropaiC
1	в том	3	31
2	и в	16	24
3	том что	2	20
4	все эти	3	19
5	то что	9	18
6	в этом	4	13
7	все это	5	13
8	между тем	2	12
9	но и	5	11
10	не только	2	10
11	так и	4	10
12	во всех	3	10
13	как и	4	10
14	все что	4	10
15	как бы	5	10
16	и не	20	9
17	не в	3	9
18	что в	3	9
19	и все	4	9
20	потому что	4	9
21	и что	3	9
22	к тому	3	8
23	а между	2	8
24	того чтобы	2	8
25	так как	9	7
26	что он	4	7
27	того что	5	7
28	что и	3	7
29	в мире	5	6
30	только в	2	6
31	еще не	8	6
32	должна быть	3	6
33	и для	3	6
34	с ним	2	6
35	должно быть	3	5
36	лишь в	3	5
37	что все	4	5
38	но в	3	5
39	не будет	2	5
40	в его	4	5
41	никогда не	3	4
42	и то	2	4
43	самого себя	2	4
44	не могут	2	4
45	хотя бы	3	4
46	в конце	3	4
47	ее и	2	4
48	а с	2	4
49	с тем	2	4
50	не так	2	4
51	не есть	6	4
52	что мы	4	4
53	хотя и	5	4
54	что их	2	3
55	это не	2	3
56	и потому	7	3
57	от него	2	3
58	на земле	7	3
59	которые не	2	3
60	в этих	3	3
61	конечно не	2	3
62	во имя	32	3
63	прежде всего	2	3
64	в жизни	3	3
65	но не	2	3
66	и это	2	3
67	а в	2	3
68	в нем	4	3
69	в ней	4	3
70	для нас	2	3
71	на нас	2	3
72	в истории	8	3
73	тот же	3	3
74	одна из	2	2
75	а к	2	2
76	от которого	3	2
77	ценности и	2	2
78	как не	3	2
79	не было	3	2
80	что они	7	2
81	основанную на	2	2
82	и будет	3	2
83	для него	2	2
84	не имеет	3	2
85	тому что	3	2
86	на том	2	2
87	в котором	4	2
88	их в	3	2
89	давно уже	2	2
90	по этому	3	2
91	в них	3	2
92	жизни и	3	2
93	от своей	2	2
94	в вопросе	3	2
95	во всяком	2	2
96	говорить о	4	2
97	вопросе о	2	2
98	и сам	2	2
99	в себя	2	2
100	мы и	2	2
