N	2gram	Ircho_Kome	Dialekti
1	т е	14	159
2	и не	19	120
3	и т	11	82
4	по себе	2	79
5	и в	40	77
6	т д	4	75
7	точки зрения	7	72
8	может быть	16	71
9	не только	12	66
10	то что	8	59
11	ничего не	4	54
12	не может	3	53
13	и даже	5	47
14	так как	6	46
15	что это	5	46
16	потому что	8	45
17	как бы	3	43
18	ни в	9	42
19	и что	2	42
20	вовсе не	3	41
21	в том	19	40
22	в этом	9	39
23	то же	7	39
24	в себе	3	38
25	что она	3	38
26	том что	19	37
27	что он	11	37
28	прежде всего	8	37
29	это не	2	36
30	так что	6	36
31	что в	12	34
32	в нем	8	34
33	и все	4	33
34	но и	14	32
35	все это	7	31
36	ясно что	9	31
37	и как	3	30
38	отнюдь не	2	30
39	так и	17	29
40	было бы	8	29
41	как и	12	28
42	в виду	2	26
43	не в	8	26
44	говорить о	3	25
45	если бы	4	24
46	но это	2	24
47	и вот	4	23
48	в то	14	23
49	таким образом	13	23
50	в чем	3	21
51	только в	6	20
52	как раз	4	20
53	что и	10	20
54	о том	12	20
55	и с	8	20
56	и притом	2	19
57	в своем	6	19
58	как это	7	19
59	не менее	6	19
60	и это	3	19
61	в самом	5	19
62	и его	17	19
63	что же	2	18
64	с другой	7	18
65	хотя бы	2	18
66	же время	5	18
67	жизни и	4	18
68	но если	4	17
69	в сущности	3	17
70	в своей	3	16
71	мы не	4	16
72	к нему	5	16
73	да и	5	16
74	то это	3	16
75	об этом	2	16
76	тем не	3	16
77	и о	3	15
78	только что	2	15
79	все же	7	15
80	так же	4	15
81	в виде	3	15
82	хотя и	6	15
83	на то	3	15
84	несмотря на	5	15
85	жизнь и	2	14
86	и ее	5	14
87	и следовательно	2	13
88	в силу	4	13
89	но в	6	13
90	в ней	2	13
91	время как	6	13
92	он не	5	13
93	что именно	3	13
94	мы находим	2	13
95	что они	4	13
96	другой стороны	6	13
97	с ее	2	13
98	и к	2	13
99	вопрос о	5	12
100	могут быть	3	12
