N	2gram	Bakhtin_Pr	FransuaR
1	и в	64	367
2	то есть	3	209
3	в этом	33	112
4	и не	55	101
5	таким образом	15	100
6	и его	21	99
7	в его	30	98
8	прежде всего	16	92
9	не только	26	87
10	мы уже	4	85
11	но и	26	84
12	как бы	33	82
13	все эти	13	79
14	вовсе не	12	77
15	в романе	12	77
16	как и	25	76
17	в нем	28	75
18	но в	14	75
19	и др	7	72
20	и на	16	72
21	в том	12	71
22	как мы	13	71
23	то же	18	66
24	и все	6	66
25	так и	8	65
26	в этой	5	65
27	в них	5	65
28	в сущности	10	64
29	и с	9	64
30	в то	15	63
31	все это	9	62
32	во всех	4	62
33	же время	13	55
34	что в	11	52
35	в своем	12	51
36	только в	13	48
37	так как	9	46
38	и до	6	46
39	том что	8	45
40	уже говорили	3	44
41	здесь в	2	41
42	то что	21	41
43	жизни и	3	40
44	у него	11	40
45	в самом	17	38
46	точки зрения	31	37
47	в ней	2	37
48	с его	11	36
49	может быть	43	35
50	мы видим	3	35
51	он был	2	35
52	о том	5	35
53	сказать что	4	34
54	и даже	5	34
55	в себе	11	34
56	рядом с	19	32
57	в конце	8	32
58	он не	14	32
59	для него	23	32
60	в своей	11	31
61	нового времени	3	31
62	до конца	10	31
63	в литературе	4	31
64	так же	8	30
65	никогда не	11	30
66	и потому	7	30
67	той же	8	30
68	один из	3	30
69	потому что	8	30
70	но он	4	30
71	в духе	4	29
72	в этих	5	29
73	не может	26	29
74	еще не	10	29
75	его в	8	29
76	не в	15	29
77	при этом	8	29
78	в одном	20	29
79	связи с	3	29
80	что он	15	29
81	из них	3	28
82	в основе	4	28
83	всех этих	2	28
84	в той	5	28
85	также и	3	28
86	и к	5	28
87	сих пор	9	27
88	до сих	9	27
89	и их	3	27
90	все же	11	27
91	кроме того	5	26
92	все они	2	26
93	в условиях	2	26
94	на самом	5	25
95	с помощью	2	25
96	но это	6	25
97	мира и	7	25
98	отношение к	4	24
99	того чтобы	2	24
100	в ее	2	24
101	и от	3	24
102	например в	5	24
103	но не	12	24
104	в большинстве	11	24
105	как в	7	24
106	и у	3	24
107	он и	8	24
108	времени и	2	24
109	так сказать	9	23
110	и для	7	23
111	это не	12	23
112	в их	6	23
113	с ним	8	23
114	и здесь	6	23
115	есть и	5	23
116	к нему	11	23
117	большинстве случаев	10	23
118	и о	7	22
119	и во	3	22
120	даже в	6	22
121	а в	10	22
122	что и	7	22
