N	2gram	Tiupa_Teor	Sotsiolo
1	истории литературы	2	10
2	все это	2	7
3	в том	20	5
4	в этом	12	5
5	не только	24	3
6	в его	12	3
7	не в	9	3
8	и в	24	3
9	о литературе	3	3
10	это и	2	2
11	дело не	2	2
12	отношению к	10	2
13	по отношению	10	2
14	еще не	6	2
15	только в	9	2
16	что в	10	2
17	тем более	2	2
18	в частности	23	2
19	том что	11	2
20	таким образом	3	2
21	то же	12	2
22	как будто	2	2
23	и что	4	2
24	к которому	3	2
25	то что	6	2
26	как бы	8	2
27	но и	14	2
28	в конце	2	2
29	за пределы	2	2
30	или даже	4	2
31	далеко не	4	2
32	может быть	22	2
